t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0,[0. 0. 0.],3,10,,,1.837117307088364,6.708198565453428e-07,1.0,0.0,1e-06,,,0.0,0.0,0.0,,9.0,9.0,5.624991000010798,-5.624995500003598
9.999999999999999e-05,[3.0002e-04 9.0000e-08 6.0001e-04],3,10,,,1.8370255023918067,6.70860004711406e-07,0.99999997,0.00018371,0.00018371,,,-0.0018,-0.00112503,0.00067497,,9.0,8.999998734301306,5.6253270368005195,-5.625331537331977
0.0011,[3.3027e-03 1.0890e-05 6.6013e-03],3,10,,,1.8361130764773677,6.712503349020663e-07,0.99999592,0.00202082,0.00202082,,,-0.01979971,-0.01237894,0.00742077,,9.000000000000004,8.999846761743424,5.628526520591999,-5.628531026362119
0.0111,[0.03355466 0.00110919 0.06668512],3,10,,,1.8275503404755447,6.740252397922453e-07,0.99958477,0.02037831,0.02037831,,,-0.19950511,-0.1251571,0.07434802,,8.999999999999996,8.984335700481653,5.644386367308897,-5.644390910409135
0.1111,[0.33814069 0.10137793 0.6291303 ],3,10,,,1.7892179395863468,5.949407012322693e-07,0.96354416,0.1918184,0.1918184,,,-1.74821676,-1.16801048,0.58020628,,9.0,7.63575151992296,4.43444360549659,-4.434447145040968
0.3109154469633908,[0.76038142 0.5014398  1.24531346],3,10,,,1.724599049500119,2.8310986912955544e-07,0.84135221,0.40681068,0.40681068,,,-2.85955121,-2.19610867,0.66344254,,9.000000000000002,4.177106702128527,1.202863217567853,-1.202864019079833
0.5087319844632536,[0.92423252 0.83538382 1.40865258],3,10,,,1.5755299677177501,1.538659730138714e-07,0.75953908,0.50692131,0.50692131,,,-2.98663685,-2.47356158,0.51307527,,8.999999999999996,2.8814931077327204,0.39919795506127265,-0.3991981918086491
0,[0. 0. 0.],3,10,,,1.837117307088364,6.708198565453428e-07,1.0,0.0,1e-06,,,0.0,0.0,0.0,,9.0,9.0,5.624991000010798,-5.624995500003598
9.999999999999999e-05,[3.0002e-04 9.0000e-08 6.0001e-04],3,10,,,1.8370255023918067,6.70860004711406e-07,0.99999997,0.00018371,0.00018371,,,-0.0018,-0.00112503,0.00067497,,9.0,8.999998734301306,5.6253270368005195,-5.625331537331977
0.0011,[3.3027e-03 1.0890e-05 6.6013e-03],3,10,,,1.8361130764773677,6.712503349020663e-07,0.99999592,0.00202082,0.00202082,,,-0.01979971,-0.01237894,0.00742077,,9.000000000000004,8.999846761743424,5.628526520591999,-5.628531026362119
0.0111,[0.03355466 0.00110919 0.06668512],3,10,,,1.8275503404755447,6.740252397922453e-07,0.99958477,0.02037831,0.02037831,,,-0.19950511,-0.1251571,0.07434802,,8.999999999999996,8.984335700481653,5.644386367308897,-5.644390910409135
0.1111,[0.33814069 0.10137793 0.6291303 ],3,10,,,1.7892179395863468,5.949407012322693e-07,0.96354416,0.1918184,0.1918184,,,-1.74821676,-1.16801048,0.58020628,,9.0,7.63575151992296,4.43444360549659,-4.434447145040968
0.3109154469633908,[0.76038142 0.5014398  1.24531346],3,10,,,1.724599049500119,2.8310986912955544e-07,0.84135221,0.40681068,0.40681068,,,-2.85955121,-2.19610867,0.66344254,,9.000000000000002,4.177106702128527,1.202863217567853,-1.202864019079833
0.5087319844632536,[0.92423252 0.83538382 1.40865258],3,10,,,1.5755299677177501,1.538659730138714e-07,0.75953908,0.50692131,0.50692131,,,-2.98663685,-2.47356158,0.51307527,,8.999999999999996,2.8814931077327204,0.39919795506127265,-0.3991981918086491
0.7065485219631165,[0.98189345 1.07222815 1.44129204],3,10,,,1.4699200862485153,1.008642602976255e-07,0.70597073,0.56529524,0.56529524,,,-2.99875302,-2.58089957,0.41785345,,9.000000000000002,2.338957401489493,0.17829213806067062,-0.17829223979666065
0.9591278298160006,[1.00716146 1.27106523 1.44254192],3,10,,,1.4046580412269154,6.120910268316528e-08,0.65987969,0.61265033,0.61265033,,,-2.9999398,-2.63826504,0.36167475,,9.0,2.0395575636213144,0.06649327590679446,-0.06649331337233697
1.0,[1.00928235 1.29498715 1.44194648],3,10,,,1.3987652786910045,5.640607974631843e-08,0.65415938,0.61838305,0.61838305,,,-2.99996313,-2.643282,0.35668114,,8.999999999999998,2.0130602826176114,0.05651591411316831,-0.05651594592962662
