t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],12,10,,,1.5,1.0623364027126472e-15,1.0,0.0,1e-06,,,-0.0,-0.0,0.0,,9.0,9.0,6.750000000000005,-6.750000000000003
9.999999999999999e-05,"[-1.5e-04 -1.5e-04  1.5e-04 -1.5e-04 -2.0e-08  2.0e-08 -1.5e-04 -1.0e-08
  2.0e-08  1.5e-04  1.0e-08  1.0e-08]",12,10,,,1.5000001518749642,2.0667569641618268e-08,0.99999998,0.00015,0.00015,,,-0.0018,-0.00135,0.00045,,9.0,8.99999817750041,6.749997721875468,-6.749997721875482
0.0011,"[-1.64999e-03 -1.64999e-03  1.64999e-03 -1.64999e-03 -2.04000e-06
  2.04000e-06 -1.64999e-03 -6.80000e-07  2.04000e-06  1.64999e-03
  6.80000e-07  6.80000e-07]",12,10,,,1.5000183763674042,2.5007773517668833e-06,0.99999728,0.00164999,0.00164999,,,-0.01979971,-0.0148498,0.00494991,,8.999999999999996,8.999779483503588,6.749724354063685,-6.749724354063684
0.0111,"[-1.663962e-02 -1.663847e-02  1.663732e-02 -1.663655e-02 -2.076300e-04
  2.075900e-04 -1.663655e-02 -6.921000e-05  2.076000e-04  1.663655e-02
  6.921000e-05  6.921000e-05]",12,10,,,1.5018660009005793,0.00025465872050488026,0.99972306,0.01664212,0.01664212,,,-0.19950511,-0.14964262,0.04986249,,9.000000000000004,8.977607085834254,6.722005601173165,-6.72200560117316
0.1111,"[-0.15698161 -0.15607425  0.15516066 -0.15449299 -0.01828345  0.01803313
 -0.15453989 -0.00614262  0.0181071   0.15457884  0.0061184   0.00610678]",12,10,,,1.6447852432954668,0.024851298799307305,0.97485612,0.15907217,0.15907217,,,-1.74821676,-1.32038457,0.42783219,,9.0,7.2565845872896375,4.551266090727108,-4.5512660907271085
0.29313933612021603,"[-0.31512352 -0.31059084  0.30550794 -0.29545768 -0.07414092  0.07176355
 -0.29791959 -0.02643452  0.07409911  0.30012046  0.0264055   0.02797042]",12,10,,,1.8787855162533547,0.1122846806999962,0.89062601,0.3354703,0.3354703,,,-2.82711859,-2.15964113,0.66747745,,9.0,4.335950175548839,0.8061151594654549,-0.8061151594654546
0.34657094834621244,"[-0.33859387 -0.33445694  0.32936141 -0.31361942 -0.08689983  0.08469333
 -0.3176818  -0.03152765  0.08870742  0.32144795  0.03178923  0.03508899]",12,10,,,1.8963794040556536,0.13035880340230346,0.87010437,0.36662283,0.36662283,,,-2.90768943,-2.22503027,0.68265915,,8.999999999999996,4.049240286865666,0.4529854427391894,-0.4529854427391894
0.40000256057220884,"[-0.35505893 -0.35225976  0.34804095 -0.32522595 -0.09746165  0.09627273
 -0.33114619 -0.03581105  0.10255089  0.33686072  0.03665324  0.04249828]",12,10,,,1.9020833795447565,0.14357714075913497,0.8526676,0.39140767,0.39140767,,,-2.95102607,-2.2622651,0.68876097,,9.000000000000002,3.8821566312594546,0.2642354485190518,-0.2642354485190518
0.4373288044313514,"[-0.36332989 -0.3619892   0.35891646 -0.33038283 -0.10367192  0.10377757
 -0.33769783 -0.03829634  0.11200272  0.34497903  0.0397618   0.04788596]",12,10,,,1.9015118109523814,0.15034855106413494,0.84208644,0.40582587,0.40582587,,,-2.96861517,-2.27901051,0.68960466,,8.999999999999996,3.806111075876105,0.19036390868469996,-0.19036390868469996
0.474655048290494,"[-0.3694961  -0.37000786  0.36851555 -0.33365009 -0.1090351   0.11096129
 -0.34240759 -0.0403574   0.12144135  0.35141571  0.04265649  0.05347593]",12,10,,,1.8983211299678011,0.15543427370886692,0.83259832,0.41840589,0.41840589,,,-2.97990844,-2.29141254,0.6884959,,8.999999999999998,3.749428588719093,0.1458054762368636,-0.14580547623686355
0.47892285543354424,"[-0.37008534 -0.37083251  0.36954838 -0.33392063 -0.10959864  0.1117681
 -0.34284511 -0.04056589  0.12252575  0.3520608   0.04297487  0.05412897]",12,10,,,1.8978185042060913,0.15592105726391817,0.83157406,0.41974557,0.41974557,,,-2.9809083,-2.29264101,0.68826729,,8.999999999999998,3.7437971829224725,0.1420821080154266,-0.1420821080154267
0.48121448859476695,"[-0.3703927  -0.37126821  0.37009818 -0.3340579  -0.10989723  0.11220034
 -0.34307217 -0.04067554  0.12310874  0.35240017  0.04314482  0.05448085]",12,10,,,1.8975379669930004,0.15617498291492,0.83102879,0.42045736,0.42045736,,,-2.98142456,-2.29328783,0.68813673,,9.000000000000002,3.740830926200692,0.14018059002076366,-0.14018059002076358
0.48229098028653833,"[-0.37053494 -0.37147119  0.37035532 -0.33412047 -0.11003653  0.11240317
 -0.34317696 -0.04072649  0.12338278  0.35255792  0.04322441  0.05464644]",12,10,,,1.897403652572711,0.1562924883314178,0.83077377,0.42078993,0.42078993,,,-2.98166225,-2.2935887,0.68807355,,8.999999999999998,3.7394508864915217,0.13931026569525662,-0.13931026569525665
0.4833674719783097,"[-0.38218555 -0.37889328  0.37418207 -0.32761224 -0.11249107  0.11113017
 -0.33518919 -0.03310886  0.12450676  0.34497474  0.03960785  0.04808202]",12,10,,,0.0,3.5497461300362454e-15,0.83164837,0.4196485,0.4196485,,,-2.9818969,-2.30087924,0.68101766,,8.999999999999998,3.7059547377291207,3.705954737729291,-3.7059547377292827
0.4847960376689242,"[-0.39880214 -0.38944492  0.37980316 -0.31846322 -0.11574989  0.1093351
 -0.32391913 -0.02238957  0.12579406  0.33413279  0.03433409  0.03889733]",12,10,,,1.9082797281243946e-07,7.0947628859266e-15,0.83294199,0.41795561,0.41795561,,,-2.98220368,-2.31139823,0.67080545,,9.000000000000005,3.6574382324561903,3.657438232456069,-3.6574382324561125
0.49908169457506923,"[-0.5413093  -0.4790937   0.44049677 -0.24897405 -0.12931923  0.09676215
 -0.23438698  0.06025794  0.11816084  0.24152383 -0.01708141 -0.02600644]",12,10,,,0.0,2.191808181004684e-15,0.84497222,0.40193606,0.40193606,,,-2.98500028,-2.40919954,0.57580075,,8.999999999999998,3.1957575943766807,3.195757594376726,-3.195757594376716
0.5,"[-0.54917647 -0.48398637  0.44440916 -0.24559683 -0.12946298  0.09615607
 -0.22978861  0.06445237  0.11688739  0.23651146 -0.02019214 -0.02901282]",12,10,,,0.0,4.80662740534081e-15,0.84569116,0.40096214,0.40096214,,,-2.98516426,-2.41504298,0.57012128,,9.0,3.1675673837198257,3.1675673837198666,-3.1675673837198675
