t,params,num_params,num_time_steps,error_bound,error_bound_grad,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,0.0,0.0,0.0,1.5878431240687258e-16,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,1.3066,0.6379151399999999,0.0011015070479999973,0.5379327,0.5379326999999998,-0.5379326999999998
0.1,"[-0.09612    -0.04347     0.          0.          1.63949633  1.52732633
 -0.         -0.        ]",8,10,0.0,0.0,0.0,6.941880629879335e-16,0.99997636,0.00486255,0.00486255,,,0.19785482,0.20376041,0.00590559,1.3066,0.6799719180930025,-0.11632149663771241,0.6384536150475785,0.6384536150475787,-0.6384536150475786
0.2,"[-0.19006497 -0.09861249  0.         -0.          1.7184852   1.47963409
 -0.         -0.        ]",8,10,0.0,0.0,0.0,2.360699116112967e-16,0.99990154,0.00992262,0.00992262,,,0.05929677,0.07161151,0.01231474,1.3066,0.7326058577581815,-0.253718171185433,0.7274776499570877,0.7274776499570879,-0.7274776499570881
0.30000000000000004,"[-0.27678945 -0.1662685  -0.         -0.          1.80643039  1.42827144
  0.         -0.        ]",8,10,0.0,0.0,0.0,3.2667883580841374e-16,0.99978366,0.01470887,0.01470887,,,-0.09487502,-0.0771776,0.01769742,1.3066,0.7948416447648868,-0.40787495817561936,0.7888852632628033,0.7888852632628043,-0.788885263262804
0.4,"[-0.35067681 -0.24600598 -0.          0.          1.90145876  1.37451193
  0.          0.        ]",8,10,0.0,0.0,0.0,2.8162999566940577e-16,0.99964759,0.01877338,0.01877338,,,-0.25679337,-0.23632583,0.02046754,1.3066,0.8641174107145331,-0.572298076513571,0.8082675144952688,0.8082675144952691,-0.808267514495269
0.5,"[-0.40650097 -0.33595414 -0.          0.          2.00138506  1.32061631
 -0.         -0.        ]",8,10,0.0,0.0,1.4901161193847656e-08,4.3236822829827003e-16,0.99952327,0.02183554,0.02183554,,,-0.4167329,-0.39697629,0.01975661,1.3066,0.9364658461559807,-0.7378793878441198,0.7788756729014081,0.7788756729014075,-0.7788756729014078
0.6,"[-0.44059073 -0.43296366 -0.          0.          2.10397087  1.26976941
  0.          0.        ]",8,10,0.0,0.0,0.0,4.253818362561983e-16,0.99943031,0.02386994,0.02386994,,,-0.56537116,-0.54944209,0.01592907,1.3066,1.0072438108140527,-0.8946965045467559,0.7053572010687308,0.7053572010687315,-0.7053572010687312
0.7,"[-0.4517162  -0.53310363 -0.         -0.          2.20721433  1.22550625
  0.          0.        ]",8,10,0.0,0.0,0.0,3.1609677986473327e-16,0.99937187,0.02506446,0.02506446,,,-0.69586147,-0.68546332,0.01039814,1.3066,1.0721856998884283,-1.0343283305543822,0.6023257306004524,0.6023257306004535,-0.6023257306004532
0.7999999999999999,"[-0.44120051 -0.63238215 -0.         -0.          2.30963471  1.19080513
  0.          0.        ]",8,10,0.0,0.0,0.0,2.1232702431952748e-16,0.99934142,0.0256649,0.0256649,,,-0.80481839,-0.79996367,0.00485472,1.3066,1.128325249152299,-1.1516465204391628,0.4883833693686286,0.4883833693686299,-0.4883833693686296
0.8999999999999999,"[-0.41216902 -0.72742038 -0.          0.          2.41044976  1.16732353
  0.          0.        ]",8,10,0.0,0.0,0.0,4.485089681996023e-16,0.99933286,0.0258312,0.0258312,,,-0.89206315,-0.89156064,0.00050251,1.3066,1.1743920985170162,-1.2453210110697635,0.37951173202049815,0.37951173202049937,-0.37951173202049904
0.9999999999999999,"[-0.36837761 -0.81579434 -0.          0.          2.50958025  1.15513742
  0.         -0.        ]",8,10,0.0,0.0,0.0,1.2863820359958075e-16,0.99934411,0.02561251,0.02561251,,,-0.95962319,-0.96185007,-0.00222687,1.3066,1.2106148851861227,-1.3170682131321134,0.28545933628433395,0.2854593362843343,-0.2854593362843344
