t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,100,,,3.5262583393452264e-07,1.777452767162261e-07,1.0,0.0,1e-06,,,0.0,0.0,0.0,,11.0,-5.999999999999995,11.0,11.000001026747789,-11.000000513373832
0.01,"[-6.00000000e-02  9.99999000e-03 -0.00000000e+00 -0.00000000e+00
  1.59079633e+00  1.58079633e+00  1.00000000e-08 -0.00000000e+00]",8,100,,,5.022376640544152e-07,2.562276268609847e-07,0.99999988,0.00035214,0.00035214,,,-0.2208797,-0.2204183,0.0004614,,11.119922021589883,-8.505670729570376,11.071337795497751,11.071336424442588,-11.071337109970043
0.02,"[-1.20663820e-01  1.87766800e-02  0.00000000e+00 -0.00000000e+00
  1.61071604e+00  1.59078813e+00  1.00000000e-08 -1.00000000e-08]",8,100,,,4.915124923727108e-07,2.693350583307157e-07,0.99999954,0.00067947,0.00067947,,,-0.44222286,-0.44180779,0.00041507,,11.240700007773823,-11.021397012534756,11.045505886205731,11.045508299267981,-11.045507092736734
0.03,"[-1.81686880e-01  2.62952500e-02  0.00000000e+00 -0.00000000e+00
  1.63039942e+00  1.60075970e+00  1.00000000e-08 -1.00000000e-08]",8,100,,,4.76837158203125e-07,2.853222356846741e-07,0.99999902,0.00099003,0.00099003,,,-0.66208333,-0.66222406,-0.00014073,,11.361252953413924,-13.525144780902526,10.92271225028397,10.92271397695206,-10.922713113617903
0.04,"[-2.42757070e-01  3.25543000e-02  0.00000000e+00  0.00000000e+00
  1.64968957e+00  1.61069267e+00  1.00000000e-08 -1.00000000e-08]",8,100,,,5.057621821307283e-07,2.722838624337985e-07,0.99999833,0.00129355,0.00129355,,,-0.87856634,-0.87974148,-0.00117514,,11.480504814316816,-15.995109354939785,10.70655974700858,10.70656076744329,-10.706560257225808
0.05,"[-3.03562950e-01  3.75861600e-02 -0.00000000e+00  0.00000000e+00
  1.66843654e+00  1.62056177e+00  1.00000000e-08 -0.00000000e+00]",8,100,,,4.951133646320149e-07,2.555656270284089e-07,0.99999744,0.00159973,0.00159973,,,-1.08989276,-1.09252044,-0.00262768,,11.597422028297133,-18.410476975263045,10.403821118962016,10.403818660496913,-10.403819889729341
0.060000000000000005,"[-3.63801830e-01  4.14545400e-02  0.00000000e+00  0.00000000e+00
  1.68650483e+00  1.63033523e+00  1.00000000e-08 -1.00000000e-08]",8,100,,,5.397430144630323e-07,3.3142679488591135e-07,0.99999633,0.00191649,0.00191649,,,-1.29445508,-1.29886906,-0.00441397,,11.71104819355875,-20.7521227799325,10.023987371193057,10.023988961368012,-10.02398816628039
0.07,"[-4.23187520e-01  4.42495800e-02 -0.00000000e+00  0.00000000e+00
  1.70377972e+00  1.63997602e+00  1.00000000e-08 -1.00000000e-08]",8,100,,,4.5393545066499166e-07,2.4051518443716364e-07,0.99999494,0.00224864,0.00224864,,,-1.49086152,-1.49729535,-0.00643383,,11.820533771759399,-23.00320018149616,9.578640392306234,9.578640987991953,-9.57864069014899
0.08,"[-4.81456750e-01  4.60811900e-02 -0.00000000e+00  0.00000000e+00
  1.72017162e+00  1.64944385e+00  0.00000000e+00 -1.00000000e-08]",8,100,,,4.842304232499576e-07,2.687414914428924e-07,0.99999325,0.00259738,0.00259738,,,-1.67796618,-1.68654608,-0.0085799,,11.925158485956317,-25.149577954628356,9.080720821566192,9.08072018813744,-9.080720504851698
0.09,"[-5.38374220e-01  4.70715200e-02  0.00000000e+00  0.00000000e+00
  1.73561815e+00  1.65869745e+00  0.00000000e+00 -1.00000000e-08]",8,100,,,5.196212462831347e-07,3.086157571709425e-07,0.99999124,0.00296057,0.00296057,,,-1.85488445,-1.86563094,-0.01074649,,12.024345846366698,-27.18011226342077,8.543767033622665,8.543768634252775,-8.543767833937583
0.09999999999999999,"[-5.93736020e-01  4.73474000e-02  0.00000000e+00  0.00000000e+00
  1.75008399e+00  1.66769693e+00  1.00000000e-08 -1.00000000e-08]",8,100,,,6.01977404258375e-07,3.9858502130919653e-07,0.99998889,0.0033335,0.0033335,,,-2.02099451,-2.03383152,-0.01283701,,12.117669141437993,-29.08674371742553,7.981198501107778,7.981199521694957,-7.981199011401186
0.10999999999999999,"[-6.47371350e-01  4.70338000e-02  0.00000000e+00  0.00000000e+00
  1.76355872e+00  1.67640586e+00  2.00000000e-08 -2.00000000e-08]",8,100,,,4.842304232499576e-07,2.846334732497107e-07,0.99998624,0.00370989,0.00370989,,,-2.17592645,-2.19069585,-0.0147694,,12.204849487514082,-30.864433662201726,7.405701193525868,7.40570204463846,-7.405701619082047
0.11999999999999998,"[-6.99142780e-01  4.62485000e-02 -0.00000000e+00  0.00000000e+00
  1.77605340e+00  1.68479284e+00  2.00000000e-08 -2.00000000e-08]",8,100,,,5.331201499700045e-07,3.310062185737971e-07,0.99998333,0.0040828,0.0040828,,,-2.31954187,-2.33602144,-0.01647957,,12.285747339338497,-32.51096839422754,6.82875115845426,6.828750567537186,-6.82875086299558
0.12999999999999998,"[-7.48945260e-01  4.50984800e-02 -0.00000000e+00  0.00000000e+00
  1.78759639e+00  1.69283257e+00  2.00000000e-08 -2.00000000e-08]",8,100,,,3.4240261593687705e-07,1.8942439536236813e-07,0.99998024,0.00444535,0.00444535,,,-2.45190653,-2.46982917,-0.01792263,,12.360348722792608,-34.02666103286857,6.260292601708844,6.260291239156744,-6.260291920432737
0.13999999999999999,"[-7.96704290e-01  4.36777200e-02 -0.00000000e+00  0.00000000e+00
  1.79822901e+00  1.70050625e+00  2.00000000e-08 -1.00000000e-08]",8,100,,,5.1100338099844e-07,2.790825253909918e-07,0.99997704,0.00479126,0.00479126,,,-2.57325901,-2.59233142,-0.01907242,,12.428748182039469,-35.4139890724572,5.708565972622495,5.708567565098938,-5.708566768860584
0.15,"[-8.42373280e-01  4.20664800e-02 -1.00000000e-08  0.00000000e+00
  1.80800142e+00  1.70780161e+00  2.00000000e-08 -1.00000000e-08]",8,100,,,5.65459309846469e-07,3.6665965375777747e-07,0.99997384,0.00511515,0.00511515,,,-2.68397783,-2.7038975,-0.01991966,,12.491129878929616,-36.67720068063281,5.180068212017276,5.1800698573413655,-5.1800690346791605
0.16,"[-8.85930650e-01  4.03314300e-02 -0.00000000e+00  0.00000000e+00
  1.81696904e+00  1.71471252e+00  3.00000000e-08 -1.00000000e-08]",8,100,,,5.885487096944898e-07,3.769718577289073e-07,0.9999707,0.00541268,0.00541268,,,-2.78454932,-2.80501858,-0.02046925,,12.547748386081865,-37.821917551949525,4.679619167095395,4.6796198397195035,-4.6796195034072765
0.17,"[-9.27376660e-01  3.85266400e-02 -0.00000000e+00  0.00000000e+00
  1.82518965e+00  1.72123828e+00  3.00000000e-08 -1.00000000e-08]",8,100,,,4.6932744228910274e-07,2.6437884945337983e-07,0.99996773,0.00568061,0.00568061,,,-2.87553745,-2.89627473,-0.02073728,,12.598910362810246,-38.8547604041291,4.210503058387783,4.210503959008433,-4.210503508697996
0.18000000000000002,"[-9.66730310e-01  3.66948600e-02 -0.00000000e+00  0.00000000e+00
  1.83272111e+00  1.72738294e+00  3.00000000e-08 -2.00000000e-08]",8,100,,,6.508925458145605e-07,4.4662930623328663e-07,0.99996499,0.00591679,0.00591679,,,-2.95755697,-2.9783049,-0.02074794,,12.644957801918626,-39.783009564405816,3.774657707304563,3.7746578170385674,-3.774657762171351
0.19000000000000003,"[-1.00402621e+00  3.48691300e-02  0.00000000e+00  0.00000000e+00
  1.83961969e+00  1.73315440e+00  3.00000000e-08 -2.00000000e-08]",8,100,,,4.933162140025749e-07,2.948961078555857e-07,0.99996255,0.00612003,0.00612003,,,-3.03125025,-3.0517809,-0.02053065,,12.686253414216237,-40.614310209274365,3.3728867631969432,3.3728858809659594,-3.372886322081328
0.20000000000000004,"[-1.03931176e+00  3.30742300e-02  0.00000000e+00  0.00000000e+00
  1.84593906e+00  1.73856363e+00  4.00000000e-08 -2.00000000e-08]",8,100,,,5.040030039932657e-07,2.7546442465082874e-07,0.99996044,0.00628997,0.00628997,,,-3.0972681,-3.1173857,-0.0201176,,12.723168323447917,-41.356427751857666,3.0050747020000355,3.0050750337721452,-3.0050748678859636
0.21000000000000005,"[-1.07264455e+00  3.13282200e-02  1.00000000e-08  0.00000000e+00
  1.85172954e+00  1.74362390e+00  4.00000000e-08 -2.00000000e-08]",8,100,,,4.3187668163148874e-07,2.452733775038782e-07,0.99995869,0.006427,0.006427,,,-3.15625436,-3.17579612,-0.01954176,,12.756072190478532,-42.017051588004364,2.6703911978699164,2.6703902025705775,-2.6703907002201537
0.22000000000000006,"[-1.10408993e+00  2.96437500e-02  0.00000000e+00  0.00000000e+00
  1.85703778e+00  1.74835015e+00  4.00000000e-08 -3.00000000e-08]",8,100,,,6.314998895054189e-07,4.2376130711613304e-07,0.99995733,0.00653205,0.00653205,,,-3.2088341,-3.22766933,-0.01883523,,12.785325441879637,-42.60364371689869,2.3674761620483586,2.3674764884732062,-2.3674763252605815
0.23000000000000007,"[-1.13371902e+00  2.80291700e-02  0.00000000e+00  0.00000000e+00
  1.86190668e+00  1.75275838e+00  4.00000000e-08 -3.00000000e-08]",8,100,,,5.693725697559952e-07,3.436616049192078e-07,0.99995635,0.00660653,0.00660653,,,-3.25560495,-3.2736332,-0.01802825,,12.811273643768422,-43.1233298177807,2.0945993071151285,2.094599233433047,-2.094599270273926
0.24000000000000007,"[-1.16160685e+00  2.64895000e-02  1.00000000e-08  0.00000000e+00
  1.86637538e+00  1.75686522e+00  4.00000000e-08 -3.00000000e-08]",8,100,,,6.525960099833664e-07,4.27045170600411e-07,0.99995575,0.00665219,0.00665219,,,-3.29713119,-3.31427953,-0.01714834,,12.83424348214523,-43.58282304586669,1.8497946636600293,1.84979515653508,-1.84979491009734
