t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,100,,,3.625608998714816e-07,1.6568921865362922e-07,1.0,0.0,1e-06,,,0.0,0.0,0.0,,11.0,-5.999999999999995,11.0,10.999999544482346,-10.999999772241107
0.01,"[-6.00000000e-02  1.01217200e-02  1.93500000e-05  8.50000000e-07
  1.59079632e+00  1.58067461e+00 -0.00000000e+00  0.00000000e+00]",8,100,,,0.000214181517872911,8.990256221400632e-06,0.99999988,0.00035226,0.00035212,,,-0.2208797,-0.220411,0.0004687,,11.119921868722601,-8.50557627392774,11.071340860269562,11.071305437180794,-11.071323125788316
0.02,"[-1.20663710e-01  1.89186600e-02  7.10600000e-05  2.25460000e-04
  1.61072479e+00  1.59064601e+00  1.40000000e-07 -2.25000000e-06]",8,100,,,1.6828577426268186e-05,1.3062473689557094e-06,0.99999954,0.00069549,0.00067956,,,-0.44222286,-0.44179901,0.00042385,,11.24069915711682,-11.021285357036442,11.045512793946042,11.045513856058632,-11.045513324860735
0.03,"[-1.81687110e-01  2.65122100e-02  3.78100000e-05  1.63110000e-04
  1.63042599e+00  1.60054153e+00  2.30000000e-07 -2.79000000e-06]",8,100,,,2.6475468056813253e-06,4.439295847646559e-07,0.99999902,0.0009953,0.00099025,,,-0.66208333,-0.66221097,-0.00012763,,11.36125133446256,-13.524979287533668,10.92272797134927,10.922727413359446,-10.922727692350854
0.04,"[-2.42758180e-01  3.28607700e-02  2.46100000e-05  1.60690000e-04
  1.64974617e+00  1.61038182e+00  2.70000000e-07 -3.77000000e-06]",8,100,,,1.5937974401856587e-06,3.3200593939712235e-07,0.99999833,0.00129724,0.00129394,,,-0.87856634,-0.87972351,-0.00115717,,11.480502138038878,-15.994883530509558,10.706588682306613,10.706589009682302,-10.706588845993187
0.05,"[-3.03565080e-01  3.79173300e-02  1.80300000e-05  1.93280000e-04
  1.66851879e+00  1.62022192e+00  3.00000000e-07 -5.67000000e-06]",8,100,,,1.8601997535618823e-06,4.3345966540976444e-07,0.99999744,0.00160383,0.00160037,,,-1.08989276,-1.09250171,-0.00260895,,11.59741862302646,-18.410243330824628,10.403858634611701,10.403857478816581,-10.403858056712412
0.060000000000000005,"[-3.63806460e-01  4.19066900e-02  1.45000000e-05  8.22400000e-05
  1.68664653e+00  1.62986340e+00  3.30000000e-07 -2.22000000e-06]",8,100,,,1.0827721431603998e-06,2.568089980281837e-07,0.99999632,0.00191796,0.00191736,,,-1.29445508,-1.2988447,-0.00438962,,11.71104344361264,-20.75181981050207,10.02404587869553,10.024045357326772,-10.024045618010565
0.07,"[-4.23192710e-01  4.46377500e-02  1.18400000e-05  8.81300000e-05
  1.70392715e+00  1.63956363e+00  3.40000000e-07 -2.70000000e-06]",8,100,,,8.041106202144648e-07,4.952889522734741e-07,0.99999494,0.00225038,0.00224984,,,-1.49086152,-1.49727542,-0.0064139,,11.820529060685175,-23.0029544548431,9.578695385611178,9.578694219490828,-9.578694802550679
0.08,"[-4.81462130e-01  4.64081600e-02  1.01800000e-05  2.29600000e-05
  1.72031794e+00  1.64908914e+00  3.50000000e-07  6.00000000e-08]",8,100,,,4.986882367933247e-07,2.8655021180915e-07,0.99999325,0.00259887,0.00259882,,,-1.67796618,-1.68653011,-0.00856393,,11.92515400736012,-25.14938319215114,9.080770190974677,9.080770718496177,-9.080770454735301
0.09,"[-5.38383450e-01  4.75066900e-02  9.13000000e-06 -6.91200000e-05
  1.73584399e+00  1.65821120e+00  3.60000000e-07  4.33000000e-06]",8,100,,,4.3800289799866286e-07,2.2531230528021747e-07,0.99999123,0.00296234,0.00296218,,,-1.85488445,-1.86561143,-0.01072698,,12.024340587341575,-27.179873453476997,8.543834569520245,8.543833812271512,-8.543834190895783
0.09999999999999999,"[-5.93745780e-01  4.77455400e-02  8.29000000e-06 -1.10430000e-04
  1.75031923e+00  1.66723918e+00  3.80000000e-07  6.33000000e-06]",8,100,,,5.1100338099844e-07,3.4465102991902655e-07,0.99998888,0.00333574,0.00333533,,,-2.02099451,-2.03381482,-0.01282032,,12.117664119292058,-29.086540760696778,7.981261387151767,7.981260733983635,-7.98126106056757
0.10999999999999999,"[-6.47382400e-01  4.74285200e-02  7.52000000e-06 -1.19650000e-04
  1.76382145e+00  1.67593690e+00  3.80000000e-07  6.75000000e-06]",8,100,,,4.172325134277344e-07,2.6034419418752826e-07,0.99998622,0.00371234,0.0037119,,,-2.17592645,-2.19068057,-0.01475412,,12.204844607944182,-30.864248557802075,7.405763269250769,7.405763162847191,-7.405763216048893
0.11999999999999998,"[-6.99154950e-01  4.66381100e-02  6.94000000e-06 -1.34860000e-04
  1.77634289e+00  1.68431315e+00  3.90000000e-07  7.39000000e-06]",8,100,,,5.230286352272107e-07,2.4551965416353645e-07,0.99998331,0.00408551,0.00408499,,,-2.31954187,-2.3360076,-0.01646573,,12.285742666968003,-32.510801268062025,6.828811170176887,6.828812581999178,-6.828811876087896
0.12999999999999998,"[-7.48958520e-01  4.54845600e-02  6.81000000e-06 -2.12280000e-04
  1.78791434e+00  1.69233852e+00  4.00000000e-07  1.09000000e-05]",8,100,,,4.86061168619993e-07,3.132625475609303e-07,0.99998022,0.00444894,0.00444772,,,-2.45190653,-2.46981668,-0.01791014,,12.360344317489226,-34.02651065463817,6.260349888234055,6.260350106523868,-6.260349997378843
0.13999999999999999,"[-7.96717330e-01  4.40322500e-02  6.39000000e-06 -2.20240000e-04
  1.79855004e+00  1.70003440e+00  3.90000000e-07  1.09600000e-05]",8,100,,,6.717102330675509e-07,3.402070621625151e-07,0.99997702,0.00479498,0.00479375,,,-2.57325901,-2.59232089,-0.01906188,,12.428744169281119,-35.41386289575141,5.708616589696898,5.708615481532075,-5.708616035614259
0.15,"[-8.42389660e-01  4.24740600e-02  6.57000000e-06 -3.19080000e-04
  1.80840782e+00  1.70723273e+00  4.30000000e-07  1.50600000e-05]",8,100,,,8.172577143193536e-07,2.9138645087403356e-07,0.99997381,0.00512035,0.0051179,,,-2.68397783,-2.70388685,-0.01990901,,12.491125957400847,-36.67707257459745,5.180121872519669,5.180120726186447,-5.180121299352722
0.16,"[-8.85944160e-01  4.06583000e-02  6.30000000e-06 -3.31440000e-04
  1.81732237e+00  1.71423809e+00  4.60000000e-07  1.50300000e-05]",8,100,,,7.985687856062807e-07,5.051176528425014e-07,0.99997067,0.00541791,0.00541541,,,-2.78454932,-2.80501048,-0.02046116,,12.547744967150063,-37.82182121296211,4.67966118433231,4.679661157065485,-4.679661170698577
0.17,"[-9.27388600e-01  3.88071100e-02  6.03000000e-06 -3.40510000e-04
  1.82551749e+00  1.72081383e+00  4.40000000e-07  1.48000000e-05]",8,100,,,8.481889647697036e-07,4.1530519228479816e-07,0.9999677,0.00568587,0.00568335,,,-2.87553745,-2.89626822,-0.02073077,,12.598907327785527,-38.854683625360224,4.210537738716939,4.210537693588453,-4.210537716152334
