t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,100,,,0.0062810478741508234,0.00316546306489634,1.0,0.0,1e-06,,,0.0,0.0,0.0,,11.0,-5.999999999999995,11.0,10.964904781208636,-10.98243266482312
0.01,"[-5.98803000e-02  1.00079300e-02  0.00000000e+00  0.00000000e+00
  1.59078820e+00  1.58080426e+00  2.38300000e-05  2.38300000e-05]",8,100,,,0.006503144095445538,0.0032733560879539656,0.99999985,0.00039196,0.00039196,,,-0.2208797,-0.22006368,0.00081602,,11.11968305855045,-8.501777478921554,11.071255036079162,11.035111516702623,-11.05316213094933
0.02,"[-1.20421800e-01  1.87958500e-02  5.70500000e-05  2.80000000e-07
  1.61069794e+00  1.59080423e+00  5.10800000e-05  5.13000000e-05]",8,100,,,0.006970788060733558,0.0034323907484519254,0.99999944,0.00075117,0.0007507,,,-0.44222286,-0.44108861,0.00113425,,11.240219500634511,-11.013488842195123,11.045660340904835,11.008609657533905,-11.027110703276277
0.03,"[-1.81319950e-01  2.63298200e-02  2.86440000e-04  9.90000000e-07
  1.63037146e+00  1.60078498e+00  8.45600000e-05  8.46600000e-05]",8,100,,,0.008757209265331774,0.0038077666967521306,0.99999883,0.00109137,0.00108277,,,-0.66208333,-0.66113811,0.00094523,,11.360531071451215,-13.513192251625098,10.923427475372808,10.885224406522294,-10.904287596590493
0.04,"[-2.42259820e-01  3.26101600e-02  7.06620000e-04  2.55000000e-06
  1.64965637e+00  1.61073060e+00  1.33070000e-04  1.31210000e-04]",8,100,,,0.011321491993615656,0.004399674485164066,0.99999804,0.00144004,0.00140052,,,-0.87856634,-0.87829019,0.00027615,,11.479538964809748,-15.979138686064925,10.708145306802393,10.668639219632922,-10.688328175127177
0.05,"[-3.02928810e-01  3.76698600e-02  1.16441000e-03  5.35000000e-06
  1.66840506e+00  1.62061750e+00  2.04950000e-04  1.98320000e-04]",8,100,,,0.012826481244228905,0.0049171284001281144,0.99999705,0.00179964,0.0017162,,,-1.08989276,-1.09070962,-0.00081685,,11.59621028217477,-18.390569145048836,10.406562813156787,10.36625526680617,-10.386326780670926
0.060000000000000005,"[-3.63028190e-01  4.15711500e-02  1.52720000e-03  9.37000000e-06
  1.68647974e+00  1.63041270e+00  3.00210000e-04  2.86620000e-04]",8,100,,,0.013320353867059709,0.005230724560802728,0.99999586,0.00214875,0.00203468,,,-1.29445508,-1.29671546,-0.00226037,,11.709599123845209,-20.72846966673176,10.028128150433288,9.987778648693718,-10.007864683649931
0.07,"[-4.22276760e-01  4.44024200e-02  1.77967000e-03  1.44800000e-05
  1.70376273e+00  1.64007726e+00  4.15360000e-04  3.93660000e-04]",8,100,,,0.013388067603946101,0.005386361157896923,0.99999444,0.00248175,0.00235704,,,-1.49086152,-1.49482818,-0.00396666,,11.818867674139595,-22.97612030214062,9.584356385690862,9.54462816839107,-9.564402656863882
0.08,"[-4.80414940e-01  4.62723100e-02  1.95205000e-03  2.05600000e-05
  1.72016274e+00  1.64956967e+00  5.47980000e-04  5.17780000e-04]",8,100,,,0.01333267428439397,0.005442997450161201,0.9999928,0.00280526,0.00268392,,,-1.67796618,-1.68380446,-0.00583828,,11.923303786867372,-25.119494524988568,9.088106340679506,9.049490805089528,-9.068709692782729
0.09,"[-5.37209820e-01  4.73021000e-02  2.07443000e-03  2.75800000e-05
  1.73561662e+00  1.65884805e+00  6.97150000e-04  6.58440000e-04]",8,100,,,0.013244400843183905,0.00542982079197319,0.99999091,0.00312586,0.00301508,,,-1.85488445,-1.86266036,-0.0077759,,12.022335451041391,-27.147517633222108,8.55283184324179,8.515723903915227,-8.534190166501661
