t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,100,,,5.778884717722332e-07,2.9610978209637946e-07,1.0,0.0,1e-06,,,0.0,0.0,0.0,,11.0,-5.999999999999995,11.0,11.000002856296264,-11.000001428147964
0.00023235442213604898,"[-1.39434000e-03  2.33490000e-04  2.64000000e-06 -2.95800000e-05
  1.57126104e+00  1.57102722e+00  0.00000000e+00  1.00000000e-08]",8,100,,,3.6728264100560894e-06,2.200810289057178e-07,1.0,1.347e-05,1.12e-06,,,-0.00511244,-0.00511244,0.0,,11.00278868262827,-6.058095684334836,11.002762545575905,11.002762934385272,-11.002762739973845
0.0006462348135163324,"[-3.87907000e-03  6.47260000e-04  2.90000000e-07 -8.75200000e-05
  1.57208880e+00  1.57143903e+00  0.00000000e+00  6.00000000e-08]",8,100,,,7.461301719325111e-06,3.352836653461883e-07,1.0,4.361e-05,1.35e-06,,,-0.01422209,-0.01422209,0.0,,11.007758111048615,-6.161612850621235,11.007555843174524,11.007554781391848,-11.00755531225535
0.0012184300097726457,"[-7.31643000e-03  1.21566000e-03  4.26000000e-06 -1.63380000e-04
  1.57323319e+00  1.57200860e+00  0.00000000e+00  2.00000000e-07]",8,100,,,1.169208576972323e-05,2.422856788947302e-07,1.0,7.956e-05,4.5e-07,,,-0.0268227,-0.0268227,0.0,,11.014632717653061,-6.304796945979779,11.01391326042215,11.013913743792665,-11.013913502039054
0.0018660046566427641,"[-1.12096400e-02  1.85160000e-03  1.00000000e-08 -2.55540000e-04
  1.57452824e+00  1.57265577e+00  0.00000000e+00  4.70000000e-07]",8,100,,,5.885170177568542e-05,5.719868625232733e-07,1.0,0.00012777,1.02e-06,,,-0.04109182,-0.04109182,-0.0,,11.022418765874718,-6.4669373679459605,11.020730228168592,11.020728846833473,-11.020729535769272
0.002973346024795729,"[-1.78741500e-02  2.92113000e-03 -6.59000000e-06 -4.17570000e-04
  1.57674237e+00  1.57376856e+00  0.00000000e+00  1.22000000e-06]",8,100,,,1.1739089014356806e-05,2.989368159817009e-07,1.0,0.00021208,4.6e-07,,,-0.06551133,-0.06551133,-0.0,,11.035746235422218,-6.744408640229386,11.031454500494444,11.031455024338493,-11.031454762347567
0.004244724070430628,"[-2.55366500e-02  4.13647000e-03 -3.70000000e-06 -5.91280000e-04
  1.57928384e+00  1.57504037e+00 -0.00000000e+00  2.45000000e-06]",8,100,,,3.553926632339336e-05,5.602905548347818e-07,1.0,0.0002975,9.5e-07,,,-0.09357577,-0.09357576,0.0,,11.0510673033049,-7.063283014482353,11.04231087980617,11.042309314400393,-11.042310096471763
0.006139774769996113,"[-3.69780000e-02  5.90605000e-03 -1.58400000e-05 -8.61470000e-04
  1.58306976e+00  1.57694118e+00 -0.00000000e+00  5.08000000e-06]",8,100,,,0.00014934096892730097,4.263553670149444e-06,1.0,0.00043867,1.03e-06,,,-0.13545351,-0.13545349,2e-08,,11.073937851620002,-7.539081848211385,11.055590202977648,11.05559525008645,-11.055592715380685
0.008631932128598552,"[-5.20577600e-02  8.17521000e-03 -2.26800000e-05 -1.23006000e-03
  1.58804349e+00  1.57943125e+00 -1.00000000e-08  1.00600000e-05]",8,100,,,2.715120786173433e-06,2.5851540563841193e-07,1.0,0.00062642,1.9e-06,,,-0.19059084,-0.19059082,2e-08,,11.104065014171393,-8.165485670669632,11.067740151943681,11.067741631338201,-11.067740891637255
0.012576220887704602,"[-7.59909400e-02  1.15677900e-02 -1.11700000e-05 -1.81166000e-03
  1.59589427e+00  1.58341234e+00  1.00000000e-08  2.09500000e-05]",8,100,,,6.211184368273435e-05,2.7681094795879573e-06,1.0,0.00091159,1.2e-06,,,-0.27793653,-0.27793651,2e-08,,11.151825489365985,-9.157698210266286,11.074576783706975,11.074584490564954,-11.074580635207024
