eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0.0,4.4e-07,0.0,3.31662479,5.0
0.0,0.0001,0.0,5.8e-07,0.0,3.32736199,5.0
0,0.0001,0.0,4.3e-07,0.0,3.32347798,5.0
0,0.0001,0.0,4.3e-07,0.0,3.30495269,5.0
0,0.0001,0.0,6.3e-07,0.0,3.27208799,5.0
0,0.0001,0.0,5.9e-07,0.0,3.22549551,5.0
0,0.0001,0.0,3.6e-07,0.0,3.16606815,5.0
0,0.0001,0.0,4.8e-07,0.0,3.09493789,5.0
0,0.0001,0.0,3.7e-07,0.0,3.01342346,5.0
0,0.0001,0.0,4.7e-07,0.0,2.92297232,5.0
0,0.0001,0.0,5.3e-07,0.0,2.82510154,5.0
