t,params,num_params,num_time_steps,error_bound,error_bound_grad,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,0.0,4.3800289799866286e-07,4.3800289799866286e-07,2.2538557648994334e-07,1.0,0.0,1e-06,,,0.0,0.0,0.0,5.0,11.0,-5.999999999999995,11.0,11.000001664641582,-11.000000832320694
0.01,"[-6.00000100e-02  1.00000000e-02 -0.00000000e+00  0.00000000e+00
  1.59079633e+00  1.58079633e+00  0.00000000e+00  1.00000000e-08]",8,10,4.3800289799866284e-09,-4.321933558514501e-05,5.809542146211245e-07,3.92969672007161e-07,0.99999988,0.00035214,0.00035214,,,-0.2208797,-0.2204183,0.00046139,5.0,11.119922027855258,-8.505670794088964,11.071337798937849,11.071336907188053,-11.071337353062782
0.02,"[-1.20663820e-01  1.87766800e-02  0.00000000e+00 -0.00000000e+00
  1.61071604e+00  1.59078813e+00  0.00000000e+00  1.00000000e-08]",8,10,0,4.2566230467217264e-07,4.256623046721727e-07,2.1332067302632844e-07,0.99999954,0.00067946,0.00067946,,,-0.44222286,-0.4418078,0.00041506,5.0,11.240700023906625,-11.02139711852245,11.045505891848217,11.045504323886396,-11.045505107867216
0.03,"[-1.81686870e-01  2.62952500e-02 -0.00000000e+00 -0.00000000e+00
  1.63039941e+00  1.60075969e+00  1.00000000e-08  1.00000000e-08]",8,10,0,4.2566230467217264e-07,4.256623046721727e-07,2.463203587634604e-07,0.99999902,0.00099002,0.00099002,,,-0.66208333,-0.66222403,-0.0001407,5.0,11.361252949770536,-13.525144429051782,10.922712283605398,10.922712641271554,-10.922712462438385
0.04,"[-2.42757070e-01  3.25542900e-02  0.00000000e+00 -0.00000000e+00
  1.64968956e+00  1.61069266e+00  1.00000000e-08  1.00000000e-08]",8,10,0,6.307962682401158e-07,6.307962682401158e-07,4.306434381013139e-07,0.99999833,0.00129354,0.00129354,,,-0.87856634,-0.87974144,-0.0011751,5.0,11.48050480900841,-15.995108851254003,10.706559812044647,10.70655733813345,-10.706558575088849
0.05,"[-3.03562930e-01  3.75861500e-02  0.00000000e+00 -0.00000000e+00
  1.66843652e+00  1.62056176e+00  1.00000000e-08  1.00000000e-08]",8,10,0,5.900558791525164e-07,5.900558791525164e-07,3.9438368697321824e-07,0.99999744,0.00159971,0.00159971,,,-1.08989276,-1.09252037,-0.0026276,5.0,11.597422006677904,-18.410476091608615,10.403821256800875,10.40382046503176,-10.403820860916143
0.060000000000000005,"[-3.63801820e-01  4.14545200e-02  0.00000000e+00 -0.00000000e+00
  1.68650481e+00  1.63033522e+00  1.00000000e-08  1.00000000e-08]",8,10,0,3.625608998714816e-07,3.625608998714816e-07,1.9507306294913623e-07,0.99999633,0.00191647,0.00191647,,,-1.29445508,-1.298869,-0.00441392,5.0,11.71104818962738,-20.75212210081518,10.023987505394759,10.023988540099198,-10.023988022746911
0.07,"[-4.23187520e-01  4.42495600e-02  0.00000000e+00  0.00000000e+00
  1.70377970e+00  1.63997601e+00  1.00000000e-08  2.00000000e-08]",8,10,0,4.842304232499576e-07,4.842304232499576e-07,2.580353513074012e-07,0.99999494,0.00224862,0.00224862,,,-1.49086152,-1.4972953,-0.00643378,5.0,11.820533758087578,-23.003199491232614,9.578640547156613,9.578641602247508,-9.578641074701943
0.08,"[-4.81456740e-01  4.60811800e-02  1.00000000e-08  0.00000000e+00
  1.72017160e+00  1.64944385e+00  1.00000000e-08  2.00000000e-08]",8,10,0,3.7223088731756206e-07,3.72230887317562e-07,2.0412569665333355e-07,0.99999325,0.00259737,0.00259737,,,-1.67796618,-1.68654603,-0.00857985,5.0,11.925158472972855,-25.149577358900387,9.08072097326557,9.080720538182216,-9.080720755723824
0.09,"[-5.38374210e-01  4.70715000e-02 -0.00000000e+00 -0.00000000e+00
  1.73561813e+00  1.65869745e+00  1.00000000e-08  2.00000000e-08]",8,10,0,4.6552715753952587e-07,4.6552715753952587e-07,3.0042674166199323e-07,0.99999124,0.00296055,0.00296055,,,-1.85488445,-1.8656309,-0.01074644,5.0,12.024345837682462,-27.180111725579188,8.543767186893865,8.54376765116219,-8.543767419027917
0.09999999999999999,"[-5.93736010e-01  4.73473800e-02  0.00000000e+00  1.00000000e-08
  1.75008397e+00  1.66769694e+00  2.00000000e-08  2.00000000e-08]",8,10,0,5.264139691786675e-07,5.264139691786675e-07,3.0263035397700614e-07,0.99998889,0.00333348,0.00333348,,,-2.02099451,-2.03383147,-0.01283696,5.0,12.117669123188193,-29.086743107927134,7.981198690856705,7.981199810137542,-7.981199250496984
