eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0.0,4.4e-07,0.0,3.31662479,5.0
0.0,0.0001,0.0,5.2e-07,0.0,3.31662483,5.0
0.0,0.0001,0.0,5.8e-07,0.0,3.31662495,5.0
0.0,0.0001,0.0,6e-07,0.0,3.31662542,5.0
0.0,0.0001,0.0,5.3e-07,0.0,3.31662845,5.0
0.0,0.0001,0.0,4.5e-07,0.0,3.31663164,5.0
0.0,0.0001,0.0,5.1e-07,0.0,3.31663485,5.0
0.0,0.0001,0.0,5e-07,0.0,3.31665099,5.0
0.0,0.0001,0.0,5.5e-07,0.0,3.31671319,5.0
0.0,0.0001,0.0,4.2e-07,0.0,3.3167973,5.0
0.0,0.0001,0.0,5.1e-07,0.0,3.31694901,5.0
0.0,0.0001,0.0,5.7e-07,0.0,3.31709968,5.0
0.0,0.0001,0.0,5.7e-07,0.0,3.31738991,5.0
0.0,0.0001,0.0,3.7e-07,0.0,3.3177623,5.0
0.0,0.0001,0.0,4.6e-07,0.0,3.31845313,5.0
0.0,0.0001,0.0,5.2e-07,0.0,3.31936265,5.0
0,0.0001,0.0,5.1e-07,0.0,3.32054747,5.0
0.0,0.0001,0.0,4.2e-07,0.0,3.32118627,5.0
0.0,0.0001,0.0,5.1e-07,0.0,3.32179598,5.0
0.0,0.0001,0.0,5e-07,0.0,3.32258711,5.0
0.0,0.0001,0.0,5.2e-07,0.0,3.32343457,5.0
0.0,0.0001,0.0,5.6e-07,0.0,3.32438698,5.0
0,0.0001,0.0,6.1e-07,0.0,3.3254118,5.0
0,0.0001,0.0,5.5e-07,0.0,3.32600985,5.0
0.0,0.0001,0.0,5.1e-07,0.0,3.32612806,5.0
0.0,0.0001,0.0,6e-07,0.0,3.32624235,5.0
0.0,0.0001,0.0,3.8e-07,0.0,3.32647315,5.0
0.0,0.0001,0.0,5.3e-07,0.0,3.32679648,5.0
0,0.0001,0.0,5.5e-07,0.0,3.32708134,5.0
0,0.0001,0.0,5.1e-07,0.0,3.32732149,5.0
0,0.0001,0.0,3.8e-07,0.0,3.32752523,5.0
0.0,0.0001,0.0,5.1e-07,0.0,3.32770524,5.0
0,0.0001,0.0,5.2e-07,0.0,3.32782649,5.0
0.0,0.0001,0.0,6.3e-07,0.0,3.32784703,5.0
0,0.0001,0.0,4.9e-07,0.0,3.32772103,5.0
0.0,0.0001,0.0,5e-07,0.0,3.32743497,5.0
0.0,0.0001,0.0,5.5e-07,0.0,3.32733913,5.0
0.0,0.0001,0.0,4.8e-07,0.0,3.32723339,5.0
0.0,0.0001,0.0,5e-07,0.0,3.32703004,5.0
0.0,0.0001,0.0,4e-07,0.0,3.32674879,5.0
0,0.0001,0.0,2.1e-07,0.0,3.32638789,5.0
0.0,0.0001,0.0,5e-07,0.0,3.32580588,5.0
0,0.0001,0.0,5.4e-07,0.0,3.32494749,5.0
0,0.0001,0.0,4.4e-07,0.0,3.32468293,5.0
0,0.0001,0.0,5.3e-07,0.0,3.32440687,5.0
0,0.0001,0.0,4.6e-07,0.0,3.32385825,5.0
0.0,0.0001,0.0,3.9e-07,0.0,3.32316332,5.0
0,0.0001,0.0,6e-07,0.0,3.32199644,5.0
0,0.0001,0.0,3.8e-07,0.0,3.32170526,5.0
0,0.0001,0.0,5.8e-07,0.0,3.32140704,5.0
0.0,0.0001,0.0,3.8e-07,0.0,3.32084589,5.0
0,0.0001,0.0,6.7e-07,0.0,3.32009051,5.0
0,0.0001,0.0,5.7e-07,0.0,3.31937676,5.0
0.0,0.0001,0.0,6e-07,0.0,3.31827766,5.0
0,0.0001,0.0,4.6e-07,0.0,3.31673423,5.0
0.0,0.0001,0.0,3e-07,0.0,3.31473182,5.0
0,0.0001,0.0,5.1e-07,0.0,3.31233716,5.0
0.0,0.0001,0.0,5e-07,0.0,3.30878585,5.0
0.0,0.0001,0.0,4.7e-07,0.0,3.30837795,5.0
0.0,0.0001,0.0,5.2e-07,0.0,3.30796579,5.0
0.0,0.0001,0.0,4.6e-07,0.0,3.30720594,5.0
0.0,0.0001,0.0,5.4e-07,0.0,3.30595971,5.0
0.0,0.0001,0.0,4.8e-07,0.0,3.3040464,5.0
0,0.0001,0.0,5e-07,0.0,3.30160562,5.0
0.0,0.0001,0.0,3.3e-07,0.0,3.29809712,5.0
0,0.0001,0.0,5.1e-07,0.0,3.29413636,5.0
0.0,0.0001,0.0,5.6e-07,0.0,3.28994362,5.0
0,0.0001,0.0,5e-07,0.0,3.28472042,5.0
0,0.0001,0.0,5.7e-07,0.0,3.28348461,5.0
0,0.0001,0.0,2.5e-07,0.0,3.28223193,5.0
0,0.0001,0.0,3.5e-07,0.0,3.28015677,5.0
0,0.0001,0.0,4.2e-07,0.0,3.2771776,5.0
0.0,0.0001,0.0,4.8e-07,0.0,3.27617997,5.0
0.0,0.0001,0.0,4.9e-07,0.0,3.27517299,5.0
0.0,0.0001,0.0,5.3e-07,0.0,3.27374811,5.0
0.0,0.0001,0.0,3e-07,0.0,3.27157134,5.0
0,0.0001,0.0,5.5e-07,0.0,3.26881767,5.0
0.0,0.0001,0.0,5.7e-07,0.0,3.26537048,5.0
0,0.0001,0.0,5.9e-07,0.0,3.26091965,5.0
0.0,0.0001,0.0,5.1e-07,0.0,3.25432476,5.0
0,0.0001,0.0,3.2e-07,0.0,3.2467859,5.0
0.0,0.0001,0.0,5.5e-07,0.0,3.23824129,5.0
0.0,0.0001,0.0,5e-07,0.0,3.2365883,5.0
0.0,0.0001,0.0,5.2e-07,0.0,3.23492127,5.0
0.0,0.0001,0.0,4.4e-07,0.0,3.2322303,5.0
0.0,0.0001,0.0,4.5e-07,0.0,3.22809431,5.0
0,0.0001,0.0,5.5e-07,0.0,3.22319844,5.0
0.0,0.0001,0.0,6e-07,0.0,3.21709716,5.0
0,0.0001,0.0,4.6e-07,0.0,3.2102791,5.0
0,0.0001,0.0,4.8e-07,0.0,3.20862365,5.0
0,0.0001,0.0,5.2e-07,0.0,3.20695771,5.0
0,0.0001,0.0,5.2e-07,0.0,3.20445254,5.0
0.0,0.0001,0.0,4.6e-07,0.0,3.20372993,5.0
0.0,0.0001,0.0,4.5e-07,0.0,3.20300542,5.0
0.0,0.0001,0.0,5.1e-07,0.0,3.20151374,5.0
0.0,0.0001,0.0,6.2e-07,0.0,3.19884133,5.0
