t,params,num_params,num_time_steps,error_bound,error_bound_grad,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,0.0,4.3800289799866286e-07,4.3800289799866286e-07,2.2538557648994334e-07,1.0,0.0,1e-06,,,0.0,0.0,0.0,5.0,11.0,-5.999999999999995,11.0,11.000001664641582,-11.000000832320694
2.324952440765189e-08,"[-1.40000000e-07  2.00000000e-08 -0.00000000e+00  0.00000000e+00
  1.57079637e+00  1.57079635e+00 -0.00000000e+00  0.00000000e+00]",8,10,1.2798152947012747e-14,5.194932647536646e-07,5.196212462831347e-07,2.95365054099827e-07,1.0,0.0,1e-06,,,-5.1e-07,-5.1e-07,0.0,5.0,11.00000027899428,-6.000005812380915,11.000000278994019,11.000000893772015,-11.000000586382882
8.708531151783198e-08,"[-5.20000000e-07  9.00000000e-08 -0.00000000e+00  0.00000000e+00
  1.57079650e+00  1.57079641e+00 -0.00000000e+00 -0.00000000e+00]",8,10,5.191411063767381e-14,5.834847228918403e-07,5.840038639982171e-07,4.024185812014453e-07,1.0,0.0,1e-06,,,-1.92e-06,-1.92e-06,-0.0,5.0,11.000001045023781,-6.000021771329429,11.000001045020111,10.999999114217115,-11.000000079618442
3.4853504645647505e-07,"[-2.09000000e-06  3.50000000e-07 -0.00000000e+00  0.00000000e+00
  1.57079702e+00  1.57079668e+00 -0.00000000e+00 -0.00000000e+00]",8,10,1.794474604493077e-13,5.942519731494133e-07,5.960464477539062e-07,3.851697199328959e-07,1.0,0.0,1e-06,,,-7.67e-06,-7.67e-06,0.0,5.0,11.00000418242153,-6.0000871337753,11.000004182362737,11.000005809082708,-11.000004995722545
2.021641320548382e-06,"[-1.21300000e-05  2.02000000e-06 -0.00000000e+00  0.00000000e+00
  1.57080037e+00  1.57079835e+00 -0.00000000e+00 -0.00000000e+00]",8,10,1.1578786675990846e-12,5.148351825026766e-07,5.264139691786675e-07,2.979979673025379e-07,1.0,0.0,1e-06,,,-4.448e-05,-4.448e-05,-0.0,5.0,11.000024259728828,-6.0005054109011535,11.000024257750699,11.000025722365107,-11.000024990057764
3.7847015557359304e-06,"[-2.27100000e-05  3.78000000e-06  0.00000000e+00 -0.00000000e+00
  1.57080390e+00  1.57080011e+00 -0.00000000e+00 -0.00000000e+00]",8,10,1.9562660756084716e-12,4.304425388712402e-07,4.5000519962732493e-07,2.6150892383198025e-07,1.0,0.0,1e-06,,,-8.326e-05,-8.326e-05,-0.0,5.0,11.000045416533336,-6.000946177324706,11.000045409600506,11.000045028079496,-11.0000452188399
5.559652456060972e-06,"[-3.33600000e-05  5.56000000e-06  0.00000000e+00 -0.00000000e+00
  1.57080745e+00  1.57080189e+00 -0.00000000e+00 -0.00000000e+00]",8,10,2.9572178894708872e-12,4.831663628897343e-07,5.127385417844431e-07,2.7121038403899377e-07,1.0,0.0,1e-06,,,-0.00012231,-0.00012231,-0.0,5.0,11.000066716077274,-6.001389917225241,11.000066701116872,11.000065901799138,-11.000066301457874
1.448902130663643e-05,"[-8.69300000e-05  1.44900000e-05  0.00000000e+00 -0.00000000e+00
  1.57082530e+00  1.57081082e+00 -0.00000000e+00  0.00000000e+00]",8,10,7.131487301502838e-12,4.3092279103938704e-07,5.022376640544152e-07,3.0559723869252426e-07,1.0,0.0,1e-06,,,-0.00031876,-0.00031876,-0.0,5.0,11.000173869939672,-6.00362228311263,11.0001737683311,11.000173511182464,-11.000173639756655
4.895970729575429e-05,"[-2.93770000e-04  4.89500000e-05  0.00000000e+00 -0.00000000e+00
  1.57089425e+00  1.57084529e+00 -0.00000000e+00 -0.00000000e+00]",8,10,1.983529534980958e-11,3.5439778270842003e-07,5.527507362065139e-07,3.4543387262133594e-07,1.0,0.0,1e-06,,,-0.00107714,-0.00107714,-0.0,5.0,11.000587535662842,-6.012240242960919,11.000586375427298,11.000585001752448,-11.00058568858972
9.572563742131149e-05,"[-5.74390000e-04  9.56700000e-05  0.00000000e+00 -0.00000000e+00
  1.57098778e+00  1.57089205e+00 -0.00000000e+00 -0.00000000e+00]",8,10,3.314379593172443e-11,8.579455411049556e-08,4.172325134277344e-07,2.1263965070027682e-07,1.0,0.0,1e-06,,,-0.00210607,-0.00210607,-0.0,5.0,11.001148780840849,-6.023932615835758,11.001144345294335,11.001142091619867,-11.001143218457015
0.00018052159995882812,"[-1.08326000e-03  1.80330000e-04  0.00000000e+00 -0.00000000e+00
  1.57115737e+00  1.57097685e+00 -0.00000000e+00  0.00000000e+00]",8,10,4.8168659792917494e-11,2.407558420156505e-08,5.057621821307283e-07,2.6878276459821275e-07,1.0,0.0,1e-06,,,-0.00397186,-0.00397186,-0.0,5.0,11.002166518947401,-6.045134682246991,11.002150743239435,11.002153692778016,-11.002152218008597
0.00026531756249634474,"[-1.59219000e-03  2.64900000e-04  0.00000000e+00 -0.00000000e+00
  1.57132696e+00  1.57106164e+00 -0.00000000e+00 -0.00000000e+00]",8,10,5.3074084852659374e-11,4.096682017277064e-08,5.717076686993503e-07,4.0160705882594154e-07,1.0,0.0,1e-06,,,-0.00583783,-0.00583783,-0.0,5.0,11.00318437067587,-6.0663386184332895,11.003150290470234,11.003151994565712,-11.00315114251781
0.0004303353065873035,"[-2.58275000e-03  4.29220000e-04  0.00000000e+00 -0.00000000e+00
  1.57165700e+00  1.57122666e+00 -0.00000000e+00 -0.00000000e+00]",8,10,4.118662390508791e-11,1.629401388960399e-07,5.748063779469106e-07,3.5172811181754425e-07,1.0,0.0,1e-06,,,-0.00946957,-0.00946957,-0.0,5.0,11.00516549108253,-6.107607986715772,11.005075818253754,11.005077328716034,-11.005076573484729
0.000645428822739821,"[-3.87423000e-03  6.42930000e-04  0.00000000e+00 -0.00000000e+00
  1.57208718e+00  1.57144176e+00  0.00000000e+00 -0.00000000e+00]",8,10,5.292742571282359e-11,-1.6184655023281226e-07,3.674277068954096e-07,2.4532639680999764e-07,1.0,0.0,1e-06,,,-0.01420435,-0.01420435,0.0,5.0,11.007748430981009,-6.161411225509057,11.007546667491027,11.007547499978342,-11.007547083734618
0.0010551648252123012,"[-6.33538000e-03  1.04847000e-03  0.00000000e+00 -0.00000000e+00
  1.57290663e+00  1.57185149e+00 -0.00000000e+00 -0.00000000e+00]",8,10,1.3460920893809333e-10,-8.882601256111317e-07,4.5783196376971053e-07,2.50996296169138e-07,1.0,0.0,1e-06,,,-0.02322661,-0.02322661,0.0,5.0,11.012670677462465,-6.263933934306617,11.012131201919253,11.012131082858108,-11.012131142388576
0.0016181351744321976,"[-0.00971908  0.00160238  0.         -0.          1.57403249  1.57241446
 -0.         -0.        ]",8,10,1.0480175295590503e-10,-5.318261639686379e-07,5.16191365590357e-07,3.200592411745015e-07,1.0,0.0,1e-06,,,-0.03562905,-0.03562905,0.0,5.0,11.019437821305733,-6.404864147189455,11.01816839231502,11.018167702827562,-11.018168047571157
0.0023986111928974785,"[-0.014414    0.00236396  0.         -0.          1.5755932   1.57319492
 -0.          0.        ]",8,10,0,5.127385417844431e-07,5.127385417844431e-07,2.796003119743211e-07,1.0,0.0,1e-06,,,-0.0528341,-0.0528341,-0.0,5.0,11.028826924701493,-6.600362476223361,11.026035482982435,11.026035204010807,-11.026035343496488
0.002845677228254948,"[-0.01710532  0.00279687  0.         -0.          1.57648709  1.57364197
  0.          0.        ]",8,10,1.59009357927957e-10,-1.1686250941705015e-06,4.2146848510894033e-07,2.1228134247631407e-07,1.0,0.0,1e-06,,,-0.06269474,-0.06269474,-0.0,5.0,11.034208840173468,-6.712405093713508,11.030278209805417,11.030277205874615,-11.030277707839927
0.0032927432636124174,"[-0.01979807  0.00322735  0.         -0.          1.5773809   1.57408902
  0.          0.        ]",8,10,9.098510260395978e-11,-3.9711248425511266e-07,5.127385417844431e-07,2.99710684491341e-07,1.0,0.0,1e-06,,,-0.07255909,-0.07255909,-0.0,5.0,11.039593348781988,-6.824488120875014,11.034328527271382,11.034327465858976,-11.034327996565047
0.003907707793915708,"[-0.02350439  0.00381552  0.         -0.          1.57861022  1.57470395
  0.          0.        ]",8,10,8.964521801747395e-11,-3.942145161202834e-07,5.022376640544152e-07,2.6053841334183517e-07,1.0,0.0,1e-06,,,-0.0861338,-0.0861338,-0.0,5.0,11.047004105784781,-6.978727107511923,11.03958507395283,11.039586414041766,-11.039585743997172
0.00462005927177063,"[-0.02780087  0.00449106  0.         -0.          1.58003393  1.57541625
  0.         -0.        ]",8,10,8.597383749721268e-11,-3.43547009381732e-07,5.16191365590357e-07,2.778671807680626e-07,1.0,0.0,1e-06,,,-0.101866,-0.101866,-0.0,5.0,11.055594023471825,-7.157475950499979,11.045217341188044,11.04521469696947,-11.045216019078625
0.005507805480040789,"[-0.03315993  0.00532424  0.         -0.          1.58180767  1.57630389
  0.          0.        ]",8,10,1.0458640304104633e-10,-4.89908915265629e-07,5.559551151447782e-07,3.337912055494404e-07,1.0,0.0,1e-06,,,-0.12148243,-0.12148244,-0.0,5.0,11.06630676540135,-7.380351367223808,11.051548783230308,11.051548698013345,-11.051548740621671
0.006613220583467255,"[-0.03983997  0.00634816  0.         -0.          1.58401537  1.57740912
 -0.          0.        ]",8,10,0,6.136673772923351e-07,6.136673772923351e-07,4.059147556959546e-07,1.0,0.0,1e-06,,,-0.14592328,-0.14592329,-0.0,5.0,11.079657251573895,-7.658030966167165,11.058363646112003,11.058362946544195,-11.058363296327911
0.007369497803722601,"[-0.04441442  0.00704001  0.         -0.          1.58552508  1.57816523
 -0.          0.        ]",8,10,0,5.462855929083633e-07,5.462855929083633e-07,3.3665213300879924e-07,1.0,0.0,1e-06,,,-0.16265274,-0.16265274,-0.0,5.0,11.088797446065584,-7.848093302102777,11.06234153172811,11.062341685047775,-11.062341608387793
0.0075329028513690865,"[-0.04540324  0.00718857  0.         -0.          1.58585119  1.5783286
 -0.          0.        ]",8,10,5.265872481643179e-11,-2.08250660335752e-08,5.057621821307283e-07,2.668427735493908e-07,1.0,0.0,1e-06,,,-0.16626815,-0.16626816,-0.0,5.0,11.090772947358763,-7.889167181691269,11.063127847767388,11.063128439412525,-11.063128143589829
0.007696307899015572,"[-0.04639222  0.0073368   0.         -0.          1.58617727  1.57849196
 -0.          0.        ]",8,10,5.4354654057250834e-11,5.249990718141317e-08,5.960464477539062e-07,3.819326184408471e-07,1.0,0.0,1e-06,,,-0.16988382,-0.16988382,-0.0,5.0,11.092748660257849,-7.930243715403295,11.06388814701454,11.06389061760577,-11.063889382309977
0.008045015786699763,"[-0.0485032   0.00765201  0.         -0.          1.58687302  1.57884057
 -0.          0.        ]",8,10,1.2700717015809876e-10,-8.884157559560251e-07,3.816559456248789e-07,1.9879745952557547e-07,1.0,0.0,1e-06,,,-0.17760049,-0.1776005,-0.0,5.0,11.096965535984907,-8.01790983563964,11.065423599925838,11.06542443318687,-11.06542401655628
0.008587033043799486,"[-0.05178578  0.00813897  0.         -0.          1.58795416  1.57938241
 -0.          0.        ]",8,10,5.359847316902732e-11,-9.570762511590735e-09,5.264139691786675e-07,3.220522018218052e-07,1.0,0.0,1e-06,,,-0.18959699,-0.18959699,-0.0,5.0,11.10352183747762,-8.154195358195425,11.067574818842234,11.067572914880028,-11.067573866860993
0.009138799078180495,"[-0.05512903  0.00863095  0.         -0.          1.58905435  1.57993397
 -0.          0.        ]",8,10,0,5.462855929083633e-07,5.462855929083633e-07,3.140014369665624e-07,1.0,0.0,1e-06,,,-0.20181148,-0.20181149,-0.0,5.0,11.11019810576713,-8.29295501022995,11.069470229589674,11.069470617249342,-11.069470423419359
0.009690565112561503,"[-0.05847387  0.00911915  0.         -0.          1.5901541   1.5804855
 -0.          0.        ]",8,10,0,5.127385417844431e-07,5.127385417844431e-07,2.9314040818990504e-07,1.0,0.0,1e-06,,,-0.21402791,-0.21402791,-0.0,5.0,11.116876256074221,-8.43173405981079,11.071068309880006,11.071067172161898,-11.071067741020821
0.010268992129238893,"[-0.06198201  0.00962687  0.         -0.          1.5913065   1.58106365
 -0.          0.        ]",8,10,0,3.816559456248789e-07,3.816559456248789e-07,2.3017773872618616e-07,1.0,0.0,1e-06,,,-0.22683633,-0.22683634,-0.0,5.0,11.123878912475654,-8.577235622386198,11.072424189431452,11.07242226585418,-11.072423227642743
0.01096507020384565,"[-0.06620586  0.01023234  0.         -0.          1.59269258  1.58175935
 -0.          0.        ]",8,10,1.9571503369805962e-10,-1.4444117951959524e-06,5.127385417844431e-07,2.764678198360361e-07,1.0,0.0,1e-06,,,-0.24225177,-0.24225177,-0.0,5.0,11.132308074312565,-8.752348749027474,11.07362215566197,11.073622394352334,-11.073622275007022
0.011791559949323576,"[-0.071224    0.0109434   0.         -0.          1.59433727  1.58258531
 -0.          0.        ]",8,10,0,5.196212462831347e-07,5.196212462831347e-07,2.7776446706324697e-07,1.0,0.0,1e-06,,,-0.26055699,-0.260557,-0.0,5.0,11.142319067562493,-8.960283775098478,11.074429118203959,11.074429024499471,-11.074429071351581
0.012625834111634674,"[-0.07629248  0.01165251  0.         -0.          1.59599617  1.58341896
 -0.          0.        ]",8,10,1.6110003617360405e-10,-9.773942966572487e-07,6.336060650786549e-07,4.1565794309916353e-07,1.0,0.0,1e-06,,,-0.27903542,-0.27903543,-0.0,5.0,11.152426629959782,-9.170180677019264,11.074565859756206,11.074564282985444,-11.074565071370623
0.013709016301910282,"[-0.08287747  0.01256019  0.         -0.          1.59814795  1.58450119
 -0.          0.        ]",8,10,0,4.878850443287164e-07,4.878850443287164e-07,2.46543815617171e-07,1.0,0.0,1e-06,,,-0.30302627,-0.30302627,-0.0,5.0,11.165552191135964,-9.442684945587423,11.073727270406494,11.073727588287637,-11.073727429346947
0.014757031950969463,"[-0.08925297  0.01342441  0.         -0.          1.60022747  1.5855481
 -0.         -0.        ]",8,10,4.204632357880397e-13,4.980330316965348e-07,5.022376640544152e-07,2.6395963980944883e-07,1.0,0.0,1e-06,,,-0.32623534,-0.32623534,-0.0,5.0,11.178252975566563,-9.70630052264292,11.071823477028941,11.071824813508501,-11.071824145268595
0.015016726485322367,"[-0.09083341  0.01363643  0.         -0.          1.60074239  1.5858075
 -0.         -0.        ]",8,10,1.0869366449890841e-10,-5.37408972621157e-07,5.495276723678641e-07,3.217107448592435e-07,1.0,0.0,1e-06,,,-0.33198576,-0.33198576,-0.0,5.0,11.181400243242894,-9.7716142011699,11.071185695800486,11.071185749302872,-11.071185722551528
0.01527642101967527,"[-0.09241408  0.01384761  0.         -0.          1.60125714  1.58606688
 -0.         -0.        ]",8,10,6.512231571707451e-11,-1.6699273392076487e-07,4.842304232499576e-07,2.4977908835004116e-07,1.0,0.0,1e-06,,,-0.33773583,-0.33773584,-0.0,5.0,11.184547495904278,-9.836923392022442,11.070482000375902,11.070480600566313,-11.070481300470991
0.015719617355808145,"[-0.09511218  0.01420605  0.         -0.          1.60213525  1.58650951
 -0.         -0.        ]",8,10,7.611679710260864e-11,-2.6247973423273066e-07,4.986882367933247e-07,2.5846423378445146e-07,1.0,0.0,1e-06,,,-0.34754804,-0.34754804,-0.0,5.0,11.189918526838847,-9.94836900046939,11.069128883470153,11.069129857671115,-11.06912937057051
