eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0,0.0,0,3.31662479,5.0
0.0,0.0001,0,0.0,0,3.31662483,5.0
0.0,0.0001,0,0.0,0,3.31662525,5.0
0.0,0.0001,0,0.0,0,3.31662946,5.0
0.0,0.0001,0.0,0.0,0.0,3.31667147,5.0
0.0,0.0001,0.0,6e-08,0.0,3.31687862,5.0
0,0.0001,0,0.0,0,3.31768922,5.0
0,0.0001,0,0.0,0,3.31864206,5.0
0,0.0001,0.0,1.2e-07,0.0,3.32204286,5.0
0,0.0001,0,0.0,0,3.32262981,5.0
0,0.0001,0,0.0,0,3.32318563,5.0
0,0.0001,0,0.0,0,3.32702617,5.0
0,0.0001,0,0.0,0,3.19723801,5.0
0,0.0001,0,0.0,0,2.83339485,5.0
