t,params,num_params,num_time_steps,error_bound,error_bound_grad,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,0.0,3.0000000000000373,3.0000000000000373,2.5297330292753653e-07,1.0,0.0,1e-06,,,0.0,0.0,0.0,5.0,11.0,,11.0,1.9999995620669737,1.9999997810333743
0.01,"[-1.00000000e-08  0.00000000e+00 -2.44000000e-06  0.00000000e+00
  1.57079633e+00  1.57079632e+00  2.00000000e-02  1.99999900e-02]",8,10,0.030000000000000374,2.9999998972100284,2.9999998972100284,1.8217242194089176e-07,0.99910029,0.02999854,0.02999854,,,0.0,-2e-08,-2e-08,5.0,11.000799905879507,,11.000799905879507,2.0008011957638563,2.000800859191591
0.02,"[8.00080000e-04 1.00000000e-08 1.14272200e-02 3.89000000e-06
 1.57079632e+00 1.57079632e+00 3.99960000e-02 3.99960000e-02]",8,10,0.05999999897210066,3.0003146340864024,3.0003146340864024,0.0013109959924583682,0.99640457,0.06025932,0.0599889,,,0.0,0.00240083,0.00240083,5.0,11.001600150359286,,11.001594386370767,1.9974210415583558,1.9985637622080503
0.03,"[ 1.70517000e-03 -2.17400000e-05  1.36647000e-03  8.91300000e-05
  1.57080019e+00  1.57080570e+00  5.99694000e-02  5.99603300e-02]",8,10,0.09000314531296469,2.9983693207247346,2.9983693207247346,0.003036249191240103,0.9919256,0.08995141,0.08994865,,,0.0,0.0051243,0.0051243,5.0,11.003784865853971,,11.003758607401538,2.000290920583492,2.0069154722608613
0.04,"[ 3.97960000e-03 -9.48700000e-05 -1.95125200e-02  2.28480000e-04
  1.57078942e+00  1.57091212e+00  7.98957800e-02  7.98733300e-02]",8,10,0.11998683852021204,2.9868968491082066,2.9868968491082066,0.006076486101727064,0.98569192,0.12022511,0.11983168,,,0.0,0.01191058,0.01191058,5.0,11.004828964093596,,11.004687102270747,2.0300543996565534,2.056594357357384
0.05,"[ 8.31609000e-03 -1.09010000e-03 -6.67980400e-02  1.55007000e-03
  1.57079482e+00  1.57192105e+00  9.97893700e-02  9.97301200e-02]",8,10,0.1498558070112941,2.9433328667777716,2.9433328667777716,0.0165616241459846,0.97778621,0.15302008,0.14946084,,,-0.0,0.02475805,0.02475805,5.0,11.003407581782307,,11.002794620909127,2.1262967581521015,2.2329415072034866
0.060000000000000005,"[ 1.63232200e-02 -4.19950000e-04 -1.54931690e-01  1.78970000e-03
  1.57075107e+00  1.57154845e+00  1.19469830e-01  1.19526940e-01]",8,10,0.17928913567907184,2.7731224462094226,2.7731224462094226,0.024398239135282457,0.96846248,0.19419572,0.178298,,,0.0,0.04750674,0.04750674,5.0,10.99662871185132,,10.994371821187531,2.4249032270404474,2.8645334732787235
0.07,"[ 0.03000961 -0.00188859 -0.3437316   0.00514456  1.57082412  1.57284395
  0.13888333  0.13912041]",8,10,0.20702036014116607,2.277837484404546,2.277837484404546,0.050608857526676564,0.95869671,0.26548911,0.20430082,,,0.0,0.08181978,0.08181978,5.0,10.982982707800467,,10.976288231069608,3.677014794698022,4.7323797102046
0.08,"[ 0.05557573 -0.00236378 -0.64561561  0.00383086  1.57029524  1.57217007
  0.15780606  0.15794913]",8,10,0.22979873498521153,1.2029489233711441,1.2029489233711441,0.03845758278717786,0.95110634,0.38941198,0.2225003,,,0.0,0.12410081,0.12410081,5.0,10.962903346196038,,10.947502334379337,7.06876285006593,8.284589536102736
0.09,"[ 9.64061100e-02  1.03370000e-03 -1.00563979e+00  1.23141000e-03
  1.56932615e+00  1.56775409e+00  1.77256620e-01  1.76671370e-01]",8,10,0.24182822421892297,0.21242379834412295,0.21242379834412295,0.013007466666111732,0.94851164,0.54527775,0.2284048,,,0.0,0.12923791,0.12923791,5.0,10.96194937733179,,10.945246938784576,10.478743569445435,10.689433319063534
0.09999999999999999,"[ 1.50887400e-01  9.71040000e-04 -1.23212176e+00  1.92173000e-02
  1.56775372e+00  1.56612920e+00  1.96468320e-01  1.95344940e-01]",8,10,0.2439524622023642,5.559551151447782e-07,5.559551151447782e-07,3.855522328808999e-07,0.94875505,0.63559832,0.22785706,,,-0.0,0.10089809,0.10089809,5.0,10.979274584298809,,10.969094159179333,10.969094485031773,10.969094322105398
