eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0,0.0,0,3.31662479,5.0
0.0,0.0001,0,0.0,0,3.32736199,5.0
0.0,0.0001,0,0.0,0,3.32347798,5.0
0.0,0.0001,0,0.0,0,3.30495269,5.0
0.0,0.0001,0,0.0,0,3.27208799,5.0
0.0,0.0001,0,0.0,0,3.2254955,5.0
0.0,0.0001,0,0.0,0,3.16606813,5.0
0.0,0.0001,0,0.0,0,3.09493788,5.0
0.0,0.0001,0,0.0,0,3.01342346,5.0
0.0,0.0001,0,0.0,0,2.92297231,5.0
0.0,0.0001,0,0.0,0,2.82510153,5.0
0.0,0.0001,0,0.0,0,2.72134184,5.0
0.0,0.0001,0,0.0,0,2.61318797,5.0
0.0,0.0001,0,0.0,0,2.50205771,5.0
0.0,0.0001,0,0.0,0,2.38926058,5.0
0.0,0.0001,0,0.0,0,2.27597637,5.0
0.0,0.0001,0,0.0,0,2.16324281,5.0
0.0,0.0001,0,0.0,0,2.05195111,5.0
0.0,0.0001,0,0.0,0,1.94284791,5.0
0.0,0.0001,0,0.0,0,1.83654214,5.0
0.0,0.0001,0.0,7e-08,0.0,1.73351519,5.0
0.0,0.0001,0.0,0.0,0.0,1.63413323,5.0
0,0.0001,0,0.0,0,1.53866055,5.0
0,0.0001,0,0.0,0,1.44727311,5.0
0,0.0001,0,0.0,0,1.36007161,5.0
0,0.0001,0,0.0,0,1.27709386,5.0
0,0.0001,0.0,2e-08,0.0,1.19832594,5.0
0,0.0001,0.0,4e-08,0.0,1.12371229,5.0
0,0.0001,0,0.0,0,1.05316445,5.0
0,0.0001,0.0,7e-08,0.0,0.98656867,5.0
0,0.0001,0,0.0,0,0.92379234,5.0
0,0.0001,0.0,5e-08,0.0,0.86468942,5.0
0,0.0001,0.0,2e-08,0.0,0.80910491,5.0
0,0.0001,0.0,6e-08,0.0,0.75687852,5.0
0,0.0001,0,0.0,0,0.70784765,5.0
0,0.0001,0,0.0,0,0.66184972,5.0
0,0.0001,0,0.0,0,0.61872406,5.0
0,0.0001,0,0.0,0,0.57831334,5.0
0,0.0001,0,0.0,0,0.54046458,5.0
0,0.0001,0.0,2e-08,0.0,0.50503001,5.0
0,0.0001,0,0.0,0,0.47186759,5.0
0,0.0001,0,0.0,0,0.44084133,5.0
0,0.0001,0,0.0,0,0.41182156,5.0
0,0.0001,0,0.0,0,0.38468494,5.0
0,0.0001,0,0.0,0,0.35931451,5.0
0,0.0001,0,0.0,0,0.33559958,5.0
