eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0,0.0,0,3.31662479,5.0
0.0,0.0001,0,0.0,0,3.31662483,5.0
0.0,0.0001,0,0.0,0,3.31662525,5.0
0.0,0.0001,0,0.0,0,3.31662946,5.0
0.0,0.0001,0,0.0,0,3.31667147,5.0
0.0,0.0001,0,0.0,0,3.3170873,5.0
0.0,0.0001,0,0.0,0,3.32081486,5.0
0.0,0.0001,0,0.0,0,3.31458356,5.0
0.0,0.0001,0,0.0,0,1.97877136,5.0
0.0,0.0001,0,0.0,0,0.69693535,5.0
0.0,0.0001,0,0.0,0,0.21375036,5.0
0.0,0.0001,0,0.0,0,0.07268305,5.0
0.0,0.0001,0,0.0,0,0.02496019,5.0
0.0,0.0001,0,0.0,0,0.0095624,5.0
