eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0,0.0,0,3.31662479,5.0
0.0,0.0001,0,0.0,0,3.32736199,5.0
0.0,0.0001,0,0.0,0,3.32347798,5.0
0.0,0.0001,0,0.0,0,3.30495269,5.0
0.0,0.0001,0,0.0,0,3.27208799,5.0
0.0,0.0001,0,0.0,0,3.2254955,5.0
0.0,0.0001,0,0.0,0,3.16606813,5.0
0.0,0.0001,0,0.0,0,3.09493788,5.0
0.0,0.0001,0,0.0,0,3.01342346,5.0
0.0,0.0001,0,0.0,0,2.92297231,5.0
0.0,0.0001,0,0.0,0,2.82510153,5.0
0.0,0.0001,0,0.0,0,2.72134184,5.0
0.0,0.0001,0,0.0,0,2.61318797,5.0
0.0,0.0001,0,0.0,0,2.50205771,5.0
0.0,0.0001,0,0.0,0,2.38926058,5.0
0.0,0.0001,0,0.0,0,2.27597637,5.0
0.0,0.0001,0,0.0,0,2.16324281,5.0
0.0,0.0001,0,0.0,0,2.05195111,5.0
0.0,0.0001,0,0.0,0,1.94284791,5.0
0.0,0.0001,0,0.0,0,1.83654214,5.0
0.0,0.0001,0,7e-08,0,1.73351519,5.0
0.0,0.0001,0,0.0,0,1.63413323,5.0
0.0,0.0001,0,0.0,0,1.53866055,5.0
0.0,0.0001,0,0.0,0,1.44727311,5.0
0.0,0.0001,0,0.0,0,1.36007161,5.0
0.0,0.0001,0,0.0,0,1.27709386,5.0
0.0,0.0001,0,2e-08,0,1.19832594,5.0
0.0,0.0001,0,4e-08,0,1.12371229,5.0
0.0,0.0001,0,0.0,0,1.05316445,5.0
0.0,0.0001,0,7e-08,0,0.98656867,5.0
0.0,0.0001,0,0.0,0,0.92379234,5.0
0.0,0.0001,0,5e-08,0,0.86468942,5.0
0.0,0.0001,0,2e-08,0,0.80910491,5.0
0.0,0.0001,0,6e-08,0,0.75687852,5.0
0.0,0.0001,0,0.0,0,0.70784765,5.0
0.0,0.0001,0,0.0,0,0.66184972,5.0
0.0,0.0001,0,0.0,0,0.61872406,5.0
0.0,0.0001,0,0.0,0,0.57831334,5.0
0.0,0.0001,0,4e-08,0,0.54046458,5.0
0.0,0.0001,0,2e-08,0,0.50503001,5.0
0.0,0.0001,0,0.0,0,0.47186759,5.0
0.0,0.0001,0,0.0,0,0.44084133,5.0
0.0,0.0001,0,0.0,0,0.41182156,5.0
0.0,0.0001,0,0.0,0,0.38468494,5.0
0.0,0.0001,0,4e-08,0,0.35931451,5.0
0.0,0.0001,0,0.0,0,0.33559958,5.0
0.0,0.0001,0,5e-08,0,0.31343556,5.0
0.0,0.0001,0,5e-08,0,0.29272384,5.0
0.0,0.0001,0,4e-08,0,0.27337152,5.0
0.0,0.0001,0,0.0,0,0.25529122,5.0
0.0,0.0001,0,4e-08,0,0.23840083,5.0
0.0,0.0001,0,0.0,0,0.22262323,5.0
0.0,0.0001,0,0.0,0,0.20788608,5.0
0.0,0.0001,0,0.0,0,0.19412156,5.0
0.0,0.0001,0,0.0,0,0.18126612,5.0
0.0,0.0001,0,0.0,0,0.16926022,5.0
0.0,0.0001,0,0.0,0,0.15804813,5.0
0.0,0.0001,0,0.0,0,0.14757769,5.0
0.0,0.0001,0,0.0,0,0.13780011,5.0
0.0,0.0001,0,0.0,0,0.12866975,5.0
0.0,0.0001,0,3e-08,0,0.12014394,5.0
0.0,0.0001,0,0.0,0,0.11218278,5.0
0.0,0.0001,0,0.0,0,0.10474898,5.0
0.0,0.0001,0,0.0,0,0.09780769,5.0
0.0,0.0001,0,0.0,0,0.09132635,5.0
0.0,0.0001,0,5e-08,0,0.08527453,5.0
0.0,0.0001,0,4e-08,0,0.07962381,5.0
0.0,0.0001,0,8e-08,0,0.07434763,5.0
0.0,0.0001,0,0.0,0,0.0694212,5.0
0.0,0.0001,0,0.0,0,0.06482134,5.0
0.0,0.0001,0,1e-08,0,0.06052643,5.0
0.0,0.0001,0,0.0,0,0.05651626,5.0
0.0,0.0001,0,6e-08,0,0.05277195,5.0
0.0,0.0001,0,0.0,0,0.0492759,5.0
0.0,0.0001,0,0.0,0,0.04601165,5.0
0.0,0.0001,0,3e-08,0,0.04296382,5.0
0.0,0.0001,0,0.0,0,0.04011809,5.0
0.0,0.0001,0,0.0,0,0.03746104,5.0
0.0,0.0001,0,0.0,0,0.03498018,5.0
0.0,0.0001,0,8e-08,0,0.03266383,5.0
0.0,0.0001,0,0.0,0,0.03050107,5.0
0.0,0.0001,0,0.0,0,0.02848174,5.0
0.0,0.0001,0,0.0,0,0.02659632,5.0
0.0,0.0001,0,0.0,0,0.02483594,5.0
0.0,0.0001,0,0.0,0,0.02319231,5.0
0.0,0.0001,0,0.0,0,0.02165771,5.0
0.0,0.0001,0,2e-08,0,0.02022489,5.0
0.0,0.0001,0,3e-08,0,0.01888713,5.0
0.0,0.0001,0,0.0,0,0.01763812,5.0
0.0,0.0001,0,0.0,0,0.01647199,5.0
0.0,0.0001,0,0.0,0,0.01538325,5.0
0.0,0.0001,0,7e-08,0,0.01436678,5.0
0.0,0.0001,0,0.0,0,0.01341778,5.0
0.0,0.0001,0,0.0,0,0.0125318,5.0
0.0,0.0001,0,0.0,0,0.01170467,5.0
0.0,0.0001,0,0.0,0,0.0109325,5.0
0.0,0.0001,0,0.0,0,0.01021164,5.0
0.0,0.0001,0,0.0,0,0.00953872,5.0
0.0,0.0001,0,0.0,0,0.00891056,5.0
0.0,0.0001,0,0.0,0,0.0083242,5.0
