t,params,num_params,num_time_steps,error_bound,error_bound_grad,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,100,0.0,0.0,0.0,3.8608160615066102e-16,1.0,0.0,1e-06,,,0.0,0.0,0.0,5.0,11.0,-5.999999999999995,11.0,11.000000000000002,-11.000000000000002
0.01,"[-0.06        0.01       -0.          0.          1.59079633  1.58079633
  0.          0.        ]",8,100,0.0,0.0,0.0,9.007000034535313e-16,0.99999988,0.00035214,0.00035214,,,-0.2208797,-0.22041829,0.00046141,5.0,11.119922016608209,-8.505670606492401,11.071337795196097,11.071337795196088,-11.071337795196094
0.02,"[-0.12066382  0.01877669 -0.         -0.          1.61071604  1.59078813
  0.         -0.        ]",8,100,0.0,0.0,0.0,5.618156836883671e-16,0.99999954,0.00067947,0.00067947,,,-0.44222286,-0.44180779,0.00041507,5.0,11.24070001088372,-11.021397044099249,11.04550588653363,11.04550588653363,-11.045505886533633
0.03,"[-0.18168687  0.02629526 -0.         -0.          1.63039942  1.6007597
  0.         -0.        ]",8,100,0.0,0.0,0.0,7.671856408585615e-16,0.99999902,0.00099003,0.00099003,,,-0.66208333,-0.66222404,-0.0001407,5.0,11.361252943491717,-13.525144538832365,10.922712268053916,10.922712268053921,-10.922712268053921
0.04,"[-0.24275707  0.0325543   0.          0.          1.64968957  1.61069267
  0.          0.        ]",8,100,0.0,0.0,0.0,9.950387632067909e-16,0.99999833,0.00129355,0.00129355,,,-0.87856634,-0.87974144,-0.0011751,5.0,11.480504797348935,-15.995108921642155,10.70655979557762,10.706559795577625,-10.706559795577622
0.05,"[-0.30356293  0.03758616  0.          0.          1.66843654  1.62056177
  0.          0.        ]",8,100,0.0,0.0,0.0,8.03212707511925e-16,0.99999744,0.00159973,0.00159973,,,-1.08989276,-1.09252039,-0.00262763,5.0,11.59742200366283,-18.41047644439201,10.403821195965978,10.403821195965998,-10.403821195965993
0.060000000000000005,"[-0.36380182  0.04145454  0.          0.          1.68650483  1.63033523
  0.          0.        ]",8,100,0.0,0.0,0.0,6.929080889603585e-16,0.99999633,0.00191649,0.00191649,,,-1.29445508,-1.29886903,-0.00441395,5.0,11.711048184328963,-20.75212253974743,10.023987415488131,10.023987415488135,-10.023987415488133
0.07,"[-0.42318751  0.04424958  0.          0.          1.70377972  1.63997602
  0.          0.        ]",8,100,0.0,0.0,0.0,8.9137979633035e-16,0.99999494,0.00224864,0.00224864,,,-1.49086152,-1.49729532,-0.0064338,5.0,11.820533749641417,-23.003199786486704,9.578640476416803,9.578640476416815,-9.578640476416812
0.08,"[-0.48145674  0.0460812   0.         -0.          1.72017161  1.64944386
  0.          0.        ]",8,100,0.0,0.0,0.0,8.36831345895145e-16,0.99999325,0.00259738,0.00259738,,,-1.67796618,-1.68654604,-0.00857986,5.0,11.925158458331016,-25.14957752178463,9.080720927679025,9.080720927679025,-9.080720927679025
0.09,"[-0.53837421  0.04707152  0.          0.          1.73561815  1.65869746
  0.          0.        ]",8,100,0.0,0.0,0.0,9.477069436115428e-16,0.99999124,0.00296057,0.00296057,,,-1.85488445,-1.86563091,-0.01074646,5.0,12.024345824257999,-27.180111925443118,8.543767127553485,8.543767127553485,-8.543767127553489
