t,params,num_params,num_time_steps,error_bound,error_bound_grad,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,100,0.0,0.0,0.0,3.8608160615066102e-16,1.0,0.0,1e-06,,,0.0,0.0,0.0,5.0,11.0,-5.999999999999995,11.0,11.000000000000002,-11.000000000000002
0.00023234735420931565,"[-1.39430000e-03  2.32020000e-04  0.00000000e+00 -0.00000000e+00
  1.57126102e+00  1.57102867e+00 -0.00000000e+00 -0.00000000e+00]",8,100,0.0,0.0,0.0,6.331813446073844e-16,1.0,0.0,1e-06,,,-0.00511229,-0.00511229,0.0,5.0,11.002788597924608,-6.058093919476989,11.002762462460197,11.0027624624602,-11.0027624624602
0.002555820896302472,"[-0.01536023  0.00251647 -0.         -0.          1.57590754  1.57335212
 -0.         -0.        ]",8,100,0.0,0.0,0.0,8.543691809420233e-16,1.0,0.0,1e-06,,,-0.05630113,-0.05630113,-0.0,5.0,11.030719161393133,-6.6397572578372275,11.027549343703303,11.027549343703301,-11.027549343703305
0.025790556317234037,"[-0.15654007  0.02168647 -0.          0.          1.62193174  1.59655439
 -0.         -0.        ]",8,100,0.0,0.0,0.0,1.1219321011634118e-15,1.0,0.0,1e-06,,,-0.56983851,-0.56983851,-0.0,5.0,11.311729721696862,-12.472711502978495,10.987013790880422,10.987013790880411,-10.987013790880418
0.18044576341614402,"[-0.95930599  0.03236858  0.          0.          1.82876913  1.72620089
  0.         -0.        ]",8,100,0.0,0.0,2.9802322387695312e-08,4.971028054999476e-16,0.99999999,0.00011101,0.00011102,,,-2.96101443,-2.9614462,-0.00043177,5.0,12.636728889622406,-39.588613885637,3.8665653123345898,3.86656531233458,-3.866565312334582
0.3520321637865157,"[-1.36764494  0.01082741 -0.          0.          1.89435122  1.78594987
  0.         -0.        ]",8,100,0.0,0.0,0.0,8.392512345681103e-16,0.99999995,0.00022024,0.00022024,,,-3.53332301,-3.53329957,2.344e-05,5.0,12.958756435016957,-46.05662473648542,0.4745506102940098,0.47455061029401724,-0.474550610294017
0.5327975798196906,"[-1.50877972  0.00315994  0.          0.          1.91242763  1.80382224
  0.         -0.        ]",8,100,0.0,0.0,0.0,4.9944764994829775e-16,0.99999996,0.00020261,0.00020261,,,-3.59892861,-3.59886952,5.909e-05,5.0,12.996145207131818,-46.79686787083761,0.04428338451090319,0.044283384510903405,-0.04428338451090338
0.6986215418722022,"[-1.54999449e+00  9.39020000e-04 -0.00000000e+00  0.00000000e+00
  1.91708740e+00  1.80847013e+00  0.00000000e+00 -0.00000000e+00]",8,100,0.0,0.0,8.0331633436858e-08,3.6803864351620525e-16,0.99999998,0.00012496,0.00012496,,,-3.60481615,-3.60480607,1.008e-05,5.0,12.999566417725298,-46.86377946470963,0.004939599859023147,0.0049395998590095755,-0.004939599859009582
0.8690215788060964,"[-1.56402071e+00  1.95300000e-04 -0.00000000e+00  0.00000000e+00
  1.91851424e+00  1.80989449e+00  0.00000000e+00 -0.00000000e+00]",8,100,0.0,0.0,1.7292280334632046e-08,3.075625065771409e-16,0.99999999,9.337e-05,9.338e-05,,,-3.60547442,-3.60547291,1.51e-06,5.0,12.999954053003792,-46.87128547557674,0.0005191572908582742,0.0005191572908579743,-0.0005191572908579748
1.0,"[-1.56793802e+00 -4.46000000e-06  0.00000000e+00  0.00000000e+00
  1.91887704e+00  1.81025669e+00  0.00000000e+00 -0.00000000e+00]",8,100,0.0,0.0,4.194022531634958e-08,3.70822877728681e-16,0.99999999,8.125e-05,8.126e-05,,,-3.60553772,-3.60553744,2.8e-07,5.0,12.99999183004448,-46.87201104967018,9.161396825518864e-05,9.16139682534299e-05,-9.161396825342978e-05
