t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,,1.4901161193847656e-08,3.242105165139872e-16,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,,0.63791514,0.5379327,0.5379326999999995,-0.5379326999999997
0.1,"[-0.09612    -0.04347     0.         -0.          1.63949633  1.52732633
 -0.          0.        ]",8,10,,,1.4901161193847656e-08,5.436414031362094e-16,0.99997636,0.00486255,0.00486255,,,0.19785482,0.20376041,0.00590559,,0.6799719180930024,0.6384536150475784,0.6384536150475781,-0.6384536150475781
0.2,"[-0.19006497 -0.09861249  0.         -0.          1.7184852   1.47963409
  0.          0.        ]",8,10,,,2.5809568279517847e-08,3.9220710513614644e-16,0.99990154,0.00992262,0.00992262,,,0.05929677,0.07161151,0.01231474,,0.7326058577581817,0.7274776499570877,0.7274776499570861,-0.7274776499570866
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,,1.4901161193847656e-08,1.452362566109723e-16,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,,0.63791514,0.5379327,0.5379326999999998,-0.5379326999999998
0.1,"[-0.09612    -0.04347     0.         -0.          1.63949633  1.52732633
  0.          0.        ]",8,10,,,0.0,7.159152034235721e-16,0.99997636,0.00486255,0.00486255,,,0.19785482,0.20376041,0.00590559,,0.6799719180930024,0.6384536150475784,0.6384536150475792,-0.6384536150475789
0.2,"[-0.19006497 -0.09861249 -0.         -0.          1.7184852   1.47963409
  0.          0.        ]",8,10,,,1.4901161193847656e-08,3.465305778540386e-16,0.99990154,0.00992262,0.00992262,,,0.05929677,0.07161151,0.01231474,,0.7326058577581819,0.7274776499570881,0.7274776499570873,-0.7274776499570875
0.30000000000000004,"[-0.27678945 -0.1662685   0.         -0.          1.80643039  1.42827144
  0.          0.        ]",8,10,,,0.0,3.310778090823111e-16,0.99978366,0.01470887,0.01470887,,,-0.09487502,-0.0771776,0.01769742,,0.7948416447648871,0.7888852632628035,0.7888852632628045,-0.7888852632628041
0.4,"[-0.35067681 -0.24600598  0.         -0.          1.90145876  1.37451193
  0.         -0.        ]",8,10,,,2.1073424255447017e-08,5.545005242797409e-16,0.99964759,0.01877338,0.01877338,,,-0.25679337,-0.23632583,0.02046754,,0.8641174107145331,0.8082675144952688,0.8082675144952697,-0.808267514495269
0.5,"[-0.40650097 -0.33595414  0.         -0.          2.00138506  1.32061631
  0.         -0.        ]",8,10,,,2.1073424255447017e-08,4.937826121780984e-16,0.99952327,0.02183554,0.02183554,,,-0.4167329,-0.39697629,0.01975661,,0.9364658461559813,0.7788756729014084,0.7788756729014084,-0.7788756729014081
0.6,"[-0.44059073 -0.43296366 -0.         -0.          2.10397087  1.26976941
  0.          0.        ]",8,10,,,0.0,2.714158975445579e-16,0.99943031,0.02386994,0.02386994,,,-0.56537116,-0.54944209,0.01592907,,1.007243810814053,0.7053572010687306,0.7053572010687313,-0.7053572010687315
0.7,"[-0.4517162  -0.53310363 -0.         -0.          2.20721433  1.22550625
  0.         -0.        ]",8,10,,,0.0,4.719137966570668e-16,0.99937187,0.02506446,0.02506446,,,-0.69586147,-0.68546332,0.01039814,,1.0721856998884285,0.602325730600452,0.6023257306004519,-0.6023257306004521
0.7999999999999999,"[-0.44120051 -0.63238215 -0.         -0.          2.30963471  1.19080513
  0.         -0.        ]",8,10,,,0.0,2.4498104520187414e-16,0.99934142,0.0256649,0.0256649,,,-0.80481839,-0.79996367,0.00485472,,1.1283252491522993,0.4883833693686288,0.48838336936862886,-0.48838336936862886
0.8999999999999999,"[-0.41216902 -0.72742038 -0.          0.          2.41044976  1.16732353
  0.         -0.        ]",8,10,,,0.0,4.1570530051294587e-16,0.99933286,0.0258312,0.0258312,,,-0.89206315,-0.89156064,0.00050251,,1.174392098517016,0.37951173202049826,0.37951173202049937,-0.379511732020499
0.9999999999999999,"[-0.36837761 -0.81579434 -0.          0.          2.50958025  1.15513742
 -0.         -0.        ]",8,10,,,2.9802322387695312e-08,3.375302280750328e-16,0.99934411,0.02561251,0.02561251,,,-0.95962319,-0.96185007,-0.00222687,,1.2106148851861223,0.2854593362843345,0.2854593362843336,-0.2854593362843336
