t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,,0.0025083736452805984,0.0013271002528980028,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,,0.63791514,0.5379327,0.5344040178991716,-0.5361652129804136
0.1,"[-0.09573705 -0.04338323 -0.          0.          1.63922262  1.52741309
  0.          0.        ]",8,10,,,0.002634961093000225,0.00142243598656509,0.99997499,0.00500071,0.00500071,,,0.19785482,0.20414,0.00628518,,0.6798358380219416,0.638162698768936,0.6341091074772232,-0.6361324316130987
0.2,"[-0.18933563 -0.09835471 -0.          0.          1.71787758  1.47983072
  0.          0.        ]",8,10,,,0.002708057773503629,0.001493756678885838,0.99989595,0.01020076,0.01020076,,,0.05929677,0.07247485,0.01317809,,0.732272166432366,0.7270195619072882,0.7225496102989507,-0.7247809193146671
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,,0.0025083736452805984,0.0013271002528980138,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,,0.63791514,0.5379327,0.5344040178991716,-0.5361652129804136
0.1,"[-0.09573705 -0.04338323  0.          0.          1.63922262  1.52741309
  0.          0.        ]",8,10,,,0.0026349610931266283,0.0014224359865649637,0.99997499,0.00500071,0.00500071,,,0.19785482,0.20414,0.00628518,,0.6798358380219413,0.6381626987689356,0.6341091074772225,-0.636132431613098
0.2,"[-0.18933563 -0.09835471  0.          0.          1.71787758  1.47983072
  0.          0.        ]",8,10,,,0.002708057773462632,0.0014937566788859587,0.99989595,0.01020076,0.01020076,,,0.05929677,0.07247485,0.01317809,,0.7322721664323657,0.7270195619072879,0.7225496102989502,-0.7247809193146668
0.30000000000000004,"[-0.27581146 -0.16574833  0.          0.          1.80544566  1.42859644
  0.          0.        ]",8,10,,,0.002737746701040324,0.0015355779019415373,0.99977174,0.01510878,0.01510878,,,-0.09487502,-0.07577031,0.01910471,,0.7942631964817586,0.7885220566962854,0.7837985624534245,-0.7861565619463554
0.4,"[-0.34961302 -0.24514187  0.         -0.          1.90007165  1.37496889
  0.         -0.        ]",8,10,,,0.002756535098380856,0.0015474367302066258,0.99962926,0.01925552,0.01925552,,,-0.25679337,-0.23438892,0.02240444,,0.8632778092054944,0.8083396411038859,0.8035429217501519,-0.8059374821841445
0.5,"[-0.4055658  -0.33469069  0.         -0.          1.99958327  1.32117915
  0.         -0.        ]",8,10,,,0.0028119701757497624,0.001534129086136034,0.99950078,0.0223447,0.0223447,,,-0.4167329,-0.39460939,0.0221235,,0.9353889625357933,0.7796723910429261,0.7749573797607996,-0.7773109318137281
0.6,"[-0.44001926 -0.43128177  0.          0.          2.10174591  1.27037131
  0.          0.        ]",8,10,,,0.002946240428522141,0.0015039403669817836,0.99940723,0.02434878,0.02434878,,,-0.56537116,-0.54681051,0.01856065,,1.0059901940401519,0.7069884593454863,0.7024561057579483,-0.7047179423853859
0.7,"[-0.45172758 -0.53102036 -0.          0.          2.20454867  1.22604199
  0.          0.        ]",8,10,,,0.0031775727099103645,0.0014659085332355448,0.99935129,0.0254719,0.0254719,,,-0.69586147,-0.68275442,0.01310705,,1.0708362757981356,0.6046826791350688,0.6003748065111167,-0.6025236943389294
0.7999999999999999,"[-0.44197475 -0.62993967 -0.          0.          2.30648602  1.19114921
  0.          0.        ]",8,10,,,0.003502176973512267,0.0014276058042091335,0.99932459,0.02599082,0.02599082,,,-0.80481839,-0.79733978,0.00747861,,1.1269598098556661,0.4912090789002024,0.4871206969922258,-0.4891587553244373
0.8999999999999999,"[-0.41385078 -0.72466978 -0.          0.          2.40673404  1.16735493
  0.          0.        ]",8,10,,,0.003911668520563316,0.0013941506784578039,0.99931902,0.02609774,0.02609774,,,-0.89206315,-0.88912945,0.0029337,,1.1730723264391643,0.3825211509451837,0.37861853756608027,-0.3805621936803246
0.9999999999999999,"[-0.37110546 -0.81278423 -0.          0.          2.50515463  1.15476005
  0.          0.        ]",8,10,,,0.004406683892162744,0.0013682323522751572,0.99933128,0.0258618,0.0258618,,,-0.95962319,-0.95965988,-3.669e-05,,1.209377493797778,0.2884304143291825,0.28466687592663176,-0.2865389356964444
