t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,,5.144678503761312e-07,2.95061143779799e-07,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,,0.63791514,0.5379327,0.5379327138726602,-0.5379327069361978
0.1,"[-9.61200500e-02 -4.42613900e-02 -3.61400000e-04 -2.70650000e-04
  1.63949633e+00  1.52811777e+00 -6.00000000e-08 -3.00000000e-08]",8,10,,,0.00011056164253332302,5.72744782781627e-06,0.99997657,0.00484084,0.00484084,,,0.19785482,0.20373032,0.0058755,,0.6799992466961193,0.6384932031784227,0.6384876837534486,-0.6384904373539972
0.2,"[-1.90076250e-01 -1.00654100e-01  2.20710000e-04  4.73190000e-03
  1.71829015e+00  1.48168089e+00 -2.08000000e-06  2.09400000e-04]",8,10,,,2.9303428061680448e-06,4.745620464874692e-07,0.99990272,0.00986388,0.00986338,,,0.05929677,0.07152251,0.01222574,,0.7326814629449185,0.7275659934831703,0.727566426668052,-0.7275662100713177
0.30000000000000004,"[-2.76824140e-01 -1.67548880e-01  1.44700000e-05  6.65942000e-03
  1.80619938e+00  1.42955643e+00  6.50000000e-06  7.30050000e-04]",8,10,,,1.412784114318641e-06,2.9791067616196044e-07,0.99978493,0.01466882,0.01466555,,,-0.09487502,-0.07725126,0.01762376,,0.7948965743442968,0.7889288172671582,0.7889285446620597,-0.788928680963611
0.4,"[-3.50728960e-01 -2.46842560e-01 -1.95990000e-04  6.44985000e-03
  1.90125092e+00  1.37535086e+00  2.87100000e-05  1.28001000e-03]",8,10,,,8.991464878049844e-07,3.331544958014064e-07,0.99964885,0.01874627,0.01873992,,,-0.25679337,-0.23639078,0.02040259,,0.8641606986374424,0.8082800982348705,0.8082799638669752,-0.8082800310505186
0.5,"[-4.06460000e-01 -3.35422140e-01 -5.64090000e-04  8.05999000e-03
  2.00163624e+00  1.32000521e+00  8.87700000e-05  2.44475000e-03]",8,10,,,1.0274239883386015e-06,2.97991746122644e-07,0.99952286,0.0218611,0.02184486,,,-0.4167329,-0.39700112,0.01973178,,0.9364703348596187,0.7788604474781768,0.7788601204035889,-0.7788602839403551
0.6,"[-4.40477960e-01 -4.32218770e-01 -1.08510000e-03  8.15037000e-03
  2.10435446e+00  1.26891091e+00  2.40910000e-04  3.68844000e-03]",8,10,,,5.555555785389914e-07,2.2391830524711292e-07,0.99942938,0.02391842,0.02388938,,,-0.56537116,-0.54945865,0.01591251,,1.007242788267665,0.7053379811097757,0.7053380928465361,-0.7053380369780016
0.7,"[-4.51074550e-01 -5.30184090e-01 -1.82506000e-03  8.27207000e-03
  2.20876062e+00  1.22223096e+00  5.63190000e-04  5.38191000e-03]",8,10,,,7.764348667927401e-07,3.888114868624589e-07,0.99936779,0.02520051,0.02514571,,,-0.69586147,-0.68546006,0.01040141,,1.0721564415349092,0.6023009471095947,0.6023001297050353,-0.6023005384070136
0.7999999999999999,"[-4.41636490e-01 -6.33879330e-01 -1.20293000e-03  2.22675000e-03
  2.30874400e+00  1.19247948e+00  5.77150000e-04  2.76731000e-03]",8,10,,,4.743861371198775e-07,2.4284739871045414e-07,0.99934338,0.02564343,0.02562664,,,-0.80481839,-0.79993758,0.00488081,,1.1283217495026407,0.4884216107351377,0.48842145615895366,-0.4884215334469331
0.8999999999999999,"[-4.13823420e-01 -7.32195870e-01 -7.11620000e-04  2.31080000e-04
  2.40764058e+00  1.17260638e+00  4.58490000e-04  1.31918000e-03]",8,10,,,5.620128561748895e-07,1.8837958159078633e-07,0.99933825,0.02573163,0.02572665,,,-0.89206315,-0.8915138,0.00054935,,1.1743906129977024,0.37959376185624083,0.379593654334672,-0.3795937080952985
0.9999999999999999,"[-3.71089720e-01 -8.22884560e-01  1.05670000e-04 -1.17081000e-03
  2.50552169e+00  1.16284565e+00 -2.57300000e-05 -8.45700000e-04]",8,10,,,1.6867956507856402e-06,5.529434763197156e-07,0.99935039,0.02549066,0.02548955,,,-0.95962319,-0.96179353,-0.00217034,,1.210606910760405,0.2855601139453361,0.28556046298677357,-0.2855602884646321
