eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
0,0.0001,0.0,5.4e-07,0.0,0.73343895,0.9904
0.0,0.0001,0.0,1.14e-06,0.0,0.74073408,1.0012122
-1.2e-07,0.0001,1.2e-07,8.3e-07,-1.9e-07,0.74796184,1.01223959
1.218e-05,0.0001,1.218e-05,6.1e-07,1.839e-05,0.75511507,1.02348221
2.476e-05,0.0001,2.476e-05,5.3e-07,3.774e-05,0.76218651,1.03493985
2.522e-05,0.0001,2.522e-05,4.8e-07,3.88e-05,0.76916876,1.04661198
2.584e-05,0.0001,2.584e-05,6.7e-07,4.01e-05,0.77605434,1.05849779
2.647e-05,0.0001,2.647e-05,5.8e-07,4.144e-05,0.7828357,1.07059614
2.711e-05,0.0001,2.711e-05,5.9e-07,4.28e-05,0.78950519,1.08290561
2.776e-05,0.0001,2.777e-05,6.4e-07,4.42e-05,0.79605512,1.0954244
2.843e-05,0.0001,2.844e-05,6e-07,4.563e-05,0.80247777,1.10815041
2.912e-05,0.0001,2.912e-05,3.8e-07,4.71e-05,0.8087654,1.12108119
2.981e-05,0.0001,2.981e-05,6.4e-07,4.859e-05,0.81491025,1.13421394
3.052e-05,0.0001,3.052e-05,3.8e-07,5.011e-05,0.82090459,1.14754549
3.124e-05,0.0001,3.124e-05,6.6e-07,5.166e-05,0.82674071,1.16107232
3.197e-05,0.0001,3.198e-05,4.8e-07,5.323e-05,0.83241097,1.17479055
3.272e-05,0.0001,3.272e-05,4.8e-07,5.484e-05,0.83790777,1.18869593
3.348e-05,0.0001,3.348e-05,5.1e-07,5.647e-05,0.84322364,1.20278384
3.426e-05,0.0001,3.426e-05,4.8e-07,5.812e-05,0.84835121,1.21704929
3.504e-05,0.0001,3.504e-05,6.3e-07,5.98e-05,0.85328323,1.23148694
3.584e-05,0.0001,3.584e-05,4.8e-07,6.15e-05,0.85801264,1.24609106
3.665e-05,0.0001,3.665e-05,5.3e-07,6.322e-05,0.86253251,1.2608556
