t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,500,,,5.399486700294446e-07,3.2349908416982975e-07,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,,0.63791514,0.0011015070479999801,0.5379327,0.5379329188480702,-0.5379328094238893
0.01,"[-9.61200000e-03 -4.34701000e-03  2.44000000e-06 -0.00000000e+00
  1.57766633e+00  1.56644933e+00 -1.00000000e-08  0.00000000e+00]",8,500,,,1.1384526160308157e-06,3.079367020837487e-07,1.0,4.89e-05,4.889e-05,,,0.30533314,0.3053878,5.466e-05,,0.64194868773865,-0.010203100470129352,0.5486869796708655,0.5486866885961836,-0.5486868341328766
0.02,"[-1.92218300e-02 -8.80762000e-03  2.09000000e-06 -0.00000000e+00
  1.58464736e+00  1.56205561e+00 -0.00000000e+00 -0.00000000e+00]",8,500,,,8.293938666627256e-07,2.721490725617826e-07,0.99999999,9.827e-05,9.827e-05,,,0.29424974,0.29436041,0.00011067,,0.6460949659601278,-0.021726407517540604,0.5594469121583588,0.5594471073655259,-0.5594470097615984
0.03,"[-2.88250900e-02 -1.33834000e-02  1.74000000e-06  4.00000000e-08
  1.59173860e+00  1.55761535e+00  0.00000000e+00 -1.00000000e-08]",8,500,,,6.085806446272772e-07,2.7972662322399173e-07,0.99999998,0.00014809,0.00014809,,,0.28294986,0.28311779,0.00016793,,0.6503544570434372,-0.033468398490102094,0.5701987757938605,0.570199010655017,-0.5701988932242535
0.04,"[-3.84172300e-02 -1.80757800e-02  1.39000000e-06  3.00000000e-08
  1.59893914e+00  1.55312877e+00 -0.00000000e+00 -1.00000000e-08]",8,500,,,5.343681894851061e-07,3.55510858085832e-07,0.99999996,0.00019832,0.00019833,,,0.2714338,0.27166015,0.00022634,,0.6547275127312108,-0.045428755394153905,0.580928276401706,0.5809284867188036,-0.5809283815601121
0.05,"[-4.79935800e-02 -2.28861200e-02  1.03000000e-06  8.00000000e-08
  1.60624800e+00  1.54859609e+00  0.00000000e+00 -0.00000000e+00]",8,500,,,4.807789863616728e-07,2.1176219038453937e-07,0.99999994,0.00024892,0.00024891,,,0.25970221,0.25998802,0.00028581,,0.6592143529349889,-0.05760686931305933,0.5916205836809435,0.5916203455161936,-0.591620464598453
0.060000000000000005,"[-5.75493600e-02 -2.78156500e-02  7.30000000e-07  8.00000000e-08
  1.61366412e+00  1.54401763e+00  1.00000000e-08  0.00000000e+00]",8,500,,,6.718754957673249e-07,3.594389257065135e-07,0.99999991,0.00029983,0.00029983,,,0.24775599,0.24810221,0.00034622,,0.6638150523542198,-0.07000181883675027,0.6022603435402184,0.6022606794012693,-0.6022605114705181
0.07,"[-6.70796800e-02 -3.28655100e-02  7.30000000e-07  8.00000000e-08
  1.62118640e+00  1.53939371e+00  0.00000000e+00  0.00000000e+00]",8,500,,,5.807630798192345e-07,2.694347108194103e-07,0.99999988,0.00035101,0.00035101,,,0.23559641,0.23600386,0.00040745,,0.6685295484506709,-0.08261238073945551,0.6128317288251579,0.6128319917331551,-0.6128318602789878
0.08,"[-7.65795200e-02 -3.80367100e-02  7.20000000e-07  8.00000000e-08
  1.62881363e+00  1.53472473e+00  0.00000000e+00  1.00000000e-08]",8,500,,,5.881713138815925e-07,3.1081821676873525e-07,0.99999984,0.00040241,0.00040241,,,0.22322502,0.22369439,0.00046937,,0.6733576186516769,-0.09543698663762873,0.6233184380111079,0.6233185534386497,-0.6233184957247058
0.09,"[-8.60437800e-02 -4.33301600e-02  7.20000000e-07  8.00000000e-08
  1.63654455e+00  1.53001111e+00  1.00000000e-08  1.00000000e-08]",8,500,,,6.397094706793333e-07,3.2498302805491406e-07,0.99999979,0.00045399,0.00045399,,,0.21064374,0.2111756,0.00053186,,0.6782988868303034,-0.10847373787525894,0.6337037541105929,0.6337032810770458,-0.6337035175936147
