eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
0.0,1e-08,0.0,0.0,0.0,0.73343895,0.9904
0.0,1e-08,0.0,0.0,0.0,0.74073408,1.0012122
0.0,1e-08,2e-08,0.0,0.0,0.74796184,1.01223959
0.02107342,1e-08,0.02107342,0.0,0.03227847,0.75511507,1.02348221
0.02161179,1e-08,0.02161182,0.0,0.0334259,0.76218651,1.03493985
0.05265149,1e-08,0.05265149,0.0,0.08386908,0.76916876,1.04661198
0.05403776,1e-08,0.05403779,0.0,0.08693275,0.77605434,1.05849778
0.08650838,1e-08,0.08650838,0.0,0.14332895,0.78283569,1.07059614
0.08886557,1e-08,0.08886561,1e-08,0.14873288,0.78950518,1.0829056
0.12286919,1e-08,0.12286922,1e-08,0.21178923,0.79605511,1.09542439
0.15811356,1e-08,0.15811359,0.0,0.28067462,0.80247777,1.10815041
