t,params,num_params,num_time_steps,error_bound,error_bound_grad,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,0.0,0.0,0.0,1.7619856001450678e-16,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,1.3066,0.6379151399999999,0.0011015070479999973,0.5379327,0.5379327,-0.5379327
0.01,"[-0.009612   -0.004347   -0.          0.          1.57766633  1.56644933
  0.          0.        ]",8,10,0.0,0.0,0.0,2.0900004702140034e-16,1.0,4.889e-05,4.89e-05,,,0.30533314,0.3053878,5.467e-05,1.3066,0.6419486857901272,-0.010203098123760752,0.5486869763513552,0.5486869763513558,-0.5486869763513557
0.02,"[-0.01922184 -0.00880762  0.          0.          1.58464736  1.56205561
  0.          0.        ]",8,10,0.0,2.1073424255447017,0.0,2.574193965406065e-16,0.99999999,9.827e-05,9.827e-05,,,0.29424974,0.29436041,0.00011067,1.3066,0.646094963966074,-0.02172640857849825,0.559446910534294,0.5594469105342947,-0.5594469105342944
0.03,"[-0.02882509 -0.0133834   0.          0.          1.59173859  1.55761536
  0.          0.        ]",8,10,0.021073424255447018,0.053836587271538505,0.0,1.5342524486974613e-16,0.99999998,0.00014809,0.0001481,,,0.28294986,0.28311779,0.00016793,1.3066,0.650354454720252,-0.03346839724289542,0.5701987726957964,0.5701987726957968,-0.5701987726957968
0.04,"[-0.03841723 -0.01807578  0.         -0.          1.59893913  1.55312877
 -0.         -0.        ]",8,10,0.021611790128162403,3.103969638609816,0.0,3.216870986875986e-16,0.99999996,0.00019832,0.00019833,,,0.2714338,0.27166015,0.00022635,1.3066,0.6547275102725894,-0.04542875175332151,0.5809282718941127,0.5809282718941131,-0.5809282718941131
0.05,"[-0.04799358 -0.02288612  0.         -0.          1.60624799  1.5485961
 -0.         -0.        ]",8,10,0.05265148651426056,0.13862689468568945,0.0,1.976249884976873e-16,0.99999994,0.00024892,0.00024892,,,0.25970221,0.25998802,0.00028582,1.3066,0.6592143487809674,-0.05760686316084211,0.5916205763962081,0.5916205763962088,-0.5916205763962086
0.060000000000000005,"[-0.05754937 -0.02781564  0.         -0.          1.61366412  1.54401764
 -0.         -0.        ]",8,10,0.05403775546111746,3.247062011629831,0.0,4.935995327047905e-16,0.99999991,0.00029983,0.00029984,,,0.24775599,0.24810222,0.00034623,1.3066,0.6638150484029999,-0.07000181508091488,0.6022603377131401,0.6022603377131406,-0.6022603377131404
0.07,"[-0.06707969 -0.0328655   0.         -0.          1.62118639  1.53939372
 -0.         -0.        ]",8,10,0.08650837557741577,0.23571974094860337,0.0,2.5917764654592513e-16,0.99999988,0.00035102,0.00035102,,,0.23559641,0.23600386,0.00040746,1.3066,0.6685295415460353,-0.08261237336494676,0.6128317184634903,0.6128317184634915,-0.6128317184634912
0.08,"[-0.07657954 -0.0380367   0.         -0.          1.62881362  1.53472474
 -0.         -0.        ]",8,10,0.0888655729869018,3.4003618434863547,1.4901161193847656e-08,3.312552785857355e-16,0.99999984,0.00040243,0.00040243,,,0.22322502,0.2236944,0.00046938,1.3066,0.673357609343414,-0.09543697637252695,0.6233184241298573,0.6233184241298579,-0.6233184241298575
0.09,"[-0.0860438  -0.04333015  0.         -0.          1.63654454  1.53001113
 -0.         -0.        ]",8,10,0.12286919142176535,3.5244365564901514,1.4901161193847656e-08,3.547381462241968e-16,0.99999979,0.00045401,0.00045401,,,0.21064374,0.21117561,0.00053187,1.3066,0.6782988763959773,-0.10847372592425399,0.6337037387456529,0.6337037387456521,-0.6337037387456524
0.09999999999999999,"[-0.09546726 -0.04874663  0.         -0.          1.64437781  1.52525338
 -0.         -0.        ]",8,10,0.15811355698666685,3.657406869028712,0.0,1.0624346333934429e-15,0.99999974,0.00050571,0.00050572,,,0.19785482,0.19844959,0.00059477,1.3066,0.683352805818481,-0.12172037901558673,0.6439705645190552,0.6439705645190545,-0.6439705645190551
