eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
0,0.0001,0.0,5.4e-07,0.0,0.73343895,0.9904
0.0,0.0001,1e-08,5.7e-07,0.0,0.73442624,0.99184331
2.3e-07,0.0001,2.3e-07,5.6e-07,3.4e-07,0.73675253,0.99526607
1.34e-06,0.0001,1.34e-06,5e-07,2e-06,0.74757733,1.01161505
1.49e-06,0.0001,1.49e-06,4.5e-07,2.33e-06,0.77801493,1.06184717
2.08e-06,0.0001,2.08e-06,5e-07,3.59e-06,0.8623017,1.25945916
4.28e-06,0.0001,4.28e-06,4.6e-07,6.88e-06,0.80403658,1.94816887
7.61e-06,0.0001,7.6e-06,6.1e-07,4.83e-06,0.31775454,2.39218632
7.17e-06,0.0001,7.17e-06,5.1e-07,2.83e-06,0.19734362,2.4293351
4.91e-06,0.0001,4.91e-06,4.2e-07,1.19e-06,0.12149334,2.44352842
-2e-08,0.0001,3e-08,6.3e-07,-0.0,0.04090838,2.4512049
0.00015398,0.0001,0.00015395,1.7e-07,3.96e-06,0.01275113,2.45210121
0.00024238,0.0001,0.00024234,2.7e-07,1.5e-06,0.0029441,2.45219385
