eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
0.0,1e-08,0.0,0.0,0.0,0.73343895,0.9904
0.00014577,1e-08,0.0001458,0.0,0.00021386,0.73347323,0.99045001
0.00021252,1e-08,0.00021252,0.0,0.00031181,0.73350426,0.99049531
0.00021255,1e-08,0.00021255,0.0,0.00031188,0.7335483,0.99055959
0.00021274,1e-08,0.00021274,0.0,0.0003123,0.73388106,0.99104563
0.00021254,1e-08,0.00021254,0.0,0.00031271,0.73553744,0.99347439
0.0002128,1e-08,0.0002128,0.0,0.00031418,0.73808308,0.9972378
0.00021613,1e-08,0.00021613,0.0,0.00032091,0.74229323,1.00354559
0.00021808,1e-08,0.00021808,0.0,0.00032507,0.74517671,1.00792752
0.00524259,1e-08,0.00524259,0.0,0.00787122,0.74804873,1.01234343
0.00527251,1e-08,0.00527251,0.0,0.00793352,0.74967488,1.01486699
0.00595415,1e-08,0.00595415,0.0,0.00896544,0.74985446,1.01514671
0.00595726,1e-08,0.00595726,0.0,0.00897215,0.75002135,1.01540686
0.00596222,1e-08,0.00596222,0.0,0.00898259,0.75026733,1.01579063
0.00596699,1e-08,0.00596699,0.0,0.00899276,0.75051322,1.01617464
0.00597575,1e-08,0.00597575,0.0,0.00901149,0.75097037,1.01688964
0.00598269,1e-08,0.00598269,1e-08,0.00902619,0.75131877,1.01743548
0.0059895,1e-08,0.0059895,0.0,0.0090407,0.75166699,1.01798182
0.00600664,1e-08,0.00600664,0.0,0.00907639,0.7524721,1.01924808
0.0091973,1e-08,0.0091973,0.0,0.01394239,0.75327621,1.02051705
0.00976518,1e-08,0.00976518,0.0,0.0148189,0.75378456,1.02132152
0.00985472,1e-08,0.00985472,0.0,0.01496155,0.75408003,1.02178991
0.00979442,1e-08,0.00979445,0.0,0.01487411,0.75431901,1.02216917
0.00970328,1e-08,0.00970328,0.0,0.0147394,0.75455371,1.02254202
0.00984452,1e-08,0.00984455,1e-08,0.01496095,0.7548356,1.02299031
0.0110056,1e-08,0.0110056,0.0,0.01674455,0.75510852,1.02342487
0.01166549,1e-08,0.01166552,0.0,0.01775972,0.75524945,1.02364946
0.01161147,1e-08,0.0116115,0.0,0.01768014,0.75539034,1.02387413
0.01214931,1e-08,0.01214934,0.0,0.01850929,0.75553522,1.0241053
0.01287084,1e-08,0.01287084,0.0,0.01962168,0.75567731,1.02433215
0.01303842,1e-08,0.01303842,0.0,0.01988328,0.75582476,1.02456771
0.01304695,1e-08,0.01304695,0.0,0.01990125,0.75600863,1.02486166
0.01307112,1e-08,0.01307112,0.0,0.01995219,0.75652916,1.02569508
