eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
0,0.01,1e-08,7.2e-07,0.0,0.73343895,0.9904
2e-08,0.01,1e-08,2.171e-05,3e-08,0.74073413,1.00121224
2.3e-07,0.009999999999999998,2.4e-07,8.87e-06,3.5e-07,0.74796193,1.01223967
3.3e-07,0.010000000000000002,3.3e-07,1.365e-05,5e-07,0.75511514,1.02348228
4.7e-07,0.010000000000000002,4.8e-07,2.196e-05,7.2e-07,0.76218656,1.03493989
7e-07,0.010000000000000002,7.1e-07,2.445e-05,1.08e-06,0.76916874,1.04661195
9.6e-07,0.010000000000000002,9.7e-07,1.797e-05,1.5e-06,0.77605431,1.05849775
1.17e-06,0.009999999999999995,1.18e-06,5.54e-06,1.83e-06,0.7828357,1.07059614
1.25e-06,0.009999999999999995,1.26e-06,3.275e-05,1.98e-06,0.7895052,1.08290562
1.61e-06,0.009999999999999995,1.62e-06,8.12e-06,2.56e-06,0.79605515,1.09542443
1.73e-06,0.009999999999999995,1.74e-06,1.086e-05,2.78e-06,0.80247778,1.10815042
1.88e-06,0.009999999999999995,1.89e-06,5.59e-06,3.04e-06,0.80876545,1.12108125
1.98e-06,0.009999999999999995,1.99e-06,4.22e-06,3.23e-06,0.81491018,1.13421384
2.07e-06,0.010000000000000009,2.08e-06,3.04e-06,3.4e-06,0.82090456,1.14754543
2.15e-06,0.010000000000000009,2.16e-06,3.66e-06,3.55e-06,0.82674068,1.16107227
2.24e-06,0.010000000000000009,2.25e-06,4.03e-06,3.72e-06,0.8324108,1.17479031
2.33e-06,0.010000000000000009,2.34e-06,3.75e-06,3.9e-06,0.83790757,1.18869562
2.42e-06,0.010000000000000009,2.44e-06,2.4e-06,4.08e-06,0.8432235,1.2027836
2.5e-06,0.010000000000000009,2.51e-06,3.38e-06,4.24e-06,0.84835104,1.21704899
2.59e-06,0.010000000000000009,2.61e-06,3.29e-06,4.42e-06,0.85328306,1.23148662
2.68e-06,0.010000000000000009,2.7e-06,2.72e-06,4.6e-06,0.8580125,1.24609079
2.77e-06,0.010000000000000009,2.78e-06,2.51e-06,4.78e-06,0.86253237,1.2608553
2.86e-06,0.010000000000000009,2.87e-06,2.53e-06,4.95e-06,0.86683599,1.27577376
2.95e-06,0.010000000000000009,2.96e-06,1.31e-06,5.13e-06,0.87091697,1.29083957
3.02e-06,0.009999999999999981,3.04e-06,2.86e-06,5.29e-06,0.87476894,1.3060454
3.12e-06,0.010000000000000009,3.13e-06,3.09e-06,5.48e-06,0.87838594,1.32138382
3.22e-06,0.010000000000000009,3.23e-06,1.2e-06,5.67e-06,0.8817623,1.33684719
3.3e-06,0.010000000000000009,3.31e-06,1.34e-06,5.84e-06,0.88489276,1.35242769
3.38e-06,0.010000000000000009,3.39e-06,1.52e-06,6e-06,0.88777213,1.3681168
3.47e-06,0.010000000000000009,3.48e-06,2.2e-06,6.17e-06,0.89039562,1.38390577
3.56e-06,0.010000000000000009,3.57e-06,1.51e-06,6.36e-06,0.89275892,1.39978595
3.65e-06,0.010000000000000009,3.66e-06,1.4e-06,6.53e-06,0.89485805,1.41574828
3.74e-06,0.010000000000000009,3.74e-06,1.27e-06,6.7e-06,0.89668933,1.43178336
3.82e-06,0.010000000000000009,3.83e-06,1.44e-06,6.87e-06,0.89824951,1.44788156
3.91e-06,0.010000000000000009,3.92e-06,1e-06,7.04e-06,0.89953591,1.46403362
4e-06,0.010000000000000009,4e-06,8.4e-07,7.2e-06,0.9005461,1.48022959
4.08e-06,0.010000000000000009,4.08e-06,1.43e-06,7.36e-06,0.9012781,1.49645951
4.17e-06,0.010000000000000009,4.17e-06,1.78e-06,7.52e-06,0.90173039,1.51271324
4.27e-06,0.010000000000000009,4.27e-06,1.01e-06,7.7e-06,0.90190195,1.52898088
4.35e-06,0.010000000000000009,4.35e-06,8.9e-07,7.85e-06,0.90179217,1.54525227
4.44e-06,0.010000000000000009,4.44e-06,1.03e-06,8e-06,0.90140087,1.56151719
4.53e-06,0.010000000000000009,4.52e-06,9.9e-07,8.16e-06,0.90072837,1.57776559
4.61e-06,0.010000000000000009,4.61e-06,1.59e-06,8.3e-06,0.89977538,1.59398723
4.71e-06,0.010000000000000009,4.7e-06,1.17e-06,8.46e-06,0.89854312,1.61017211
4.8e-06,0.010000000000000009,4.79e-06,8.8e-07,8.61e-06,0.89703322,1.62631014
4.88e-06,0.010000000000000009,4.87e-06,8.3e-07,8.74e-06,0.89524778,1.64239159
4.97e-06,0.010000000000000009,4.96e-06,9.5e-07,8.88e-06,0.89318931,1.65840666
5.06e-06,0.010000000000000009,5.04e-06,1.13e-06,9.01e-06,0.89086071,1.6743456
5.14e-06,0.010000000000000009,5.13e-06,7e-07,9.14e-06,0.88826538,1.69019917
5.23e-06,0.009999999999999953,5.21e-06,9e-07,9.25e-06,0.88540702,1.70595811
5.31e-06,0.010000000000000009,5.29e-06,1.23e-06,9.37e-06,0.88228979,1.72161344
5.4e-06,0.010000000000000009,5.37e-06,1.1e-06,9.48e-06,0.87891818,1.73715638
5.48e-06,0.010000000000000009,5.46e-06,1.2e-06,9.59e-06,0.87529702,1.75257839
5.56e-06,0.010000000000000009,5.54e-06,9.7e-07,9.7e-06,0.87143152,1.76787128
5.65e-06,0.010000000000000009,5.62e-06,4.7e-07,9.79e-06,0.86732721,1.78302724
5.72e-06,0.010000000000000009,5.69e-06,9.7e-07,9.87e-06,0.86298982,1.79803846
5.8e-06,0.010000000000000009,5.77e-06,8.5e-07,9.96e-06,0.85842548,1.81289772
5.88e-06,0.010000000000000009,5.84e-06,7.5e-07,1.003e-05,0.85364049,1.82759803
5.95e-06,0.010000000000000009,5.92e-06,4.3e-07,1.01e-05,0.84864145,1.84213278
6.02e-06,0.010000000000000009,5.98e-06,1.03e-06,1.016e-05,0.84343514,1.85649569
6.09e-06,0.010000000000000009,6.05e-06,7.6e-07,1.022e-05,0.83802854,1.87068085
6.16e-06,0.010000000000000009,6.12e-06,6.3e-07,1.026e-05,0.83242878,1.88468269
6.23e-06,0.010000000000000009,6.19e-06,1.08e-06,1.03e-05,0.82664321,1.89849607
6.3e-06,0.010000000000000009,6.25e-06,9.6e-07,1.034e-05,0.82067922,1.91211617
6.37e-06,0.010000000000000009,6.32e-06,1.02e-06,1.037e-05,0.81454439,1.92553854
