t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,500,,,7.206679755058138e-07,4.173849710311263e-07,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,,0.63791514,0.001101507047999953,0.5379327,0.5379320160769225,-0.5379323580382016
0.01,"[-9.61199000e-03 -4.36219000e-03  1.28500000e-05 -2.80600000e-05
  1.57766633e+00  1.56646453e+00 -0.00000000e+00 -1.00000000e-08]",8,500,,,2.170764727806486e-05,2.288871949969034e-07,1.0,4.944e-05,4.886e-05,,,0.30533314,0.30538776,5.462e-05,,0.6419487356953052,-0.010203135217490774,0.5486870531945194,0.5486870881829214,-0.5486870704531094
0.02,"[-1.92218300e-02 -8.83413000e-03  4.51700000e-05  1.13700000e-05
  1.58464711e+00  1.56208213e+00 -1.00000000e-08  4.00000000e-08]",8,500,,,8.870284654079298e-06,1.998124946898065e-07,0.99999999,0.00010218,9.82e-05,,,0.29424974,0.29436033,0.00011059,,0.6460950520152239,-0.021726481584543423,0.5594470483507133,0.5594472706570434,-0.5594471594645374
0.03,"[-2.88251000e-02 -1.34030000e-02  1.33600000e-05 -1.47000000e-06
  1.59173823e+00  1.55763497e+00 -1.00000000e-08 -2.00000000e-08]",8,500,,,1.3650268878152717e-05,3.501528332187386e-07,0.99999998,0.00014816,0.00014805,,,0.28294986,0.28311772,0.00016787,,0.6503545211259397,-0.03346845438695596,0.5701988762708077,0.5701987729624801,-0.5701988245234789
0.04,"[-3.84172300e-02 -1.80895500e-02 -5.50000000e-07 -2.01000000e-06
  1.59893875e+00  1.55314255e+00 -1.00000000e-08 -5.00000000e-08]",8,500,,,2.195670806301095e-05,6.110345458565405e-07,0.99999996,0.00019829,0.00019829,,,0.2714338,0.27166011,0.0002263,,0.6547275593925187,-0.04542879158335138,0.5809283461505302,0.5809273511228209,-0.5809278483956271
0.05,"[-4.79935700e-02 -2.28817900e-02  1.10200000e-05 -3.71600000e-05
  1.60624816e+00  1.54859179e+00 -2.00000000e-08 -7.00000000e-07]",8,500,,,2.4452660230080604e-05,6.976419430962106e-07,0.99999994,0.00024928,0.00024894,,,0.25970221,0.25998805,0.00028584,,0.6592143330248648,-0.05760683676904997,0.5916205468242309,0.591620544355664,-0.5916205452909812
0.060000000000000005,"[-5.75493400e-02 -2.78093700e-02 -1.36000000e-06 -3.73900000e-05
  1.61366442e+00  1.54401137e+00 -0.00000000e+00 -8.80000000e-07]",8,500,,,1.797063359496292e-05,6.774708622649137e-07,0.99999991,0.00030048,0.00029985,,,0.24775599,0.24810225,0.00034626,,0.6638150265169859,-0.07000178195828996,0.6022602988688345,0.6022599892425377,-0.6022601438942142
0.07,"[-6.70796900e-02 -3.28716100e-02  5.11000000e-06 -1.98400000e-05
  1.62118603e+00  1.53939986e+00 -1.00000000e-08 -5.90000000e-07]",8,500,,,5.541889896002586e-06,4.5836097182338083e-07,0.99999988,0.00035109,0.00035101,,,0.23559641,0.23600386,0.00040745,,0.668529556527349,-0.08261237727548722,0.6128317367001621,0.6128311942990382,-0.6128314654842438
0.08,"[-7.65795500e-02 -3.80482400e-02  6.03000000e-06 -1.65500000e-05
  1.62881283e+00  1.53473633e+00 -1.00000000e-08 -5.80000000e-07]",8,500,,,3.2753260756495216e-05,1.310580365766022e-06,0.99999984,0.00040244,0.0004024,,,0.22322502,0.22369438,0.00046936,,0.6733576411329192,-0.09543699263350984,0.6233184656400801,0.6233180536662295,-0.6233182591167667
0.09,"[-8.60438300e-02 -4.33475900e-02 -3.31000000e-06  8.02000000e-06
  1.63654319e+00  1.53002865e+00  2.00000000e-08  2.80000000e-07]",8,500,,,8.116442415145205e-06,5.750463637236109e-07,0.99999979,0.00045398,0.00045397,,,0.21064374,0.21117557,0.00053183,,0.6782989285821436,-0.10847375844092139,0.6337038079548218,0.6337043311972003,-0.6337040695430727
0.09999999999999999,"[-9.54672700e-02 -4.87552700e-02 -1.02000000e-06 -1.89600000e-05
  1.64437706e+00  1.52526207e+00  1.00000000e-08 -8.50000000e-07]",8,500,,,1.0864520318685129e-05,5.751129141268758e-07,0.99999974,0.00050579,0.0005057,,,0.19785482,0.19844958,0.00059476,,0.6833528303172435,-0.12172038910816044,0.6439705945993061,0.6439706182857846,-0.6439706063835264
0.10999999999999999,"[-1.04844700e-01 -5.43068100e-02 -3.18000000e-06 -2.15500000e-05
  1.65231013e+00  1.52047217e+00  2.00000000e-08 -1.09000000e-06]",8,500,,,5.5934362357272616e-06,5.454860463154337e-07,0.99999969,0.00055758,0.00055745,,,0.18486086,0.18551875,0.0006579,,0.6885187595669897,-0.135174390354367,0.6541015517472081,0.6541011620715684,-0.654101356893745
0.11999999999999998,"[-1.14170370e-01 -5.99304700e-02 -3.84000000e-06 -5.62300000e-05
  1.66034798e+00  1.51558698e+00  2.00000000e-08 -3.10000000e-06]",8,500,,,4.215738390626191e-06,4.16638535717496e-07,0.99999963,0.00061011,0.00060937,,,0.17166481,0.17238616,0.00072135,,0.6937955887358109,-0.14883256367208197,0.6640785994507222,0.6640776663981778,-0.6640781329155638
0.12999999999999998,"[-1.23439360e-01 -6.57339400e-02 -2.64000000e-06 -8.35500000e-05
  1.66847825e+00  1.51071500e+00  1.00000000e-08 -5.07000000e-06]",8,500,,,3.0399829698502924e-06,3.297233382588908e-07,0.99999956,0.00066252,0.0006611,,,0.15827,0.15905457,0.00078457,,0.6991826483809386,-0.16269195321189536,0.6738842923032008,0.6738849432070798,-0.6738846177505196
0.13999999999999999,"[-1.32645800e-01 -7.16474900e-02 -2.79000000e-06 -9.66100000e-05
  1.67670652e+00  1.50578663e+00  1.00000000e-08 -6.43000000e-06]",8,500,,,3.6553432262051343e-06,5.266281768844996e-07,0.99999949,0.00071454,0.00071279,,,0.1446801,0.14552773,0.00084763,,0.7046784774881815,-0.17674865791395472,0.6835001566955354,0.6834996200625685,-0.6834998883723712
0.15,"[-1.41783690e-01 -7.76380000e-02 -2.96000000e-06 -1.10930000e-04
  1.68503600e+00  1.50076915e+00  1.00000000e-08 -8.06000000e-06]",8,500,,,4.025548075980923e-06,3.4770782697557166e-07,0.99999942,0.00076664,0.00076449,,,0.13089917,0.13180969,0.00091052,,0.7102815389959805,-0.19099847169067466,0.692907743839934,0.6929074916892708,-0.6929076177564999
0.16,"[-1.50848070e-01 -8.37878500e-02 -2.14000000e-06 -9.62300000e-05
  1.69345456e+00  1.49574651e+00  1.00000000e-08 -7.60000000e-06]",8,500,,,3.745945649397139e-06,4.995547804831517e-07,0.99999933,0.0008174,0.0008159,,,0.11693164,0.11790438,0.00097274,,0.7159905442143856,-0.20543726027808737,0.7020891022610869,0.70208873551312,-0.7020889188800874
0.17,"[-1.59833420e-01 -9.00962300e-02 -1.35000000e-06 -1.01300000e-04
  1.70195961e+00  1.49071919e+00 -0.00000000e+00 -8.65000000e-06]",8,500,,,2.398161235647686e-06,3.0865178544448675e-07,0.99999925,0.00086851,0.00086696,,,0.10278228,0.1038164,0.00103412,,0.7218037174443982,-0.22006021237529105,0.711025871899888,0.7110257687535781,-0.7110258203238574
0.18000000000000002,"[-1.68733200e-01 -9.64954800e-02 -6.60000000e-07 -1.25140000e-04
  1.71055930e+00  1.48562018e+00 -2.00000000e-08 -1.15100000e-05]",8,500,,,3.381283293010194e-06,3.8401562386959274e-07,0.99999916,0.00092003,0.00091783,,,0.08845628,0.08955101,0.00109474,,0.7277188629638195,-0.23486191657098365,0.7196994793928043,0.7196991823026081,-0.7196993308419897
0.19000000000000003,"[-1.77542240e-01 -1.03031480e-01 -9.80000000e-07 -1.06580000e-04
  1.71924483e+00  1.48049753e+00 -2.00000000e-08 -1.05400000e-05]",8,500,,,3.2941341567529214e-06,4.432922341843688e-07,0.99999906,0.00096984,0.00096831,,,0.07395914,0.07511338,0.00115424,,0.7337340032746712,-0.2498369720904356,0.7280919835492028,0.7280914039202365,-0.728091693729294
0.20000000000000004,"[-1.86254880e-01 -1.09704980e-01 -9.70000000e-07 -1.22400000e-04
  1.72801371e+00  1.47535391e+00 -2.00000000e-08 -1.29300000e-05]",8,500,,,2.7177773607915655e-06,4.4218722100761456e-07,0.99999896,0.00102027,0.00101834,,,0.05929677,0.06050921,0.00121245,,0.7398468104311868,-0.2649794595812947,0.7361854453615925,0.7361851528296057,-0.7361852990919059
0.21000000000000005,"[-1.94864810e-01 -1.16483290e-01 -5.40000000e-07 -1.09970000e-04
  1.73686969e+00  1.47015828e+00 -2.00000000e-08 -1.24100000e-05]",8,500,,,2.510746170727268e-06,5.54082007533799e-07,0.99999886,0.00106946,0.00106798,,,0.04447541,0.0457447,0.0012693,,0.7460546610261469,-0.2802829852199051,0.7439620831169883,0.743961371577022,-0.7439617273438532
0.22000000000000006,"[-2.03366330e-01 -1.23373750e-01 -2.10000000e-07 -9.77800000e-05
  1.74580967e+00  1.46492039e+00 -4.00000000e-08 -1.17600000e-05]",8,500,,,2.5290743147385867e-06,3.8199728003816576e-07,0.99999875,0.00111825,0.00111714,,,0.02950165,0.03082624,0.00132459,,0.7523548854229465,-0.29574092246905687,0.751404628101106,0.7514045208361653,-0.7514045744654375
