eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
0,0.01,1e-08,0.00250837,0.0,0.73343895,0.9904
2.51e-05,0.01,2.535e-05,0.00252348,3.718e-05,0.7407108,1.00117653
5.095e-05,0.009999999999999998,5.144e-05,0.00253804,7.622e-05,0.74791581,1.01216699
7.758e-05,0.010000000000000002,7.832e-05,0.00255203,0.00011716,0.7550469,1.02337143
0.00010501,0.010000000000000002,0.00010598,0.00256546,0.00016006,0.76209686,1.03478963
0.00013323,0.010000000000000002,0.00013444,0.00257829,0.00020494,0.76905837,1.0464211
0.00016227,0.010000000000000002,0.0001637,0.00259054,0.00025183,0.77592402,1.05826503
0.00019213,0.009999999999999995,0.00019378,0.00260218,0.00030077,0.78268632,1.07032033
0.00022281,0.009999999999999995,0.00022468,0.00261322,0.00035177,0.78933769,1.08258558
0.00025433,0.009999999999999995,0.00025641,0.00262365,0.00040486,0.79587053,1.09505903
0.00028669,0.009999999999999995,0.00028897,0.00263348,0.00046006,0.80227716,1.10773862
0.0003199,0.009999999999999995,0.00032237,0.00264269,0.00051737,0.80854992,1.12062192
0.00035397,0.009999999999999995,0.00035661,0.00265131,0.00057681,0.81468112,1.13370619
0.00038889,0.010000000000000009,0.0003917,0.00265932,0.00063839,0.82066308,1.1469883
0.00042468,0.010000000000000009,0.00042764,0.00266675,0.00070209,0.82648816,1.16046478
0.00046133,0.010000000000000009,0.00046444,0.00267359,0.00076792,0.83214877,1.17413181
0.00049885,0.010000000000000009,0.00050208,0.00267987,0.00083586,0.8376374,1.1879852
0.00053724,0.010000000000000009,0.00054058,0.00268561,0.0009059,0.84294661,1.20202039
0.00057649,0.010000000000000009,0.00057992,0.0026908,0.00097801,0.84806908,1.21623247
0.00061661,0.010000000000000009,0.00062012,0.00269549,0.00105217,0.85299763,1.23061615
0.0006576,0.010000000000000009,0.00066116,0.00269969,0.00112834,0.85772522,1.24516579
0.00069944,0.010000000000000009,0.00070303,0.00270343,0.00120648,0.86224499,1.2598754
0.00074213,0.010000000000000009,0.00074574,0.00270673,0.00128654,0.86655028,1.27473865
0.00078567,0.010000000000000009,0.00078927,0.00270963,0.00136846,0.87063464,1.28974884
0.00083005,0.009999999999999981,0.00083363,0.00271215,0.0014522,0.87449186,1.30489896
0.00087527,0.010000000000000009,0.0008788,0.00271435,0.00153769,0.87811598,1.32018167
0.00092132,0.010000000000000009,0.00092476,0.00271624,0.00162485,0.88150134,1.33558931
0.00096817,0.010000000000000009,0.0009715,0.00271788,0.0017136,0.88464256,1.35111395
0.00101581,0.010000000000000009,0.00101901,0.0027193,0.00180385,0.88753456,1.36674735
0.00106424,0.010000000000000009,0.00106727,0.00272054,0.0018955,0.89017263,1.382481
0.00111343,0.010000000000000009,0.00111627,0.00272166,0.00198846,0.89255239,1.39830615
0.00116338,0.010000000000000009,0.00116599,0.0027227,0.00208263,0.89466983,1.41421383
0.00121404,0.010000000000000009,0.0012164,0.00272371,0.00217789,0.89652131,1.43019484
0.00126542,0.010000000000000009,0.0012675,0.00272473,0.00227412,0.89810362,1.44623978
0.00131748,0.010000000000000009,0.00131924,0.00272582,0.0023712,0.89941391,1.4623391
0.00137021,0.010000000000000009,0.00137162,0.00272703,0.002469,0.9004498,1.4784831
0.00142358,0.010000000000000009,0.0014246,0.00272841,0.00256739,0.90120928,1.49466193
0.00147755,0.010000000000000009,0.00147816,0.00273001,0.00266624,0.90169083,1.51086569
0.00153212,0.010000000000000009,0.00153227,0.00273188,0.00276541,0.90189334,1.52708435
0.00158724,0.010000000000000009,0.0015869,0.00273408,0.00286474,0.90181615,1.54330786
0.00164289,0.010000000000000009,0.00164203,0.00273665,0.0029641,0.90145905,1.55952614
0.00169903,0.010000000000000009,0.00169761,0.00273965,0.00306333,0.90082228,1.57572911
0.00175564,0.010000000000000009,0.00175363,0.00274312,0.00316228,0.89990654,1.59190671
0.00181268,0.010000000000000009,0.00181004,0.00274711,0.00326081,0.89871295,1.60804895
0.00187012,0.010000000000000009,0.00186682,0.00275166,0.00335875,0.8972431,1.62414589
0.00192793,0.010000000000000009,0.00192393,0.00275683,0.00345596,0.89549899,1.64018771
0.00198605,0.010000000000000009,0.00198132,0.00276264,0.00355228,0.89348307,1.65616472
0.00204447,0.010000000000000009,0.00203897,0.00276915,0.00364755,0.8911982,1.67206736
0.00210314,0.010000000000000009,0.00209684,0.00277638,0.00374164,0.88864766,1.68788625
0.00216202,0.009999999999999953,0.0021549,0.00278438,0.00383438,0.8858351,1.70361221
0.00222108,0.010000000000000009,0.00221309,0.00279316,0.00392563,0.88276457,1.71923628
0.00228028,0.010000000000000009,0.00227139,0.00280277,0.00401525,0.8794405,1.73474972
0.00233957,0.010000000000000009,0.00232975,0.00281322,0.00410309,0.87586765,1.75014406
0.00239891,0.010000000000000009,0.00238814,0.00282454,0.00418903,0.87205113,1.76541108
0.00245827,0.010000000000000009,0.00244651,0.00283675,0.00427292,0.86799637,1.78054287
0.00251761,0.010000000000000009,0.00250483,0.00284986,0.00435465,0.86370907,1.79553181
0.00257688,0.010000000000000009,0.00256306,0.00286389,0.00443409,0.85919525,1.8103706
0.00263604,0.010000000000000009,0.00262116,0.00287884,0.00451113,0.85446116,1.82505228
0.00269506,0.010000000000000009,0.00267908,0.00289473,0.00458566,0.84951329,1.83957019
0.00275389,0.010000000000000009,0.0027368,0.00291156,0.00465757,0.84435836,1.85391807
0.00281249,0.010000000000000009,0.00279427,0.00292933,0.00472677,0.83900327,1.86808997
0.00287083,0.010000000000000009,0.00285145,0.00294803,0.00479317,0.8334551,1.88208034
0.00292886,0.010000000000000009,0.0029083,0.00296768,0.00485669,0.82772109,1.89588395
0.00298654,0.010000000000000009,0.00296479,0.00298825,0.00491725,0.82180859,1.90949597
0.00304385,0.010000000000000009,0.00302089,0.00300975,0.0049748,0.81572509,1.92291194
0.00310074,0.010000000000000009,0.00307655,0.00303217,0.00502926,0.80947814,1.93612776
0.00315717,0.010000000000000009,0.00313175,0.0030555,0.0050806,0.80307536,1.94913971
0.00321311,0.010000000000000009,0.00318644,0.00307972,0.00512876,0.79652444,1.96194441
0.00326852,0.010000000000000009,0.0032406,0.00310482,0.00517372,0.78983306,1.97453888
0.00332338,0.010000000000000009,0.00329419,0.0031308,0.00521545,0.78300896,1.98692048
0.00337765,0.010000000000000009,0.00334718,0.00315762,0.00525392,0.77605982,1.99908691
0.0034313,0.010000000000000009,0.00339955,0.00318529,0.00528913,0.76899332,2.01103625
0.00348429,0.010000000000000009,0.00345126,0.00321378,0.00532107,0.76181709,2.02276688
0.00353661,0.010000000000000009,0.0035023,0.00324308,0.00534975,0.7545387,2.03427755
0.00358823,0.010000000000000009,0.00355263,0.00327318,0.00537517,0.74716565,2.0455673
0.00363911,0.010000000000000009,0.00360203,0.00330405,0.00539736,0.73970534,2.05663548
0.00368904,0.010000000000000009,0.00365087,0.00333568,0.00541604,0.73216508,2.06748178
0.00373839,0.010000000000000009,0.00369894,0.00336806,0.00543184,0.72455205,2.07810613
0.00378694,0.010000000000000009,0.00374622,0.00340116,0.00544449,0.71687332,2.08850877
