t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,500,,,0.002508373645324859,0.001327100252898071,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,,0.63791514,0.001101507047999953,0.5379327,0.5344040178991715,-0.5361652129804135
0.01,"[-0.00957371 -0.00433832  0.          0.          1.57763896  1.566458
  0.         -0.        ]",8,500,,,0.0025234810100256255,0.001337908741311437,1.0,6.684e-05,6.685e-05,,,0.30533314,0.30542347,9.033e-05,,0.6419359794392606,-0.010166181098380264,0.5486524857572552,0.5450661182006923,-0.5468561180007698
0.02,"[-0.01914539 -0.00878947 -0.          0.          1.58459193  1.56207323
 -0.          0.        ]",8,500,,,0.0025380391839156056,0.0013485251406884845,0.99999998,0.0001344,0.00013441,,,0.29424974,0.29443301,0.00018327,,0.646068855023736,-0.021651289309668982,0.5593780577999782,0.5557345760469413,-0.5575530961020101
0.03,"[-0.02871069 -0.01335496 -0.          0.          1.59165444  1.55764218
 -0.          0.        ]",8,500,,,0.002552034895586143,0.001358939144146507,0.99999996,0.00020264,0.00020264,,,0.28294986,0.28322857,0.00027872,,0.6503142446883006,-0.03335380051209078,0.570095820394286,0.5663958763171913,-0.5682425919146845
0.04,"[-0.03826512 -0.01803623 -0.          0.          1.5988256   1.55316505
 -0.          0.        ]",8,500,,,0.0025654563431609144,0.0013691406325968209,0.99999993,0.00027148,0.00027148,,,0.2714338,0.27181037,0.00037657,,0.6546724999956218,-0.04527341596511627,0.5807916225957189,0.5770359488858148,-0.5789104949576426
0.05,"[-0.04780408 -0.02283461 -0.          0.          1.60610443  1.54864211
 -0.          0.        ]",8,500,,,0.002578293302133709,0.0013791197066301136,0.99999988,0.00034088,0.00034088,,,0.25970221,0.2601789,0.0004767,,0.659143840120544,-0.05740954408475454,0.5914507781169112,0.5876401881901281,-0.5895421593553437
0.060000000000000005,"[-0.05732284 -0.02775132  0.          0.          1.61348991  1.54407364
 -0.          0.        ]",8,500,,,0.0025905372286841514,0.0013888667183875455,0.99999983,0.00041078,0.00041078,,,0.24775599,0.24833497,0.00057898,,0.6637283459814635,-0.06976128969905764,0.6020580888680969,0.5981934764620749,-0.6001224272235193
0.07,"[-0.06681656 -0.0327875   0.          0.          1.62098093  1.53945997
 -0.          0.        ]",8,500,,,0.0026021813635208626,0.001398372303261268,0.99999977,0.0004811,0.0004811,,,0.23559641,0.23627967,0.00068326,,0.6684259545548702,-0.08232744381158297,0.6125978722603698,0.6086802107154652,-0.6106356558139932
0.08,"[-0.0762803  -0.03794415  0.          0.          1.6285763   1.53480149
 -0.          0.        ]",8,500,,,0.002613220829869099,0.0014076274112502104,0.9999997,0.00055179,0.00055179,,,0.22322502,0.22401442,0.0007894,,0.6732364534103877,-0.09510647395021397,0.6230539923371956,0.6190843335562846,-0.6210657484851874
0.09,"[-0.085709   -0.04322218  0.          0.          1.63627479  1.53009863
 -0.          0.        ]",8,500,,,0.002623652727863877,0.0014166233377935953,0.99999961,0.00062278,0.00062278,,,0.21064374,0.21154097,0.00089723,,0.6781594755046059,-0.10809651517989369,0.633409894772649,0.6293893678566496,-0.631396189537831
0.09999999999999999,"[-0.09509752 -0.04862234  0.          0.          1.64407509  1.52535189
 -0.          0.        ]",8,500,,,0.002633476223886116,0.0014253517539125865,0.99999952,0.00069399,0.00069399,,,0.19785482,0.19886138,0.00100656,,0.6831944942726649,-0.12129536185838088,0.6436486457452416,0.6395784553034563,-0.6416100829258381
0.10999999999999999,"[-0.10444062 -0.0541453   0.          0.          1.6519758   1.52056181
 -0.          0.        ]",8,500,,,0.0026426926354115956,0.00143380473548046,0.99999941,0.00076537,0.00076537,,,0.18486086,0.18597808,0.00111722,,0.688340819056998,-0.13470046021408902,0.6537529746642982,0.64963439880096,-0.6516901948204464
0.11999999999999998,"[-0.11373297 -0.05979157  0.          0.          1.65997551  1.51572901
 -0.          0.        ]",8,500,,,0.002651305507487505,0.0014419747914482235,0.9999993,0.00083684,0.00083684,,,0.17166481,0.17289381,0.001229,,0.6935975909127198,-0.14830890182433942,0.6637053206917208,0.6595397086724817,-0.6616189999716543
0.12999999999999998,"[-0.12296919 -0.06556153  0.          0.          1.66807271  1.51085415
 -0.          0.        ]",8,500,,,0.0026593206842193263,0.0014498548908542844,0.99999917,0.00090832,0.00090832,,,0.15827,0.1596117,0.00134171,,0.6989637788289546,-0.16211741807092872,0.6734878829660289,0.6692766525704581,-0.6713787317749927
0.13999999999999999,"[-0.1321438  -0.07145545  0.          0.          1.67626585  1.50593798
 -0.          0.        ]",8,500,,,0.0026667463716675555,0.0014574384884449524,0.99999904,0.00097975,0.00097975,,,0.1446801,0.14613522,0.00145512,,0.7044381764048165,-0.17612237564771235,0.6830826743980092,0.6788273089665963,-0.6809514359141974
0.15,"[-0.14125127 -0.07747343  0.          0.          1.68455332  1.50098132
 -0.          0.        ]",8,500,,,0.0026735931913854675,0.001464719548745861,0.9999989,0.00105105,0.00105105,,,0.13089917,0.13246819,0.00156901,,0.710019399017848,-0.1903197731919667,0.6924715788686142,0.6881736240551044,-0.6903190274115828
0.16,"[-0.15028603 -0.08361545  0.          0.          1.69293344  1.49598506
 -0.          0.        ]",8,500,,,0.002679874226857363,0.0014716925684223512,0.99999874,0.00112214,0.00112214,,,0.11693164,0.1186148,0.00168316,,0.7157058815213875,-0.20470523910751298,0.7016364116202312,0.6972974718624603,-0.6994633508784098
0.17,"[-0.15924244 -0.08988132  0.          0.          1.70140452  1.49095017
 -0.          0.        ]",8,500,,,0.0026856050573089347,0.0014783525967786996,0.99999858,0.00119295,0.00119295,,,0.10278228,0.10457961,0.00179732,,0.7214958765056642,-0.21927403064304207,0.7105589825926866,0.7061807173173584,-0.7083662437177606
