eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
0,0.0001,0.0,7.2e-07,0.0,0.73343895,0.9904
0.0,0.0001,0.0,1.08e-06,0.0,0.73442565,0.99184244
-0.0,0.0001,1e-08,2.71e-06,-0.0,0.73629409,0.9945891
3.2e-07,0.0001,3.2e-07,2.03e-06,4.8e-07,0.73894589,0.99852192
7.6e-07,0.0001,7.6e-07,3.9e-06,1.12e-06,0.7423421,1.00361943
7.7e-07,0.0001,7.7e-07,9.6e-07,1.15e-06,0.74607437,1.00930216
8e-07,0.0001,8e-07,5.26e-06,1.2e-06,0.75032547,1.0158814
8.4e-07,0.0001,8.4e-07,2.34e-05,1.26e-06,0.7547663,1.02288005
9.4e-07,0.0001,9.4e-07,1.875e-05,1.43e-06,0.75903554,1.02973442
1.08e-06,0.0001,1.08e-06,2.231e-05,1.64e-06,0.76309816,1.03637664
1.22e-06,0.0001,1.22e-06,1.676e-05,1.88e-06,0.76763032,1.04393009
1.37e-06,0.0001,1.37e-06,0.00022944,2.12e-06,0.77221046,1.05172441
2.24e-06,0.0001,2.24e-06,3.291e-05,3.48e-06,0.77687486,1.05983658
3.68e-06,0.0001,3.68e-06,1.872e-05,5.76e-06,0.78405848,1.07269611
4.01e-06,0.0001,4.01e-06,2.98e-06,6.35e-06,0.79076779,1.0851373
4.24e-06,0.0001,4.24e-06,3.955e-05,6.77e-06,0.7979329,1.09892459
4.65e-06,0.0001,4.65e-06,4.83e-06,7.49e-06,0.80621214,1.11556616
5.07e-06,0.0001,5.07e-06,3.92e-06,8.25e-06,0.81425486,1.13254814
5.28e-06,0.0001,5.28e-06,3.58e-06,8.68e-06,0.82211574,1.15002697
5.52e-06,0.0001,5.52e-06,3.72e-06,9.16e-06,0.83066708,1.17017879
5.76e-06,0.0001,5.76e-06,3.21e-06,9.66e-06,0.83884209,1.19074062
6.22e-06,0.0001,6.22e-06,2.41e-06,1.062e-05,0.85326924,1.23093425
6.65e-06,0.0001,6.65e-06,2.08e-06,1.15e-05,0.86506539,1.26886217
7.08e-06,0.0001,7.08e-06,1.84e-06,1.24e-05,0.87546721,1.30804937
7.38e-06,0.0001,7.38e-06,1.66e-06,1.302e-05,0.88166882,1.33533995
7.69e-06,0.0001,7.69e-06,1.53e-06,1.364e-05,0.88709844,1.36299313
7.95e-06,0.0001,7.95e-06,1.76e-06,1.417e-05,0.89101171,1.38626727
8.21e-06,0.0001,8.21e-06,1.07e-06,1.468e-05,0.89427762,1.40912311
8.47e-06,0.0001,8.47e-06,1.33e-06,1.52e-05,0.89705397,1.43270903
8.73e-06,0.0001,8.73e-06,1.04e-06,1.57e-05,0.89913578,1.45510148
9.01e-06,0.0001,9.01e-06,1.23e-06,1.624e-05,0.90083402,1.48024747
9.37e-06,0.0001,9.37e-06,6.5e-07,1.69e-05,0.902012,1.51180973
9.77e-06,0.0001,9.77e-06,1.15e-06,1.763e-05,0.90205017,1.54848024
1.016e-05,0.0001,1.016e-05,7e-07,1.83e-05,0.90077468,1.58304995
1.074e-05,0.0001,1.074e-05,8.1e-07,1.925e-05,0.89655168,1.6340573
1.119e-05,0.0001,1.119e-05,7.4e-07,1.995e-05,0.89131406,1.67371915
1.15e-05,0.0001,1.15e-05,6.4e-07,2.04e-05,0.88660454,1.70152547
1.181e-05,0.0001,1.181e-05,1.21e-06,2.081e-05,0.88109294,1.72901294
1.203e-05,0.0001,1.203e-05,7.2e-07,2.109e-05,0.87660627,1.74872909
1.222e-05,0.0001,1.222e-05,9.7e-07,2.132e-05,0.87246454,1.7653792
1.24e-05,0.0001,1.24e-05,1.13e-06,2.153e-05,0.86804012,1.7818666
1.26e-05,0.0001,1.26e-05,7.2e-07,2.174e-05,0.86290779,1.7996295
1.275e-05,0.0001,1.275e-05,1.19e-06,2.189e-05,0.85864945,1.81344537
1.288e-05,0.0001,1.288e-05,7.4e-07,2.201e-05,0.8548101,1.82529022
1.3e-05,0.0001,1.3e-05,7.4e-07,2.212e-05,0.8510719,1.83633262
1.329e-05,0.0001,1.328e-05,1.48e-06,2.235e-05,0.84119506,1.86353581
1.361e-05,0.0001,1.361e-05,1.24e-06,2.257e-05,0.82904188,1.89383501
1.395e-05,0.0001,1.395e-05,3.3e-07,2.275e-05,0.81524527,1.92494437
1.429e-05,0.0001,1.429e-05,9.1e-07,2.284e-05,0.79920576,1.95768814
1.453e-05,0.0001,1.453e-05,9.8e-07,2.285e-05,0.78634468,1.9818012
1.465e-05,0.0001,1.464e-05,8.1e-07,2.283e-05,0.77932666,1.994274
1.474e-05,0.0001,1.474e-05,1.01e-06,2.279e-05,0.77318356,2.00483401
1.483e-05,0.0001,1.483e-05,8.3e-07,2.275e-05,0.76695322,2.01522636
1.493e-05,0.0001,1.492e-05,9.8e-07,2.27e-05,0.76028617,2.02601566
1.501e-05,0.0001,1.501e-05,8.8e-07,2.264e-05,0.7540974,2.03574307
1.51e-05,0.0001,1.51e-05,8.9e-07,2.256e-05,0.74688532,2.0467506
1.519e-05,0.0001,1.519e-05,6.9e-07,2.246e-05,0.73937466,2.05786105
1.528e-05,0.0001,1.528e-05,1.33e-06,2.233e-05,0.73052804,2.07051594
1.536e-05,0.0001,1.536e-05,5.6e-07,2.221e-05,0.72272006,2.08132146
1.542e-05,0.0001,1.541e-05,8.5e-07,2.211e-05,0.71697178,2.08907084
1.546e-05,0.0001,1.546e-05,9.7e-07,2.199e-05,0.71119071,2.09669661
1.551e-05,0.0001,1.55e-05,9e-07,2.189e-05,0.70570078,2.10378869
1.555e-05,0.0001,1.555e-05,9e-07,2.177e-05,0.70013249,2.11083868
1.559e-05,0.0001,1.558e-05,1.83e-06,2.165e-05,0.69454169,2.11777718
1.563e-05,0.0001,1.563e-05,7.1e-07,2.152e-05,0.68824413,2.12543096
1.57e-05,0.0001,1.57e-05,1.28e-06,2.129e-05,0.67821644,2.13727983
1.577e-05,0.0001,1.577e-05,1.06e-06,2.097e-05,0.6648281,2.15248819
1.587e-05,0.0001,1.587e-05,1.06e-06,2.043e-05,0.64367117,2.17520689
1.593e-05,0.0001,1.593e-05,8e-07,1.986e-05,0.62325658,2.19573736
1.595e-05,0.0001,1.595e-05,6.6e-07,1.937e-05,0.60693418,2.21125415
1.595e-05,0.0001,1.595e-05,8.2e-07,1.895e-05,0.59418113,2.22286039
1.593e-05,0.0001,1.593e-05,1.18e-06,1.853e-05,0.58149468,2.23398015
1.591e-05,0.0001,1.59e-05,1.48e-06,1.812e-05,0.56965739,2.24399015
1.585e-05,0.0001,1.585e-05,1.08e-06,1.736e-05,0.54757237,2.2617734
1.58e-05,0.0001,1.58e-05,1.34e-06,1.693e-05,0.53556597,2.27097786
1.575e-05,0.0001,1.575e-05,1.49e-06,1.657e-05,0.5258849,2.27817279
1.571e-05,0.0001,1.571e-05,1.27e-06,1.628e-05,0.5183254,2.28365423
1.566e-05,0.0001,1.566e-05,1.63e-06,1.6e-05,0.51082276,2.28897868
1.56e-05,0.0001,1.56e-05,1.82e-06,1.57e-05,0.50299247,2.29441527
1.555e-05,0.0001,1.554e-05,2.13e-06,1.539e-05,0.49504181,2.29981227
