eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
0,0.0013446301716783502,1e-08,0.00250837,0.0,0.73343895,0.9904
3.39e-06,0.013446301716783501,3.43e-06,0.00251044,4.98e-06,0.73442665,0.99184383
3.726e-05,0.13446301716783501,4.187e-05,0.00253055,5.546e-05,0.74423908,1.00649614
0.00038959,0.5924400246983046,0.00052284,0.00267255,0.00064855,0.83223438,1.17400639
0.00249039,0.6392166838366501,nan,0.00327415,0.0037215,0.7458977,2.0481647
nan,0.5264403097827806,1.32702668,0.00565333,nan,0.30044105,2.39866102
nan,0.5087445039317253,1.31861245,0.00255643,nan,0.12549533,2.44292983
nan,0.726667936626189,1.5677272,0.00092178,nan,0.05365278,2.45048795
nan,0.8633077936371798,1.69735628,0.00025443,nan,0.0163039,2.45203895
nan,0.9939287984308738,1.81006095,6.194e-05,nan,0.00408516,2.45218896
