eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
0,0.01,1e-08,4.9e-07,0.0,0.73343895,0.9904
2e-08,0.01,0.0,2.654e-05,3e-08,0.74073422,1.00121233
2.7e-07,0.009999999999999998,2.7e-07,0.00032339,4e-07,0.74796253,1.01224016
3.51e-06,0.010000000000000002,3.54e-06,0.00042483,5.29e-06,0.75511459,1.02348148
7.84e-06,0.010000000000000002,7.91e-06,0.0004019,1.195e-05,0.76218599,1.03493906
1.205e-05,0.010000000000000002,1.216e-05,5.371e-05,1.854e-05,0.76916838,1.04661133
1.288e-05,0.010000000000000002,1.3e-05,9.446e-05,1.999e-05,0.77605336,1.05849646
1.414e-05,0.009999999999999995,1.426e-05,1.671e-05,2.214e-05,0.78283434,1.07059438
1.465e-05,0.009999999999999995,1.477e-05,0.00022425,2.313e-05,0.7895034,1.0829033
1.725e-05,0.009999999999999995,1.739e-05,3.162e-05,2.746e-05,0.79605301,1.09542168
1.798e-05,0.009999999999999995,1.812e-05,0.00019777,2.886e-05,0.80247553,1.10814744
2.039e-05,0.009999999999999995,2.054e-05,0.00012114,3.298e-05,0.80876278,1.12107771
2.209e-05,0.009999999999999995,2.225e-05,8.09e-06,3.6e-05,0.81490795,1.13421076
2.269e-05,0.010000000000000009,2.286e-05,5.001e-05,3.726e-05,0.8209021,1.14754194
2.373e-05,0.010000000000000009,2.389e-05,4.616e-05,3.923e-05,0.82673821,1.16106862
2.475e-05,0.010000000000000009,2.491e-05,1.91e-05,4.12e-05,0.83240906,1.17478752
2.552e-05,0.010000000000000009,2.568e-05,1.318e-05,4.276e-05,0.83790626,1.18869335
2.624e-05,0.010000000000000009,2.64e-05,3.19e-06,4.426e-05,0.84322208,1.20278107
2.688e-05,0.010000000000000009,2.704e-05,5.52e-06,4.561e-05,0.8483496,1.21704633
2.755e-05,0.010000000000000009,2.771e-05,2.03e-06,4.702e-05,0.85328129,1.23148331
2.82e-05,0.010000000000000009,2.835e-05,3.31e-06,4.839e-05,0.85801082,1.24608749
2.887e-05,0.010000000000000009,2.901e-05,3.64e-06,4.98e-05,0.86253057,1.26085165
2.955e-05,0.010000000000000009,2.969e-05,2.96e-06,5.123e-05,0.86683411,1.27576981
3.023e-05,0.010000000000000009,3.037e-05,2.26e-06,5.266e-05,0.870915,1.29083528
3.092e-05,0.009999999999999981,3.105e-05,1.84e-06,5.41e-05,0.87476699,1.30604093
3.161e-05,0.010000000000000009,3.174e-05,1.27e-06,5.554e-05,0.87838407,1.32137932
3.231e-05,0.010000000000000009,3.243e-05,2.29e-06,5.697e-05,0.88176053,1.33684266
3.302e-05,0.010000000000000009,3.313e-05,2.19e-06,5.844e-05,0.8848909,1.35242274
3.374e-05,0.010000000000000009,3.384e-05,1.15e-06,5.99e-05,0.88777014,1.36811132
3.445e-05,0.010000000000000009,3.455e-05,1.19e-06,6.135e-05,0.89039357,1.38389986
3.518e-05,0.010000000000000009,3.526e-05,1.67e-06,6.281e-05,0.89275677,1.39977945
3.591e-05,0.010000000000000009,3.599e-05,1.07e-06,6.427e-05,0.89485587,1.41574135
3.664e-05,0.010000000000000009,3.671e-05,9.6e-07,6.571e-05,0.89668715,1.431776
3.738e-05,0.010000000000000009,3.744e-05,1.18e-06,6.715e-05,0.89824742,1.44787402
3.812e-05,0.010000000000000009,3.817e-05,1.14e-06,6.858e-05,0.89953388,1.4640258
3.887e-05,0.010000000000000009,3.891e-05,1.07e-06,7e-05,0.90054421,1.48022169
3.962e-05,0.010000000000000009,3.964e-05,1.49e-06,7.141e-05,0.90127629,1.49645128
4.037e-05,0.010000000000000009,4.039e-05,1.17e-06,7.281e-05,0.90172871,1.51270484
4.113e-05,0.010000000000000009,4.113e-05,1.21e-06,7.418e-05,0.90190033,1.52897205
4.188e-05,0.010000000000000009,4.187e-05,1.64e-06,7.554e-05,0.90179089,1.54524395
4.264e-05,0.010000000000000009,4.262e-05,7.3e-07,7.688e-05,0.90139975,1.56150889
4.339e-05,0.010000000000000009,4.336e-05,8.6e-07,7.817e-05,0.90072749,1.57775758
4.415e-05,0.010000000000000009,4.409e-05,8.6e-07,7.944e-05,0.89977457,1.59397889
4.49e-05,0.010000000000000009,4.483e-05,1.11e-06,8.068e-05,0.89854241,1.61016341
4.565e-05,0.010000000000000009,4.556e-05,7.7e-07,8.189e-05,0.89703264,1.62630133
4.639e-05,0.010000000000000009,4.629e-05,1.36e-06,8.306e-05,0.89524724,1.64238218
4.713e-05,0.010000000000000009,4.702e-05,1.17e-06,8.42e-05,0.89318893,1.65839707
4.787e-05,0.010000000000000009,4.774e-05,9.4e-07,8.53e-05,0.89086047,1.67433576
4.86e-05,0.010000000000000009,4.845e-05,1.4e-06,8.635e-05,0.88826534,1.69018941
4.933e-05,0.009999999999999953,4.917e-05,8e-07,8.736e-05,0.88540712,1.70594808
5.005e-05,0.010000000000000009,4.986e-05,9.3e-07,8.832e-05,0.88229013,1.72160354
5.076e-05,0.010000000000000009,5.056e-05,1.25e-06,8.923e-05,0.87891874,1.73714666
5.146e-05,0.010000000000000009,5.124e-05,8.5e-07,9.009e-05,0.87529776,1.75256865
5.215e-05,0.010000000000000009,5.191e-05,1.04e-06,9.089e-05,0.87143249,1.76786179
5.283e-05,0.010000000000000009,5.258e-05,9.3e-07,9.165e-05,0.86732828,1.78301752
5.35e-05,0.010000000000000009,5.323e-05,5.5e-07,9.235e-05,0.86299111,1.79802892
5.416e-05,0.010000000000000009,5.386e-05,1.02e-06,9.298e-05,0.85842692,1.81288816
5.48e-05,0.010000000000000009,5.449e-05,1.17e-06,9.356e-05,0.85364217,1.82758866
5.543e-05,0.010000000000000009,5.51e-05,6.9e-07,9.409e-05,0.84864336,1.84212354
5.605e-05,0.010000000000000009,5.57e-05,1.26e-06,9.455e-05,0.84343725,1.85648653
5.666e-05,0.010000000000000009,5.628e-05,7.5e-07,9.496e-05,0.83803081,1.87067177
5.724e-05,0.010000000000000009,5.685e-05,8.7e-07,9.53e-05,0.83243124,1.88467375
5.781e-05,0.010000000000000009,5.74e-05,7.1e-07,9.558e-05,0.82664574,1.89848717
5.837e-05,0.010000000000000009,5.794e-05,1.1e-06,9.58e-05,0.82068203,1.91210738
5.891e-05,0.010000000000000009,5.846e-05,1.13e-06,9.597e-05,0.81454746,1.92552987
5.943e-05,0.010000000000000009,5.896e-05,6e-07,9.607e-05,0.80824953,1.93875059
5.993e-05,0.010000000000000009,5.944e-05,1.38e-06,9.61e-05,0.80179594,1.95176585
6.041e-05,0.010000000000000009,5.991e-05,4.8e-07,9.608e-05,0.7951947,1.96457225
6.087e-05,0.010000000000000009,6.035e-05,1.25e-06,9.6e-05,0.78845317,1.97716699
6.132e-05,0.010000000000000009,6.078e-05,5.2e-07,9.586e-05,0.7815791,1.98954752
6.174e-05,0.010000000000000009,6.118e-05,8.3e-07,9.565e-05,0.77458066,2.00171133
6.214e-05,0.010000000000000009,6.156e-05,8.3e-07,9.539e-05,0.76746538,2.01365666
6.253e-05,0.010000000000000009,6.193e-05,6.8e-07,9.507e-05,0.76024109,2.02538184
6.289e-05,0.010000000000000009,6.227e-05,7.5e-07,9.47e-05,0.75291516,2.0368858
6.323e-05,0.010000000000000009,6.259e-05,1.02e-06,9.427e-05,0.74549517,2.04816764
6.355e-05,0.010000000000000009,6.29e-05,1.05e-06,9.38e-05,0.73798866,2.05922664
