t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,500,,,4.933162140025749e-07,2.7273363644844475e-07,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,,0.63791514,0.0011015070479999801,0.5379327,0.5379328669728632,-0.5379327834863099
0.01,"[-9.61200000e-03 -4.38464000e-03 -4.32700000e-05  6.17400000e-05
  1.57766632e+00  1.56648696e+00 -1.00000000e-08 -0.00000000e+00]",8,500,,,2.6543188770171843e-05,2.3021912777633247e-07,1.0,4.965e-05,4.879e-05,,,0.30533314,0.30538767,5.454e-05,,0.6419488099533602,-0.010203211420239331,0.5486871786688683,0.5486875225444399,-0.5486873502543836
0.02,"[-1.92218500e-02 -9.04972000e-03  4.98200000e-05  1.12894300e-02
  1.58464503e+00  1.56229771e+00 -1.00000000e-08  4.95200000e-05]",8,500,,,0.0003233867600469734,3.402934622383222e-06,0.99999999,0.00567072,0.00010133,,,0.29424974,0.29435984,0.0001101,,0.6460956549169077,-0.0217268632418505,0.5594479391100425,0.5594467827929434,-0.5594473086619947
0.03,"[-2.88251200e-02 -1.33966500e-02  3.59030000e-04  2.10970000e-02
  1.59173836e+00  1.55762734e+00  2.00000000e-08  1.87270000e-04]",8,500,,,0.00042483151633211056,6.555288137331117e-06,0.99999998,0.01073056,0.00015632,,,0.28294986,0.28311852,0.00016866,,0.6503541353767414,-0.03346759231470856,0.570198039014044,0.5701977070994897,-0.5701977828158582
0.04,"[-3.84172300e-02 -1.80827500e-02  5.30050000e-04  2.13372200e-02
  1.59893898e+00  1.55313332e+00  5.00000000e-08  2.89190000e-04]",8,500,,,0.00040190267767345223,9.310639727849186e-06,0.99999996,0.01093872,0.00020509,,,0.2714338,0.27166094,0.00022714,,0.6547271544737904,-0.04542789168040969,0.5809274871634548,0.5809335873766789,-0.5809304565071857
0.05,"[-4.79936300e-02 -2.29243500e-02  6.01230000e-04  2.14988200e-02
  1.60624661e+00  1.54863065e+00  2.40000000e-07  3.95300000e-04]",8,500,,,5.370809097404212e-05,1.915577589380452e-06,0.99999994,0.01105862,0.00025468,,,0.25970221,0.25998867,0.00028646,,0.6592141010625564,-0.05760614112672721,0.5916199923153602,0.591618103246329,-0.5916190463385651
0.060000000000000005,"[-5.75492300e-02 -2.76809900e-02  4.96170000e-04  2.17464200e-02
  1.61367074e+00  1.54387790e+00  5.70000000e-07  5.03140000e-04]",8,500,,,9.445594081128928e-05,3.1009949123305425e-06,0.99999991,0.01113454,0.00030537,,,0.24775599,0.24810354,0.00034754,,0.6638141791444592,-0.07000048920912111,0.6022588150379028,0.6022608062992645,-0.6022598062076213
0.07,"[-6.70793100e-02 -3.26161600e-02  4.37440000e-04  2.19489900e-02
  1.62120101e+00  1.53913772e+00  8.20000000e-07  6.16120000e-04]",8,500,,,1.6711424740672165e-05,5.940412874985407e-07,0.99999987,0.01121222,0.00035638,,,0.23559641,0.23600562,0.00040922,,0.6685282523896396,-0.08261064878161077,0.61282959825169,0.6128299286707172,-0.6128297633215678
0.08,"[-7.65787100e-02 -3.76557200e-02  3.59380000e-04  2.20411900e-02
  1.62883960e+00  1.53433538e+00  1.16000000e-06  7.29960000e-04]",8,500,,,0.0002242464450123565,1.0973301216579174e-05,0.99999983,0.01122623,0.00040772,,,0.22322502,0.2236967,0.00047168,,0.6733558374857439,-0.0954347659715121,0.623315625892829,0.6233313322200232,-0.6233234539131921
0.09,"[-8.60423600e-02 -4.28161800e-02  3.60400000e-04  2.22898700e-02
  1.63658468e+00  1.52948654e+00  1.25000000e-06  8.53570000e-04]",8,500,,,3.161891224615971e-05,1.455735775144858e-06,0.99999979,0.01135922,0.00045941,,,0.21064374,0.21117832,0.00053458,,0.6782966828603744,-0.10847115168001681,0.6337004018478656,0.6337008521832436,-0.6337006265156767
