t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,500,,,0.012097200508216346,0.006442503076091929,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,,0.63791514,0.0011015070479999801,0.5379327,0.5224976226565524,-0.5301419901982082
0.01,"[-9.40717000e-03 -4.30264000e-03  0.00000000e+00  0.00000000e+00
  1.57761158e+00  1.56649369e+00  5.34500000e-05  5.34500000e-05]",8,500,,,0.012084785576177584,0.006441621225308451,0.99999998,0.0001485,0.0001485,,,0.30533314,0.30554476,0.00021163,,0.6419129913277956,-0.010035778741609743,0.5485553892908176,0.5329745169109149,-0.5406919320796552
0.02,"[-1.88132900e-02 -8.71639000e-03  3.00000000e-07 -2.30000000e-07
  1.58453506e+00  1.56214488e+00  1.07090000e-04  1.06860000e-04]",8,500,,,0.012067786043996687,0.006438735882400895,0.99999991,0.00029769,0.0002977,,,0.29424974,0.29467841,0.00042866,,0.6460208585599811,-0.021387760007421937,0.5591854957305629,0.5434648822467883,-0.5512523732586737
0.03,"[-2.82141700e-02 -1.32427400e-02  1.50000000e-06 -6.90000000e-07
  1.59156597e+00  1.55775007e+00  1.60910000e-04  1.60220000e-04]",8,500,,,0.012046044162023428,0.006433767766210454,0.9999998,0.00044748,0.00044748,,,0.28294986,0.28360078,0.00065092,,0.65023922275612,-0.032954518977250345,0.56980982032655,0.5539559057547253,-0.5618103094506609
0.04,"[-3.76055600e-02 -1.78830800e-02  4.17000000e-06 -1.40000000e-06
  1.59870346e+00  1.55330943e+00  2.14890000e-04  2.13490000e-04]",8,500,,,0.012018942670640801,0.006426390571304812,0.99999964,0.00059773,0.00059773,,,0.2714338,0.272312,0.0008782,,0.6545684431900514,-0.04473586763560809,0.5804146182076634,0.5644348561654626,-0.572352509695103
0.05,"[-4.69830700e-02 -2.26387100e-02  8.88000000e-06 -2.35000000e-06
  1.60594659e+00  1.54882321e+00  2.69010000e-04  2.66670000e-04]",8,500,,,0.011986668172983644,0.006416703982620671,0.99999944,0.00074834,0.00074832,,,0.25970221,0.26081244,0.00111024,,0.6590087532102922,-0.05673134349983216,0.5909856217833622,0.5748874479827117,-0.5828646947760925
0.060000000000000005,"[-5.63421800e-02 -2.75108500e-02  1.61700000e-05 -3.55000000e-06
  1.61329435e+00  1.54429168e+00  3.23260000e-04  3.19710000e-04]",8,500,,,0.01194933845497818,0.006404766316040879,0.99999919,0.00089918,0.00089914,,,0.24775599,0.24910279,0.00134679,,0.6635602520613999,-0.06894018784133343,0.6015080539140705,0.5852989852121437,-0.5933321262183513
0.07,"[-6.56782900e-02 -3.25005900e-02  2.65600000e-05 -5.00000000e-06
  1.62074568e+00  1.53971516e+00  3.77600000e-04  3.72600000e-04]",8,500,,,0.011906994624510581,0.006390587698101988,0.9999989,0.00105014,0.00105006,,,0.23559641,0.23718399,0.00158759,,0.6682228995485968,-0.08136133654289048,0.6119666542420216,0.595654407491095,-0.6037396426060642
0.08,"[-7.49866800e-02 -3.76089200e-02  4.05400000e-05 -6.70000000e-06
  1.62829943e+00  1.53509400e+00  4.32020000e-04  4.25300000e-04]",8,500,,,0.011859996067899406,0.006374339614110853,0.99999856,0.00120111,0.00120095,,,0.22322502,0.22505733,0.00183231,,0.6729965109907685,-0.09399341173319574,0.6223457092695834,0.6059377845334133,-0.6140714171481331
0.09,"[-8.42625300e-02 -4.28367200e-02  5.85600000e-05 -8.65000000e-06
  1.63595437e+00  1.53042863e+00  4.86480000e-04  4.77800000e-04]",8,500,,,0.011808559783942223,0.006356105789804842,0.99999817,0.00135197,0.00135168,,,0.21064374,0.2127244,0.00208066,,0.6778807509446133,-0.10683470826993151,0.6326290822122743,0.6161329713134734,-0.6243113057207884
