eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
0,0.0001,0.0,4.9e-07,0.0,0.73343895,0.9904
0.0,0.0001,0.0,1.205e-05,0.0,0.73411898,0.99139354
0.0,0.0001,0.0,1.211e-05,1e-08,0.73479848,0.99238892
-1e-08,0.0001,1e-08,2.731e-05,-2e-08,0.73567357,0.9936747
1.8e-07,0.0001,1.8e-07,1.618e-05,2.7e-07,0.73679015,0.99532168
4.7e-07,0.0001,4.7e-07,9.319e-05,7e-07,0.73813251,0.99731125
5.6e-07,0.0001,5.6e-07,4.344e-05,8.3e-07,0.73920971,0.99891544
6.6e-07,0.0001,6.6e-07,4.904e-05,9.7e-07,0.74028546,1.0005243
7.5e-07,0.0001,7.5e-07,0.00015408,1.11e-06,0.74168941,1.00263442
1.01e-06,0.0001,1.01e-06,0.00017785,1.51e-06,0.74351682,1.00539881
1.48e-06,0.0001,1.48e-06,9.89e-06,2.21e-06,0.74553387,1.00847386
1.77e-06,0.0001,1.77e-06,0.00023899,2.65e-06,0.74774426,1.01187283
2.17e-06,0.0001,2.17e-06,4.829e-05,3.25e-06,0.74994762,1.01529192
2.75e-06,0.0001,2.75e-06,0.00013218,4.13e-06,0.75275627,1.01969603
3.06e-06,0.0001,3.06e-06,1.38e-05,4.63e-06,0.7551229,1.02344779
3.33e-06,0.0001,3.33e-06,0.00015017,5.04e-06,0.75748047,1.02722308
3.6e-06,0.0001,3.6e-06,9.461e-05,5.46e-06,0.75959344,1.03063955
3.98e-06,0.0001,3.99e-06,0.00016545,6.07e-06,0.76169866,1.03407505
4.54e-06,0.0001,4.54e-06,0.00013126,6.94e-06,0.76450009,1.03869667
5.21e-06,0.0001,5.21e-06,4.05e-06,7.99e-06,0.76746549,1.04365267
5.55e-06,0.0001,5.55e-06,9.69e-05,8.56e-06,0.77049094,1.04877875
5.82e-06,0.0001,5.82e-06,5.364e-05,9.01e-06,0.77344942,1.05386164
6.23e-06,0.0001,6.23e-06,0.00014144,9.68e-06,0.77662705,1.05940105
6.7e-06,0.0001,6.7e-06,1.319e-05,1.044e-05,0.77945123,1.06439616
7.08e-06,0.0001,7.08e-06,0.00010283,1.108e-05,0.78225675,1.0694275
7.38e-06,0.0001,7.38e-06,0.00025438,1.159e-05,0.78497819,1.07437615
8.42e-06,0.0001,8.42e-06,6.132e-05,1.328e-05,0.78853454,1.08094778
9.52e-06,0.0001,9.52e-06,0.00023139,1.509e-05,0.79263259,1.08867398
1.065e-05,0.0001,1.065e-05,0.00026749,1.698e-05,0.79703313,1.09716321
1.262e-05,0.0001,1.263e-05,8.52e-06,2.024e-05,0.80168976,1.10637679
1.489e-05,0.0001,1.489e-05,0.00011101,2.413e-05,0.81030163,1.12409419
1.623e-05,0.0001,1.623e-05,4.212e-05,2.659e-05,0.81913874,1.14329765
1.849e-05,0.0001,1.849e-05,3.76e-06,3.072e-05,0.83073659,1.17034793
1.98e-05,0.0001,1.98e-05,6.12e-06,3.333e-05,0.8419545,1.19895161
2.089e-05,0.0001,2.089e-05,3.16e-06,3.565e-05,0.85319059,1.23069884
2.224e-05,0.0001,2.224e-05,2.37e-06,3.849e-05,0.86524511,1.26948624
2.38e-05,0.0001,2.38e-05,1.11e-06,4.176e-05,0.87729624,1.31572189
2.546e-05,0.0001,2.546e-05,1.78e-06,4.519e-05,0.88747888,1.36510903
2.839e-05,0.0001,2.839e-05,1.21e-06,5.105e-05,0.89889478,1.45218114
3.164e-05,0.0001,3.164e-05,1.22e-06,5.708e-05,0.90208237,1.54663901
3.495e-05,0.0001,3.495e-05,1.07e-06,6.261e-05,0.8957862,1.64077083
3.979e-05,0.0001,3.978e-05,7.1e-07,6.925e-05,0.87026382,1.77373655
