eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
0,0.0001,0.0,0.0120972,0.0,0.73343895,0.9904
8.26e-06,0.0001,8.26e-06,0.01209525,1.214e-05,0.73443332,0.99185056
0.00013728,0.0001,0.00013729,0.01208139,0.00020378,0.74214998,1.0033013
0.00108715,0.0001,0.00108724,0.01180361,0.00173003,0.79537729,1.09371231
0.00527567,0.0001,0.00527564,0.0094164,0.00953887,0.90198915,1.55840661
0.01054154,0.0001,0.01054055,0.02978922,0.01626212,0.76602266,2.01578209
0.01925855,0.0001,0.0192558,0.07401078,0.02073833,0.52746397,2.27532507
0.02728627,0.0001,0.02728224,0.30420039,0.02516969,0.44533448,2.32802917
0.03127632,0.0001,0.03127169,0.30359937,0.0283834,0.43550594,2.33354227
0.03771096,0.0001,0.03770526,0.30470787,0.03399463,0.42869241,2.33710246
0.0462963,0.0001,0.04628925,0.30568394,0.04108269,0.41656818,2.34358898
0.05016284,0.0001,0.0501552,0.30620655,0.04437596,0.41290601,2.34540739
0.05397726,0.0001,0.05396901,0.30550729,0.04743692,0.40772995,2.34808664
0.05908722,0.0001,0.05907817,0.30450384,0.0514761,0.40085706,2.35158373
0.06554329,0.0001,0.06553355,0.30420291,0.05650613,0.39245844,2.35576602
0.07335767,0.0001,0.07334634,0.11116296,0.06247074,0.38250347,2.36060396
0.07636301,0.0001,0.07635119,0.11313619,0.06434599,0.37619332,2.36361386
0.07736645,0.0001,0.07735445,0.11488658,0.06444028,0.37069547,2.36619094
0.07829011,0.0001,0.07827793,0.2958911,0.06413387,0.36320948,2.36973413
0.080414,0.0001,0.08040148,0.11862852,0.06542363,0.35911572,2.37156875
0.08364877,0.0001,0.08363573,0.12079513,0.0673092,0.35267779,2.37442671
0.08479204,0.0001,0.08477927,0.12339091,0.06704649,0.34495256,2.37785815
0.09661183,0.0001,0.0965965,0.14399956,0.06598743,0.28348933,2.40213536
0.12110697,0.0001,0.12108763,0.1490571,0.06988075,0.21513873,2.4232995
0.13794387,0.0001,0.13792176,0.12762954,0.0720402,0.17723109,2.43259285
0.13892288,0.0001,0.13890052,0.09323102,0.0622764,0.13939372,2.44010147
0.11695864,0.0001,0.11694001,0.06416062,0.0411035,0.10421342,2.44546936
0.07464475,0.0001,0.07463255,0.04034505,0.01737251,0.07066419,2.44913471
0.03338958,0.0001,0.03338404,0.02502975,0.00443641,0.04597526,2.45091888
