t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,500,,,0.4806000000001773,2.066174626959057e-07,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,,0.63791514,,0.5379327,0.30695614432757345,0.30695624216370154
0.01,"[-0.          0.          0.          0.          1.57079633  1.57079632
  0.00686999 -0.008694  ]",8,500,,,0.4806110211155871,2.831734385544377e-07,0.9999769,0.00575291,0.00480604,,,0.3162,0.31618898,-1.102e-05,,0.6379227757407173,,0.5379473060537345,0.30696010019115927,0.3069602263135633
0.02,"[-0.00000000e+00  1.41600000e-05  1.14285900e-02  6.00000000e-08
  1.57076801e+00  1.57081048e+00  1.37399900e-02 -1.73880000e-02]",8,500,,,0.48061269585150235,2.598685989040333e-07,0.99990761,0.00963157,0.00961228,,,0.3162,0.31617795,-2.205e-05,,0.6379304130984277,,0.5379619147062582,0.30697366785784197,0.3069735095752257
0.03,"[-1.09860000e-04  4.24900000e-05  2.28571700e-02 -5.00000000e-08
  1.57071137e+00  1.57083880e+00  2.06096200e-02 -2.60816200e-02]",8,500,,,0.4805096485211555,2.6832328307492547e-05,0.99979214,0.01454825,0.01441775,,,0.3162,0.31611414,-8.586e-05,,0.6379374700646832,,0.5380093200460425,0.30706457366850526,0.3070921856963117
0.04,"[-3.29480000e-04  8.56300000e-05  3.45029600e-02  1.55580000e-04
  1.57062635e+00  1.57088068e+00  2.74785900e-02 -3.47745800e-02]",8,500,,,0.480292202354931,8.947997462876547e-05,0.99963058,0.01978417,0.01922112,,,0.3162,0.31599768,-0.00020232,,0.6379439146822515,,0.5380893800712668,0.3072165257266913,0.3073126530775041
0.05,"[-6.60910000e-04  1.27550000e-04  4.65193400e-02  1.83520000e-04
  1.57051287e+00  1.57095093e+00  3.43467200e-02 -4.34660000e-02]",8,500,,,0.4799372405913427,0.00017142215121847477,0.99942308,0.0251804,0.02402097,,,0.3162,0.31582717,-0.00037283,,0.6379499535041999,,0.5382031525048689,0.30755757867417466,0.30771048813630564
0.060000000000000005,"[-1.10789000e-03  2.03840000e-04  5.91665900e-02  3.62890000e-04
  1.57037210e+00  1.57101729e+00  4.12132900e-02 -5.21582400e-02]",8,500,,,0.47941065172188924,0.00032981863133590175,0.99916984,0.030778,0.02881554,,,0.3162,0.31560199,-0.00059801,,0.6379553271126189,,0.5383507121554774,0.3076746793214211,0.30809540924624595
0.07,"[-1.67487000e-03  2.82130000e-04  7.26008100e-02  3.81840000e-04
  1.57020200e+00  1.57111387e+00  4.80775900e-02 -6.08437900e-02]",8,500,,,0.4786564587807251,0.00045235589666785497,0.99887118,0.03655577,0.0336027,,,0.3162,0.31532176,-0.00087824,,0.6379589377157658,,0.5385311261047638,0.3081106098151127,0.3087648651936863
0.08,"[-2.37457000e-03  3.89560000e-04  8.71145200e-02  4.52080000e-04
  1.57000072e+00  1.57119977e+00  5.49379300e-02 -6.95278900e-02]",8,500,,,0.4775668110503991,0.0006454523064888076,0.99852756,0.04262485,0.03837941,,,0.3162,0.31497539,-0.00122461,,0.6379628141092873,,0.5387533193108306,0.30924197373881135,0.3099626170163971
0.09,"[-3.21024000e-03  4.04010000e-04  1.03219260e-01  6.37980000e-04
  1.56977670e+00  1.57140509e+00  6.18034000e-02 -7.82159500e-02]",8,500,,,0.47620814794208277,0.0009258076012504061,0.99813967,0.04915318,0.0431416,,,0.3162,0.31456219,-0.00163781,,0.6379685275376573,,0.5390191562440918,0.3100531137321869,0.31114903490492507
0.09999999999999999,"[-4.20137000e-03  5.45560000e-04  1.20165890e-01  5.41590000e-04
  1.56951047e+00  1.57152894e+00  6.86676500e-02 -8.68990300e-02]",8,500,,,0.47424454951094225,0.0012457318833748144,0.99770828,0.05590661,0.04788568,,,0.3162,0.31408887,-0.00211113,,0.6379652663361847,,0.5393134462909261,0.3103054077113876,0.3123554806307386
0.10999999999999999,"[-5.33170000e-03  7.13190000e-04  1.39120770e-01  7.07660000e-04
  1.56923489e+00  1.57163344e+00  7.55237700e-02 -9.55701000e-02]",8,500,,,0.4717178275016232,0.001502067662427435,0.9972346,0.06334838,0.05260522,,,0.3162,0.31353659,-0.00266341,,0.6379719544682083,,0.5396667598091301,0.31149622810138156,0.3143226395638303
0.11999999999999998,"[-6.66139000e-03  8.36890000e-04  1.59956690e-01  7.29340000e-04
  1.56892029e+00  1.57184318e+00  8.23708400e-02 -1.04236010e-01]",8,500,,,0.4678567155890729,0.0017531856104780713,0.99672042,0.07140196,0.05729113,,,0.3162,0.31291201,-0.00328799,,0.6379676556813526,,0.5400537313529501,0.31363861926144354,0.3174012221462995
0.12999999999999998,"[-8.18533000e-03  1.14866000e-03  1.84477140e-01  6.41750000e-04
  1.56860056e+00  1.57185447e+00  8.92137400e-02 -1.12913240e-01]",8,500,,,0.46341372155455934,0.002250920527658926,0.99616858,0.08069164,0.06192816,,,0.3162,0.31217883,-0.00402117,,0.6379778671086765,,0.54052224313488,0.31505247509545875,0.32041122045264603
0.13999999999999999,"[-9.95781000e-03  1.40092000e-03  2.11000130e-01  8.75920000e-04
  1.56819121e+00  1.57196904e+00  9.60548100e-02 -1.21560800e-01]",8,500,,,0.45604879379131785,0.0025037915055355696,0.99558172,0.09093787,0.06650694,,,0.3162,0.31136706,-0.00483294,,0.6379629546738207,,0.5410135096920249,0.3189085245989352,0.3259707659862221
0.15,"[-1.19591500e-02  1.23449000e-03  2.43113020e-01  6.17650000e-04
  1.56777351e+00  1.57255287e+00  1.02900920e-01 -1.30224490e-01]",8,500,,,0.44829748775720313,0.00295275768475689,0.99496602,0.10317624,0.0709953,,,0.3162,0.31046851,-0.00573149,,0.6379519230076185,,0.5415612264377014,0.3215207517347628,0.3310556703215223
0.16,"[-1.42788000e-02  9.96480000e-04  2.77490590e-01  9.95870000e-04
  1.56735040e+00  1.57323673e+00  1.09754460e-01 -1.38845230e-01]",8,500,,,0.4374310866449674,0.00491734296704397,0.99432544,0.11676773,0.07538324,,,0.3162,0.30943833,-0.00676167,,0.6379483850397234,,0.542196306880961,0.32505994647959535,0.3379551488985797
0.17,"[-1.69392600e-02  1.59649000e-03  3.16007330e-01  1.35005000e-03
  1.56692881e+00  1.57298778e+00  1.16549870e-01 -1.47480480e-01]",8,500,,,0.4294458344568728,0.003688486942168449,0.99366864,0.13221846,0.07963298,,,0.3162,0.30823153,-0.00796847,,0.6379740784706779,,0.5429674046445347,0.3313938537891291,0.34496876685065203
0.18000000000000002,"[-1.99244000e-02  2.12943000e-03  3.51827960e-01  1.01776000e-03
  1.56645899e+00  1.57293268e+00  1.23362570e-01 -1.56112750e-01]",8,500,,,0.4086079804853906,0.004557492199796468,0.99299288,0.14655725,0.08378208,,,0.3162,0.30695897,-0.00924103,,0.6379733524014021,,0.5437495435446045,0.3354088764709068,0.35609896914958095
0.19000000000000003,"[-2.32656900e-02  1.44060000e-03  3.97864340e-01  5.30160000e-04
  1.56594988e+00  1.57415291e+00  1.30116930e-01 -1.64697500e-01]",8,500,,,0.3912312036488321,0.005870610167480558,0.99232693,0.16516368,0.08768036,,,0.3162,0.30562536,-0.01057464,,0.6379708762862696,,0.5445640144093827,0.3475835399935321,0.3695428498472005
0.20000000000000004,"[-2.70356500e-02  1.04291000e-03  4.45544470e-01  2.37870000e-04
  1.56543121e+00  1.57517719e+00  1.36847400e-01 -1.73356550e-01]",8,500,,,0.3651020967544227,0.005667369178945034,0.99167028,0.18477836,0.09136266,,,0.3162,0.30421336,-0.01198664,,0.6379622331858553,,0.5454164622507753,0.35878958774241043,0.3854532544693549
0.21000000000000005,"[-3.12449800e-02  9.98160000e-04  4.99172930e-01  5.03790000e-04
  1.56490545e+00  1.57584354e+00  1.43677260e-01 -1.81922830e-01]",8,500,,,0.3363591780233339,0.005705849007038525,0.99104548,0.20738807,0.09473464,,,0.3162,0.30273687,-0.01346313,,0.6379663569618067,,0.546316745809413,0.3710372962659002,0.40210827271739025
0.22000000000000006,"[-3.58211800e-02  1.09820000e-03  5.56639760e-01  5.01260000e-04
  1.56429957e+00  1.57636129e+00  1.50506560e-01 -1.90493200e-01]",8,500,,,0.30964811955134774,0.006210132494844792,0.99045991,0.23175825,0.09779037,,,0.3162,0.3012893,-0.0149107,,0.6379597234317332,,0.5471844828671303,0.3861325743289996,0.4187175496272221
0.23000000000000007,"[-4.09168300e-02  1.69693000e-03  6.14049340e-01 -4.62670000e-04
  1.56365856e+00  1.57632198e+00  1.57276360e-01 -1.99095770e-01]",8,500,,,0.26131608011432206,0.00745513943050585,0.98991947,0.25580532,0.10052892,,,0.3162,0.29978773,-0.01641227,,0.6379629087178139,,0.5480902252482399,0.4166945797110776,0.44824935561650137
0.24000000000000007,"[-4.65896500e-02  1.28100000e-03  6.80657150e-01  4.35380000e-04
  1.56306746e+00  1.57729799e+00  1.64092480e-01 -2.07790970e-01]",8,500,,,0.23075793430520397,0.006030871350964731,0.98947585,0.28492664,0.10272287,,,0.3162,0.29835532,-0.01784468,,0.6380162680905151,,0.5490003733158473,0.42774121345197363,0.461746181261508
0.25000000000000006,"[-5.27553800e-02  1.13309000e-03  7.44001160e-01  1.43620000e-03
  1.56236999e+00  1.57806815e+00  1.70854240e-01 -2.16339780e-01]",8,500,,,0.1794661191845718,0.005185266032303835,0.98909097,0.31270012,0.10458944,,,0.3162,0.2970466,-0.0191534,,0.638031473589774,,0.5497947925651221,0.45504877085806816,0.48631773774400955
0.26000000000000006,"[-5.93185000e-02  5.54280000e-04  8.11897200e-01  6.70020000e-04
  1.56165112e+00  1.57934619e+00  1.77656010e-01 -2.24906190e-01]",8,500,,,0.14458999733970807,0.0045326936787406565,0.98880206,0.3417495,0.10596916,,,0.3162,0.29603786,-0.02016214,,0.6380510371985167,,0.5504126235950564,0.4710683867055294,0.5002873714849445
0.2700000000000001,"[-6.63549400e-02  7.31910000e-04  8.76335790e-01  9.98315000e-03
  1.56088708e+00  1.57991286e+00  1.84358160e-01 -2.33441110e-01]",8,500,,,0.11024655563082378,0.0040395676641404735,0.9885808,0.37392491,0.10701397,,,0.3162,0.29522896,-0.02097104,,0.6380493523807184,,0.5508892114611,0.4910071206001132,0.5148710145163764
0.2800000000000001,"[-7.38327900e-02  9.54570000e-04  9.37329910e-01  2.14114700e-02
  1.56011676e+00  1.58049945e+00  1.91063480e-01 -2.41941340e-01]",8,500,,,0.08039370550500306,0.0036009541317788218,0.98842454,0.40547729,0.10774576,,,0.3162,0.29462637,-0.02157363,,0.6380482351505419,,0.5512435376691479,0.5073206812764007,0.5260505355303617
0.2900000000000001,"[-8.17046600e-02  1.53020000e-03  9.93995890e-01  1.82838200e-02
  1.55931823e+00  1.58073399e+00  1.97729040e-01 -2.50429240e-01]",8,500,,,0.05491508485913506,0.0034104818855394225,0.98832223,0.42809538,0.10822228,,,0.3162,0.29420717,-0.02199283,,0.6380465440946955,,0.5514886854888584,0.5290738149089882,0.5387734169263804
0.3000000000000001,"[-8.99231700e-02  1.21525000e-03  1.04596723e+00  1.58828600e-02
  1.55844765e+00  1.58182935e+00  2.04422630e-01 -2.58962930e-01]",8,500,,,0.03482921929958009,0.0017998127806227457,0.98826319,0.44879276,0.10849632,,,0.3162,0.29392661,-0.02227339,,0.6380612529390972,,0.5516684027622788,0.5371266023372177,0.5437909652912392
0.3100000000000001,"[-0.09839574  0.00213979  1.09288452  0.01645032  1.55761757  1.58174936
  0.21117293 -0.26747553]",8,500,,,0.024393928249458224,0.0014117778276912004,0.98823218,0.46846754,0.10863996,,,0.3162,0.29380823,-0.02239177,,0.6380713241664079,,0.5517480487227975,0.5417935166421559,0.5464732508147568
0.3200000000000001,"[-0.10709461  0.00169359  1.13385438  0.01465225  1.55670162  1.58307219
  0.21779585 -0.2759308 ]",8,500,,,0.013280280074274294,0.0010023259998291944,0.98821445,0.48419883,0.10872203,,,0.3162,0.29375123,-0.02244877,,0.6380837354409995,,0.5517939489066461,0.5456224458412109,0.5486200144545029
0.3300000000000001,"[-0.1159768   0.00165136  1.17026982  0.01518008  1.55577647  1.58405506
  0.22441189 -0.28435932]",8,500,,,0.006986471881408165,0.0005108176175146237,0.98820985,0.49885508,0.10874331,,,0.3162,0.29379059,-0.02240941,,0.638088365989241,,0.5517754579114589,0.5495690413564926,0.5506478442393009
0.34000000000000014,"[-0.12502281  0.00169469  1.20221562  0.01357976  1.55482616  1.58496473
  0.23102895 -0.2927751 ]",8,500,,,0.004220114380253962,0.0004201711046838455,0.98821214,0.51038686,0.10873271,,,0.3162,0.29385837,-0.02234163,,0.6380968275884925,,0.5517440845749424,0.549981122668924,0.550853698939242
0.35000000000000014,"[-0.13420186  0.0016947   1.23001491  0.01363025  1.55384782  1.58593857
  0.23761552 -0.30115457]",8,500,,,0.002120223068086526,0.00015046555136184357,0.9882165,0.52073903,0.10871254,,,0.3162,0.29392972,-0.02227028,,0.6381073594668134,,0.5517126817002866,0.551007737869107,0.5513579621117676
0.36000000000000015,"[-0.14349067  0.00174882  1.25435225  0.01196847  1.55283957  1.58689399
  0.24417805 -0.30951492]",8,500,,,4.65765583756202e-07,2.6100737962913404e-07,0.98822205,0.528652,0.10868686,,,0.3162,0.29400888,-0.02219112,,0.6381155236142289,,0.551674302798061,0.5516743380361566,0.5516743204170004
0.37000000000000016,"[-0.15286899  0.00182422  1.27586834  0.01195453  1.55180151  1.58785667
  0.25072063 -0.31785264]",8,500,,,4.467864141036555e-07,2.281610263133511e-07,0.98822865,0.53601235,0.10865634,,,0.3162,0.29409602,-0.02210398,,0.6381233021987116,,0.5516308349179423,0.5516311551873008,0.5516309950525217
0.38000000000000017,"[-0.16232444  0.00188465  1.29477764  0.01193995  1.55073312  1.58886374
  0.25723638 -0.32616395]",8,500,,,5.221788724641571e-07,2.914086334558954e-07,0.98823418,0.54215046,0.10863072,,,0.3162,0.29417168,-0.02202832,,0.6381311621642111,,0.5515941847327616,0.5515940578632066,0.5515941212978478
0.3900000000000002,"[-0.17184601  0.00193067  1.31151645  0.0119249   1.54963422  1.58991489
  0.2637241  -0.33444801]",8,500,,,6.01977404258375e-07,3.81748715629791e-07,0.98823885,0.54727274,0.1086091,,,0.3162,0.29423763,-0.02196237,,0.6381391125052146,,0.551563328489972,0.5515629454708612,0.5515631369802354
0.4000000000000002,"[-0.18142517  0.00196283  1.32643198  0.01190951  1.54850462  1.59100979
  0.27018258 -0.34270395]",8,500,,,5.318691819183453e-07,2.947887598848888e-07,0.9882428,0.55154337,0.10859079,,,0.3162,0.29429531,-0.02190469,,0.6381471540954664,,0.551537424077072,0.551537364209977,0.551537394143383
0.4100000000000002,"[-0.19105517  0.00198173  1.3398032   0.01189388  1.54734411  1.59214814
  0.27661066 -0.35093095]",8,500,,,6.085806446272772e-07,4.009060758051862e-07,0.98824616,0.55509422,0.10857525,,,0.3162,0.29434588,-0.02185412,,0.6381552959045266,,0.5515157986420559,0.5515155884567156,0.5515156935492005
0.4200000000000002,"[-0.20073067  0.00198798  1.35185645  0.01187814  1.54615249  1.59332962
  0.28300721 -0.35912812]",8,500,,,5.103511747581872e-07,2.77113749223596e-07,0.98824901,0.55803219,0.10856204,,,0.3162,0.2943903,-0.0218097,,0.638163544199545,,0.5514978938624217,0.551498416052298,0.5514981549572295
0.4300000000000002,"[-0.21044736  0.00198221  1.36277698  0.01186239  1.54492954  1.5945539
  0.28937108 -0.36729462]",8,500,,,5.399486700294446e-07,2.96579743826939e-07,0.98825143,0.56044474,0.10855081,,,0.3162,0.29442938,-0.02177062,,0.6381719028743094,,0.5514832450528773,0.5514836632136129,0.5514834541330992
0.4400000000000002,"[-0.22020176  0.00196509  1.37271771  0.01184673  1.543675    1.59582066
  0.29570116 -0.37542958]",8,500,,,5.051032083236663e-07,2.802495854857058e-07,0.98825349,0.56240402,0.10854127,,,0.3162,0.29446377,-0.02173623,,0.638180370782844,,0.551471458545611,0.5514718617794904,0.5514716601624231
0.45000000000000023,"[-0.229991    0.00193728  1.38180582  0.01183125  1.54238862  1.59712958
  0.30199637 -0.38353211]",8,500,,,4.11876289876856e-07,2.0575990964203414e-07,0.98825524,0.56397001,0.10853319,,,0.3162,0.29449403,-0.02170597,,0.6381889581004636,,0.5514622223173493,0.5514623238788666,0.5514622730980231
0.46000000000000024,"[-0.23981273  0.00189949  1.39014796  0.01181607  1.54107012  1.5984803
  0.30825566 -0.39160134]",8,500,,,4.6313614451646965e-07,2.4071048881535096e-07,0.98825671,0.56519297,0.10852638,,,0.3162,0.29452064,-0.02167936,,0.6381976616380907,,0.5514552556453116,0.5514550683866956,0.5514551620158963
0.47000000000000025,"[-0.24966498  0.00185243  1.39783409  0.01180121  1.53971922  1.59987251
  0.31447797 -0.39963638]",8,500,,,4.6814316726937914e-07,2.2571777322198715e-07,0.98825794,0.56611525,0.10852068,,,0.3162,0.29454398,-0.02165602,,0.6382064908332211,,0.55145033717064,0.5514498242669419,0.5514500807186814
0.48000000000000026,"[-0.25954613  0.00179685  1.40494066  0.01178677  1.53833559  1.60130584
  0.32066231 -0.40763634]",8,500,,,5.623090941939713e-07,3.4636129193530284e-07,0.98825895,0.56677283,0.10851596,,,0.3162,0.29456439,-0.02163561,,0.6382154469661853,,0.5514472695463807,0.5514476825885228,0.5514474760672936
