t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,500,,,0.48059999999999997,1.0627666704685078e-16,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,,0.63791514,,0.5379327,0.30695634,0.30695634
0.01,"[ 0.          0.         -0.         -0.          1.57079633  1.57079633
  0.00687    -0.008694  ]",8,500,,,0.4806110216108768,1.4311889529007732e-16,0.9999769,0.00575291,0.00480604,,,0.3162,0.31618898,-1.102e-05,,0.6379227757720155,,0.5379473057172586,0.3069603516234076,0.30696035162340773
0.02,"[ 0.00000000e+00  1.41600000e-05  0.00000000e+00  0.00000000e+00
  1.57076800e+00  1.57081049e+00  1.37400000e-02 -1.73880000e-02]",8,500,,,0.48064408324212504,1.9231971886549115e-16,0.99990761,0.01150579,0.00961228,,,0.3162,0.31617796,-2.204e-05,,0.6379304100995712,,0.5379619086763784,0.3069431739207156,0.3069431739207156
0.03,"[ 0.00000000e+00  4.24800000e-05  0.00000000e+00 -1.20000000e-07
  1.57071136e+00  1.57083881e+00  2.06096200e-02 -2.60816200e-02]",8,500,,,0.48069917050820915,7.712601945320419e-10,0.99979211,0.01725865,0.0144189,,,0.3162,0.31616694,-3.306e-05,,0.637938039522252,,0.5379765027538169,0.3069048102265366,0.30690481022653654
0.04,"[ 2.00000000e-08  8.49600000e-05  0.00000000e+00 -4.90000000e-07
  1.57062641e+00  1.57088128e+00  2.74785000e-02 -3.47745000e-02]",8,500,,,0.48077625626018833,4.241574602118345e-09,0.99963039,0.02301151,0.0192261,,,0.3162,0.31615594,-4.406e-05,,0.6379456589797001,,0.5379910787653792,0.30684527018181684,0.3068452701818169
0.05,"[ 6.00000000e-08  1.41570000e-04  0.00000000e+00 -1.23000000e-06
  1.57051318e+00  1.57093790e+00  3.43462500e-02 -4.34662500e-02]",8,500,,,0.4808753006174195,1.349408856604272e-08,0.99942245,0.02876438,0.02403406,,,0.3162,0.31614496,-5.504e-05,,0.6379532618155597,,0.5380056244734233,0.3067645697295294,0.30676456972952953
0.060000000000000005,"[ 1.40000000e-07  2.12320000e-04  0.00000000e+00 -2.46000000e-06
  1.57037171e+00  1.57100863e+00  4.12125000e-02 -5.21565000e-02]",8,500,,,0.4809962510154666,3.276522651051674e-08,0.99916825,0.03451725,0.02884299,,,0.3162,0.31613401,-6.599e-05,,0.6379608397830194,,0.5380201245971097,0.306662731106176,0.30666273110617587
0.07,"[ 2.80000000e-07  2.97170000e-04  0.00000000e+00 -4.31000000e-06
  1.57020202e+00  1.57109346e+00  4.80768700e-02 -6.08448700e-02]",8,500,,,0.48113904227009097,6.744172247632097e-08,0.99886779,0.04027014,0.03365307,,,0.3162,0.31612311,-7.689e-05,,0.6379683830519397,,0.5380345608256905,0.3065397828291114,0.30653978282911076
0.08,"[ 5.20000000e-07  3.96110000e-04  0.00000000e+00 -6.89000000e-06
  1.57000418e+00  1.57119236e+00  5.49390000e-02 -6.95310000e-02]",8,500,,,0.48130359665717826,1.2405675446645434e-07,0.99852103,0.04602306,0.03846449,,,0.3162,0.31611227,-8.773e-05,,0.6379758802175701,,0.5380489118348255,0.30639575967968985,0.3063957596796898
0.09,"[ 8.70000000e-07  5.09120000e-04  0.00000000e+00 -1.03300000e-05
  1.56977823e+00  1.57130531e+00  6.17985200e-02 -7.82145100e-02]",8,500,,,0.4814898240084194,2.1028516643263343e-07,0.99812794,0.05177602,0.04327744,,,0.3162,0.31610151,-9.849e-05,,0.6379833183108387,,0.5380631533059141,0.30623070268225566,0.3062307026822556
0.09999999999999999,"[ 1.39000000e-06  6.36160000e-04  0.00000000e+00 -1.47500000e-05
  1.56952423e+00  1.57143226e+00  6.86550400e-02 -8.68950400e-02]",8,500,,,0.48169762182252046,3.3493778036090126e-07,0.99768849,0.05752902,0.04809211,,,0.3162,0.31609085,-0.00010915,,0.6379906828102225,,0.538077257948437,0.30604465907896516,0.30604465907896516
0.10999999999999999,"[ 2.11000000e-06  7.77200000e-04  0.00000000e+00 -2.02700000e-05
  1.56924227e+00  1.57157318e+00  7.55082100e-02 -9.55722000e-02]",8,500,,,0.48192687539168516,5.079547830997418e-07,0.99720263,0.06328208,0.05290869,,,0.3162,0.31608031,-0.00011969,,0.6379979576551817,,0.5380911955252878,0.3058376823004947,0.3058376823004948
0.11999999999999998,"[ 3.07000000e-06  9.32210000e-04  0.00000000e+00 -2.70100000e-05
  1.56893242e+00  1.57172801e+00  8.23576600e-02 -1.04245640e-01]",8,500,,,0.4821774579430738,7.403981820185567e-07,0.99667033,0.06903519,0.05772735,,,0.3162,0.31606992,-0.00013008,,0.6380051252611557,,0.5381049328810754,0.3056098319326309,0.30560983193263086
0.12999999999999998,"[ 4.33000000e-06  1.10115000e-03  0.00000000e+00 -3.50900000e-05
  1.56859477e+00  1.57189672e+00  8.92030200e-02 -1.12914990e-01]",8,500,,,0.4824492307949203,1.0444433198925561e-06,0.99609154,0.07478837,0.06254828,,,0.3162,0.3160597,-0.0001403,,0.6380121665361129,,0.5381184339733908,0.3053611736787806,0.3053611736787805
0.13999999999999999,"[ 5.94000000e-06  1.28398000e-03  0.00000000e+00 -4.46300000e-05
  1.56822942e+00  1.57207925e+00  9.60439300e-02 -1.21579870e-01]",8,500,,,0.48274204352693395,1.4333694374409168e-06,0.99546621,0.08054163,0.06737167,,,0.3162,0.31604968,-0.00015032,,0.638019060898636,,0.5381316599069956,0.30509177931843545,0.30509177931843545
0.15,"[ 7.96000000e-06  1.48065000e-03  0.00000000e+00 -5.57500000e-05
  1.56783646e+00  1.57227553e+00  1.02880020e-01 -1.30239950e-01]",8,500,,,0.4830557341646071,1.921549274651963e-06,0.99479429,0.08629496,0.07219769,,,0.3162,0.3160399,-0.0001601,,0.6380257862975433,,0.5381445689709251,0.3048017266616176,0.30480172666161753
