t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,500,,,0.480600000000251,2.578773453086883e-07,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,,0.63791514,,0.5379327,0.30695672271005536,0.3069565313549071
0.01,"[-1.00000000e-08  1.78000000e-05 -6.85000000e-06  3.28000000e-06
  1.57079633e+00  1.57077853e+00  6.87000000e-03 -8.69401000e-03]",8,500,,,0.48061101854486576,2.137945263997626e-07,0.9999769,0.00575389,0.00480604,,,0.3162,0.31618898,-1.102e-05,,0.637922776043268,,0.5379473073945401,0.3069603579342606,0.3069603570910337
0.02,"[ 6.0000000e-08  1.7050000e-05  1.1519970e-02 -1.0721900e-03
  1.5707680e+00  1.5708076e+00  1.3740000e-02 -1.7387990e-02]",8,500,,,0.4806121874467236,3.680818129419409e-07,0.99990761,0.00967499,0.00961228,,,0.3162,0.31617799,-2.201e-05,,0.6379304097705814,,0.5379618887993999,0.30697371324631817,0.30697376366169665
0.03,"[-1.10670000e-04  5.41900000e-05  9.95371000e-03 -2.32813000e-03
  1.57071135e+00  1.57082710e+00  2.06096200e-02 -2.60815500e-02]",8,500,,,0.48060925745812766,3.2109852132264524e-05,0.99979212,0.01549366,0.01441845,,,0.3162,0.31611375,-8.625e-05,,0.6379374597762362,,0.5380095598276612,0.30695531372830653,0.30698980760075745
0.04,"[-2.06430000e-04  6.73200000e-05  2.19000100e-02 -3.62664000e-03
  1.57062656e+00  1.57089843e+00  2.74784600e-02 -3.47742300e-02]",8,500,,,0.4805320721504148,7.11754544829032e-05,0.99963047,0.01954132,0.01922411,,,0.3162,0.31605645,-0.00014355,,0.6379447338748463,,0.5380530512167387,0.30702977882034277,0.307085878835955
0.05,"[-4.16710000e-04  1.56380000e-04  3.43919400e-02 -4.74236000e-03
  1.57051331e+00  1.57092405e+00  3.43464100e-02 -4.34656900e-02]",8,500,,,0.4803126613746716,0.00011494497054739675,0.99942275,0.02404759,0.0240278,,,0.3162,0.31594506,-0.00025494,,0.6379509712957901,,0.5381296895205406,0.307057283182512,0.30724336001311636
0.060000000000000005,"[-7.47120000e-04  2.67240000e-04  4.77531900e-02 -5.84931000e-03
  1.57037290e+00  1.57095432e+00  4.12118500e-02 -5.21534900e-02]",8,500,,,0.4798977073917671,0.00019270206704466761,0.99916914,0.02889675,0.02882758,,,0.3162,0.31577494,-0.00042506,,0.6379573006660834,,0.5382434895285042,0.3073627501342276,0.3076522150514288
0.07,"[-1.20700000e-03  3.65060000e-04  6.24878600e-02 -6.96285000e-03
  1.57020484e+00  1.57102772e+00  4.80758200e-02 -6.08401400e-02]",8,500,,,0.4791886363080099,0.000330801088125357,0.99886996,0.03409384,0.03362078,,,0.3162,0.31554352,-0.00065648,,0.6379628266666691,,0.5383951130575363,0.3077532076470422,0.3082632857689242
0.08,"[-1.80687000e-03  4.91230000e-04  7.92532600e-02 -8.16028000e-03
  1.57000239e+00  1.57110234e+00  5.49386000e-02 -6.95231900e-02]",8,500,,,0.4780307717309557,0.0004625584626777908,0.99852571,0.03976082,0.03840352,,,0.3162,0.31524827,-0.00095173,,0.6379652774343376,,0.5385838066325579,0.30828153610442816,0.3091759620076465
0.09,"[-2.57133000e-03  6.92080000e-04  9.87651100e-02 -9.42466000e-03
  1.56977943e+00  1.57112858e+00  6.18007600e-02 -7.81997500e-02]",8,500,,,0.47626960940849206,0.000661158732497438,0.99813725,0.04613968,0.04316962,,,0.3162,0.31487201,-0.00132799,,0.6379698861232249,,0.5388255004384301,0.30925199044895946,0.3106223750206361
