t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,500,,,0.4806050688928696,0.0011036581807687652,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,,0.63791514,,0.5379327,0.30451534499452415,0.30573340637450214
0.01,"[ 0.         -0.         -0.          0.          1.57079633  1.57079633
  0.00684263 -0.00865936]",8,500,,,0.4806160027846342,0.0011036635537995357,0.9999769,0.00575295,0.00480609,,,0.3162,0.31618907,-1.093e-05,,0.6379227150516278,,0.537947189572159,0.3045193009595093,0.3057373741994944
0.02,"[ 0.00000000e+00  1.40800000e-05  0.00000000e+00  0.00000000e+00
  1.57076823e+00  1.57081040e+00  1.36852600e-02 -1.73187300e-02]",8,500,,,0.48064880082934075,0.0011036275279148865,0.9999076,0.01150587,0.00961238,,,0.3162,0.31617816,-2.184e-05,,0.6379302776381188,,0.5379616499692033,0.30450239278977675,0.3057203865101483
0.03,"[ 0.00000000e+00  4.22300000e-05 -0.00000000e+00 -1.20000000e-07
  1.57071203e+00  1.57083856e+00  2.05275200e-02 -2.59777200e-02]",8,500,,,0.4807034488604793,0.001103550114120105,0.9997921,0.01725878,0.01441904,,,0.3162,0.31616728,-3.272e-05,,0.6379378243554978,,0.5379760751734907,0.30446462371838184,0.3056824465727565
0.04,"[ 2.00000000e-08  8.44500000e-05 -1.00000000e-08 -4.90000000e-07
  1.57062776e+00  1.57088078e+00  2.73690300e-02 -3.46359700e-02]",8,500,,,0.480779920140234,0.0011034313382379277,0.99963038,0.02301168,0.01922628,,,0.3162,0.31615644,-4.356e-05,,0.6379453502269052,,0.5379904561627384,0.30440600311627725,0.3056235638344829
0.05,"[ 6.00000000e-08  1.40730000e-04 -5.00000000e-08 -1.22000000e-06
  1.57051543e+00  1.57093705e+00  3.42094300e-02 -4.32931000e-02]",8,500,,,0.48087817539014993,0.0011032712409250502,0.99942244,0.02876459,0.02403428,,,0.3162,0.31614564,-5.436e-05,,0.6379528487068201,,0.5380047808953075,0.30432654646664287,0.30554375389769517
0.060000000000000005,"[ 1.30000000e-07  2.11050000e-04 -1.80000000e-07 -2.44000000e-06
  1.57037508e+00  1.57100736e+00  4.10483500e-02 -5.19487600e-02]",8,500,,,0.4809981628367967,0.0011030698777774399,0.99916824,0.03451753,0.02884323,,,0.3162,0.3161349,-6.51e-05,,0.6379603116873617,,0.538019034265774,0.3042262753028808,0.3054430384581407
0.07,"[ 2.80000000e-07  2.95400000e-04 -5.10000000e-07 -4.26000000e-06
  1.57020674e+00  1.57109169e+00  4.78854100e-02 -6.06025600e-02]",8,500,,,0.48113981827134805,0.0011028273196472208,0.99886777,0.04027055,0.03365332,,,0.3162,0.31612423,-7.577e-05,,0.6379677295065901,,0.5380331980300979,0.30410521710999155,0.3053214452069518
0.08,"[ 5.10000000e-07  3.93750000e-04 -1.18000000e-06 -6.82000000e-06
  1.57001047e+00  1.57119000e+00  5.47202500e-02 -6.92541500e-02]",8,500,,,0.48130306512151416,0.0011025436533527635,0.99852101,0.04602368,0.03846473,,,0.3162,0.31611365,-8.635e-05,,0.6379750909587049,,0.5380472506988743,0.3039634051884129,0.30517900769596135
0.09,"[ 8.80000000e-07  5.06080000e-04 -2.41000000e-06 -1.02200000e-05
  1.56978631e+00  1.57130228e+00  6.15525000e-02 -7.79031400e-02]",8,500,,,0.4814878145336012,0.0011022189830438367,0.99812792,0.05177701,0.04327767,,,0.3162,0.31610317,-9.683e-05,,0.6379823833060309,,0.5380611673963184,0.3038008784788112,0.3050157651653931
