t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,500,,,0.48068366668802437,0.004497347778256437,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,,0.63791514,,0.5379327,0.2972443106893108,0.30206011163433355
0.01,"[ 1.36500000e-05  6.91000000e-06  0.00000000e+00  0.00000000e+00
  1.57080998e+00  1.57080323e+00  6.77546000e-03 -8.54343000e-03]",8,500,,,0.480694456283175,0.004500490344810384,0.99997689,0.00575362,0.00480688,,,0.3162,0.3161972,-2.8e-06,,0.6379245613192984,,0.5379438920494013,0.2972435020381507,0.3020601168930874
0.02,"[ 2.74700000e-05  2.77800000e-05  0.00000000e+00 -6.00000000e-08
  1.57079636e+00  1.57082411e+00  1.35509600e-02 -1.70868300e-02]",8,500,,,0.48072659002441226,0.004503551666925725,0.99990757,0.01150727,0.00961394,,,0.3162,0.31619464,-5.36e-06,,0.6379339412894134,,0.5379548898876028,0.29722265227325995,0.30203974390218175
0.03,"[ 4.14600000e-05  6.26300000e-05  0.00000000e+00 -3.00000000e-07
  1.57075547e+00  1.57085895e+00  2.03261200e-02 -2.56298100e-02]",8,500,,,0.4807800510281775,0.004506445128607748,0.99979203,0.01726096,0.01442137,,,0.3162,0.31619233,-7.67e-06,,0.6379432767257875,,0.5379656870095814,0.29718195109749157,0.30199909032020805
0.04,"[ 5.56400000e-05  1.11430000e-04  0.00000000e+00 -8.30000000e-07
  1.57068734e+00  1.57090776e+00  2.71006000e-02 -3.41720400e-02]",8,500,,,0.4808548169697911,0.004509260582889345,0.99963027,0.02301469,0.01922936,,,0.3162,0.31619027,-9.73e-06,,0.6379525629094682,,0.5379762741489802,0.29712121627413157,0.30193806771003023
0.05,"[ 7.00100000e-05  1.74180000e-04  0.00000000e+00 -1.78000000e-06
  1.57059199e+00  1.57097051e+00  3.38740200e-02 -4.27131600e-02]",8,500,,,0.4809508518791404,0.004512044208265594,0.99942225,0.02876847,0.02403809,,,0.3162,0.31618848,-1.152e-05,,0.63796179365422,,0.5379866391352565,0.2970403657244166,0.3018566414682011
0.060000000000000005,"[ 8.45900000e-05  2.50870000e-04  0.00000000e+00 -3.27000000e-06
  1.57046944e+00  1.57104719e+00  4.06460300e-02 -5.12527900e-02]",8,500,,,0.48106809857535815,0.0045145951582837044,0.99916798,0.03452231,0.02884775,,,0.3162,0.31618696,-1.304e-05,,0.6379709612969063,,0.5379967669255129,0.29693985249825,0.30175505197842617
0.07,"[ 9.94100000e-05  3.41480000e-04  0.00000000e+00 -5.41000000e-06
  1.57031974e+00  1.57113778e+00  4.74162800e-02 -5.97905900e-02]",8,500,,,0.4812065047830928,0.0045171608265272955,0.99886743,0.04027621,0.03365851,,,0.3162,0.31618573,-1.427e-05,,0.6379800566306767,,0.5380066398466826,0.2968191766667938,0.3016330581339579
0.08,"[ 1.14490000e-04  4.45990000e-04  0.00000000e+00 -8.33000000e-06
  1.57014293e+00  1.57124227e+00  5.41843900e-02 -6.83262100e-02]",8,500,,,0.4813659961987686,0.004519718280823491,0.99852056,0.0460302,0.03847057,,,0.3162,0.31618481,-1.519e-05,,0.6379890690539266,,0.5380162371818684,0.29667842363041974,0.30149071925792764
0.09,"[ 1.29860000e-04  5.64380000e-04  0.00000000e+00 -1.21300000e-05
  1.56993908e+00  1.57136061e+00  6.09500100e-02 -7.68592700e-02]",8,500,,,0.4815464748683202,0.004521926374124651,0.99812736,0.05178427,0.0432841,,,0.3162,0.3161842,-1.58e-05,,0.637997986496901,,0.5380255354301052,0.2965183647895602,0.3013284463807798
0.09999999999999999,"[ 1.45570000e-04  6.96620000e-04  0.00000000e+00 -1.69500000e-05
  1.56970823e+00  1.57149277e+00  6.77127900e-02 -8.53894300e-02]",8,500,,,0.4817478630839176,0.004524291720015488,0.9976878,0.05753843,0.04809928,,,0.3162,0.31618394,-1.606e-05,,0.6380067953514513,,0.5380345086746731,0.2963379668730946,0.30114573598092326
0.10999999999999999,"[ 1.61640000e-04  8.42680000e-04  0.00000000e+00 -2.28900000e-05
  1.56945047e+00  1.57163873e+00  7.44723700e-02 -9.39163400e-02]",8,500,,,0.4819700422118752,0.004526542947464899,0.99720183,0.06329269,0.0529163,,,0.3162,0.31618405,-1.595e-05,,0.6380154807173872,,0.5380431276941224,0.2961378652408958,0.30094293567265074
0.11999999999999998,"[ 1.78130000e-04  1.00253000e-03  0.00000000e+00 -3.00700000e-05
  1.56916587e+00  1.57179843e+00  8.12283900e-02 -1.02439650e-01]",8,500,,,0.48221289477080076,0.004528740178495704,0.99666941,0.06904706,0.05773533,,,0.3162,0.31618454,-1.546e-05,,0.6380240262073531,,0.538051360816675,0.2959179937828915,0.3007200393581656
0.12999999999999998,"[ 1.95090000e-04  1.17613000e-03  0.00000000e+00 -3.86100000e-05
  1.56885451e+00  1.57197183e+00  8.79805000e-02 -1.10958990e-01]",8,500,,,0.48247628761122974,0.004530826749871778,0.99609051,0.07480153,0.06255655,,,0.3162,0.31618545,-1.455e-05,,0.6380324140536591,,0.5380591735854947,0.2956785420106716,0.3004771737445262
0.13999999999999999,"[ 2.12560000e-04  1.36344000e-03  1.00000000e-08 -4.86300000e-05
  1.56851649e+00  1.57215888e+00  9.47283600e-02 -1.19474020e-01]",8,500,,,0.482760077139931,0.004532762157122397,0.99546507,0.08055613,0.06738013,,,0.3162,0.31618681,-1.319e-05,,0.63804062509908,,0.5380665289222232,0.2954196712405896,0.3002144540413303
0.15,"[ 2.30610000e-04  1.56443000e-03  1.00000000e-08 -6.02300000e-05
  1.56815191e+00  1.57235953e+00  1.01471610e-01 -1.27984400e-01]",8,500,,,0.48306411861944437,0.0045347665195233115,0.99479305,0.08631085,0.07220626,,,0.3162,0.31618863,-1.137e-05,,0.6380486388232995,,0.5380733871445744,0.2951409951435157,0.2999317197952547
