t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,500,,,0.4806000000000611,1.152397602075363e-07,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,,0.63791514,,0.5379327,0.3069562438597902,0.30695629192986573
0.0012754488662191333,"[ 8.00000000e-08  2.97000000e-06 -1.56250000e-04 -1.63750000e-04
  1.57079610e+00  1.57079359e+00  8.76230000e-04 -1.10887000e-03]",8,500,,,0.48060016688321405,3.697050994414367e-07,0.99999962,0.0008325,0.00061298,,,0.3162,0.31620004,4e-08,,0.637915140728132,,0.5379326766620499,0.30695624162892354,0.30695619894140014
0.0022239287436703354,"[ 2.90000000e-07  3.37000000e-06 -3.00570000e-04 -2.85530000e-04
  1.57079563e+00  1.57079366e+00  1.52784000e-03 -1.93348000e-03]",8,500,,,0.4806005003603867,3.5947498764249653e-07,0.99999886,0.00146113,0.00106882,,,0.3162,0.31620014,1.4e-07,,0.6379151417027705,,0.5379326146812615,0.30695562050989966,0.30695569712225357
0.0031724086211215377,"[ 6.30000000e-07  3.01000000e-06 -4.63810000e-04 -4.08350000e-04
  1.57079490e+00  1.57079474e+00  2.17944000e-03 -2.75809000e-03]",8,500,,,0.48060100569608727,2.4660158166728103e-07,0.99999768,0.00209663,0.00152466,,,0.3162,0.3162003,3e-07,,0.6379151434535273,,0.5379325121119035,0.30695478448259883,0.3069549849592059
0.004175059042638359,"[ 1.15000000e-06  2.65000000e-06 -6.17360000e-04 -5.20790000e-04
  1.57079386e+00  1.57079615e+00  2.86826000e-03 -3.62979000e-03]",8,500,,,0.4806017413891268,3.919043972539846e-07,0.99999597,0.00275597,0.00200654,,,0.3162,0.31620055,5.5e-07,,0.6379151466840043,,0.537932357477055,0.3069545990222835,0.3069544613365387
0.004658957066123463,"[ 1.46000000e-06  3.82000000e-06 -6.92780000e-04 -5.85520000e-04
  1.57079325e+00  1.57079558e+00  3.20070000e-03 -4.05049000e-03]",8,500,,,0.4806021586574566,5.884129867817474e-07,0.99999499,0.00307821,0.0022391,,,0.3162,0.3162007,7e-07,,0.637915148202438,,0.537932266285113,0.30695407096896754,0.3069539511739367
0.00490120093100129,"[ 1.62000000e-06  3.75000000e-06 -7.31140000e-04 -6.11750000e-04
  1.57079293e+00  1.57079598e+00  3.36712000e-03 -4.26109000e-03]",8,500,,,0.48060239427842866,5.151725019431606e-07,0.99999445,0.00323762,0.00235552,,,0.3162,0.31620078,7.8e-07,,0.6379151490441017,,0.537932216797977,0.30695362344678506,0.30695358942930184
0.005143444795879117,"[ 1.80000000e-06  1.00700000e-05 -7.72500000e-04 -6.41600000e-04
  1.57079258e+00  1.57079000e+00  3.53354000e-03 -4.47170000e-03]",8,500,,,0.48060263360267974,5.416153964482205e-07,0.99999389,0.0033993,0.00247194,,,0.3162,0.31620086,8.6e-07,,0.6379151500270436,,0.5379321646871184,0.30695282178169164,0.30695304752148916
0.005455322378377248,"[ 2.03000000e-06  9.93000000e-06 -8.25300000e-04 -6.80190000e-04
  1.57079211e+00  1.57079061e+00  3.74780000e-03 -4.74284000e-03]",8,500,,,0.48060294723374325,6.819714317667096e-07,0.99999313,0.00360736,0.00262183,,,0.3162,0.31620098,9.8e-07,,0.6379151512530102,,0.5379320932009267,0.3069529472435739,0.3069529237773702
0.005895607548117897,"[ 2.40000000e-06  9.34000000e-06 -8.99840000e-04 -7.36330000e-04
  1.57079141e+00  1.57079191e+00  4.05027000e-03 -5.12562000e-03]",8,500,,,0.4806034441608663,6.745060260911968e-07,0.99999197,0.00390166,0.00283344,,,0.3162,0.31620115,1.15e-06,,0.6379151531813727,,0.5379319843151337,0.306952582942287,0.30695244835906693
0.00649537928750588,"[ 2.94000000e-06  9.31000000e-06 -9.91330000e-04 -8.09280000e-04
  1.57079035e+00  1.57079299e+00  4.46231000e-03 -5.64706000e-03]",8,500,,,0.4806041843260779,7.313966534666467e-07,0.99999026,0.00429789,0.00312169,,,0.3162,0.31620141,1.41e-06,,0.6379151560418947,,0.5379318214772718,0.3069510152268515,0.3069512273561943
