eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0.0,5.6e-07,0.0,0.73343895,1.3066
1e-08,0.0001,1e-08,5.1e-07,0.0,0.74073408,1.3066
9.4e-07,0.0001,2.251e-05,4.6e-07,1.41e-06,0.74796184,1.3066
0.00215716,0.0001,0.00243942,4.7e-07,0.00326257,0.75511507,1.3066
0.03041594,0.0001,0.03072152,4.9e-07,0.04731734,0.7621865,1.3066
0.06144622,0.0001,0.06175816,5.5e-07,0.09843204,0.76916875,1.3066
0.09362439,0.0001,0.0939422,5e-07,0.15443421,0.77605433,1.3066
0.12694926,0.0001,0.12727341,4.9e-07,0.21561387,0.78283568,1.3066
0.16152009,0.0001,0.16185073,5.9e-07,0.28246046,0.78950517,1.3066
0.19740877,0.0001,0.19774599,6.5e-07,0.35545068,0.7960551,1.3066
0.23468493,0.0001,0.23502905,5.8e-07,0.43509036,0.80247776,1.3066
