t,params,num_params,num_time_steps,error_bound,error_bound_grad,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,0.0,5.577494881216557e-07,5.577494881216557e-07,3.501046936511124e-07,1.0,0.0,1e-06,,,0.3162,0.3162,0.0,1.3066,0.6379151399999999,0.0011015070479999973,0.5379327,0.5379325182574143,-0.5379326091285516
0.01,"[-0.009612   -0.004347   -0.          0.          1.57766633  1.56644933
  0.          0.        ]",8,10,5.577494881216557e-09,9.374527099568452e-05,5.086078693233732e-07,2.653387949701131e-07,1.0,4.889e-05,4.89e-05,,,0.30533314,0.3053878,5.467e-05,1.3066,0.6419486862015894,-0.010203095668624844,0.5486869756450826,0.5486870338697792,-0.5486870047573016
0.02,"[-0.01922184 -0.00880762 -0.          0.          1.58464736  1.56205562
  0.         -0.        ]",8,10,9.430302048380617e-07,0.2156219222515471,4.5515669433180285e-07,2.2693911462927082e-07,0.99999999,9.827e-05,9.827e-05,,,0.29424974,0.29436042,0.00011067,1.3066,0.6460949629838681,-0.02172640687949907,0.5594469087939529,0.5594468705175284,-0.5594468896556369
0.03,"[-2.88250900e-02 -1.33833900e-02  0.00000000e+00  0.00000000e+00
  1.59173860e+00  1.55761536e+00 -0.00000000e+00 -1.00000000e-08]",8,10,0.0021571622527203093,2.825878199575189,4.700365750666709e-07,2.544314434491222e-07,0.99999998,0.00014809,0.0001481,,,0.28294986,0.28311779,0.00016793,1.3066,0.6503544550297404,-0.03346839479460022,0.5701987720427213,0.5701983087308883,-0.5701985403866943
0.04,"[-3.84172300e-02 -1.80757700e-02  0.00000000e+00  0.00000000e+00
  1.59893914e+00  1.55312877e+00  0.00000000e+00 -1.00000000e-08]",8,10,0.0304159442484722,3.1030280460678585,4.919640427595132e-07,2.459420162534435e-07,0.99999996,0.00019833,0.00019833,,,0.2714338,0.27166016,0.00022635,1.3066,0.6547275084208575,-0.04542874447382444,0.5809282665622711,0.5809282158856309,-0.58092824122383
0.05,"[-4.7993580e-02 -2.2886100e-02  0.0000000e+00  0.0000000e+00
  1.6062480e+00  1.5485961e+00  0.0000000e+00 -1.0000000e-08]",8,10,0.06144622470915079,3.217816581642108,5.473008058132814e-07,3.1636831465328225e-07,0.99999994,0.00024892,0.00024893,,,0.25970221,0.25998803,0.00028582,1.3066,0.6592143484454952,-0.05760685493473281,0.5916205724250975,0.5916203077996794,-0.5916204401122387
0.060000000000000005,"[-5.75493700e-02 -2.78156300e-02 -0.00000000e+00  0.00000000e+00
  1.61366412e+00  1.54401765e+00  1.00000000e-08 -1.00000000e-08]",8,10,0.09362439052557187,3.332487333051054,5.004660971089203e-07,2.631373462606504e-07,0.99999991,0.00029984,0.00029984,,,0.24775599,0.24810223,0.00034624,1.3066,0.6638150456239249,-0.07000180406164078,0.6022603300846886,0.6022600765577824,-0.6022602033211102
0.07,"[-0.06707969 -0.03286548 -0.          0.          1.6211864   1.53939373
  0.         -0.        ]",8,10,0.1269492638560824,3.457082578081083,4.876574329123965e-07,2.442818871249159e-07,0.99999988,0.00035103,0.00035103,,,0.23559641,0.23600387,0.00040747,1.3066,0.668529537129039,-0.08261235961876796,0.6128317081531931,0.6128322017414624,-0.6128319549472089
0.08,"[-0.07657954 -0.03803669  0.          0.          1.62881363  1.53472475
 -0.         -0.        ]",8,10,0.16152008963689324,3.588868222177133,5.923094425902304e-07,3.7385904617454154e-07,0.99999984,0.00040243,0.00040243,,,0.22322502,0.22369441,0.00046939,1.3066,0.6733576065028591,-0.09543696754374585,0.6233184178360948,0.6233179766641244,-0.6233181972499342
0.09,"[-8.60438000e-02 -4.33301300e-02  0.00000000e+00 -0.00000000e+00
  1.63654455e+00  1.53001114e+00 -1.00000000e-08 -0.00000000e+00]",8,10,0.19740877185866457,3.727616307035442,6.459270954636706e-07,4.422422455472824e-07,0.99999979,0.00045402,0.00045402,,,0.21064374,0.21117562,0.00053188,1.3066,0.6782988727471378,-0.10847371188872326,0.6337037299044201,0.633704120036567,-0.6337039249702849
0.09999999999999999,"[-9.54672600e-02 -4.87466200e-02  0.00000000e+00 -0.00000000e+00
  1.64437782e+00  1.52525339e+00 -1.00000000e-08 -1.00000000e-08]",8,10,0.23468493492901898,3.876227739548488,5.809542146211245e-07,3.755034460041681e-07,0.99999974,0.00050572,0.00050572,,,0.19785482,0.1984496,0.00059478,1.3066,0.6833528037993254,-0.12172036928270237,0.6439705591199075,0.643971044311733,-0.6439708017156516
