eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0,0.0,0,0.73343895,1.3066
0.0,0.0001,0,0.0,0,0.74073408,1.3066
0.0,0.0001,0,0.0,0,0.74796184,1.3066
0.0,0.0001,0,0.0,0,0.75511507,1.3066
0.0,0.0001,0,0.0,0,0.76218651,1.3066
0.0,0.0001,0,0.0,0,0.76916876,1.3066
0.0,0.0001,0,0.0,0,0.77605434,1.3066
0.0,0.0001,0,0.0,0,0.78283569,1.3066
0.0,0.0001,0.0,1e-08,0.0,0.78950518,1.3066
0.0,0.0001,1e-08,1e-08,0.0,0.79605511,1.3066
1.48e-06,0.0001,2.705e-05,0.0,2.37e-06,0.80247777,1.3066
