eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0.0,5.6e-07,0.0,0.73343895,1.3066
0.0,0.0001,1e-08,5.9e-07,0.0,0.73343905,1.3066
0.0,0.0001,0.0,5.7e-07,0.0,0.73343942,1.3066
0.0,0.0001,1e-08,5.1e-07,0.0,0.73344025,1.3066
0.0,0.0001,0.0,5.1e-07,0.0,0.73344227,1.3066
0.0,0.0001,0.0,5.3e-07,0.0,0.73344848,1.3066
0,0.0001,0.0,5.1e-07,0.0,0.73346192,1.3066
0.0,0.0001,0.0,5e-07,0.0,0.73346822,1.3066
0.0,0.0001,0.0,4.8e-07,0.0,0.73347452,1.3066
0.0,0.0001,0.0,6.4e-07,0.0,0.73348572,1.3066
0.0,0.0001,0.0,5.9e-07,0.0,0.73349835,1.3066
0.0,0.0001,0.0,4.9e-07,0.0,0.73351285,1.3066
0.0,0.0001,0.0,5.5e-07,0.0,0.73355936,1.3066
0.0,0.0001,0.0,5.1e-07,0.0,0.73358789,1.3066
0.0,0.0001,0.0,4.9e-07,0.0,0.73360494,1.3066
0.0,0.0001,0.0,5.2e-07,0.0,0.733622,1.3066
1e-08,0.0001,1e-08,3.7e-07,0.0,0.73366147,1.3066
0.0,0.0001,0.0,5e-07,0.0,0.73370093,1.3066
0.0,0.0001,1e-08,4.5e-07,0.0,0.73372088,1.3066
0.0,0.0001,0.0,5.3e-07,0.0,0.73372974,1.3066
0.0,0.0001,0.0,4.2e-07,0.0,0.7337386,1.3066
0.0,0.0001,1e-08,5.5e-07,0.0,0.73374952,1.3066
0.0,0.0001,0.0,5.4e-07,0.0,0.73376341,1.3066
1e-08,0.0001,0.0,5.4e-07,0.0,0.73377872,1.3066
0.0,0.0001,0.0,5.4e-07,0.0,0.73379572,1.3066
1e-08,0.0001,0.0,6e-07,0.0,0.7338202,1.3066
0.0,0.0001,0.0,4.9e-07,0.0,0.73385052,1.3066
1e-08,0.0001,0.0,5.1e-07,0.0,0.73388084,1.3066
1e-08,0.0001,0.0,6.8e-07,0.0,0.73390837,1.3066
0.0,0.0001,0.0,5.2e-07,0.0,0.73394339,1.3066
0.0,0.0001,0.0,5.3e-07,0.0,0.73397503,1.3066
1e-08,0.0001,1e-08,5e-07,0.0,0.73400449,1.3066
1e-08,0.0001,1e-08,5.1e-07,0.0,0.73401097,1.3066
1e-08,0.0001,0.0,5.5e-07,0.0,0.7340147,1.3066
1e-08,0.0001,0.0,4.3e-07,0.0,0.73401668,1.3066
1e-08,0.0001,0.0,5.7e-07,0.0,0.73401866,1.3066
1e-08,0.0001,0.0,4.9e-07,0.0,0.73402723,1.3066
