t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0,[0. 0.],2,10,,,1.0000000000000147,1.4142133524138973e-07,1.0,0.0,1e-06,,,-1.0,-1.0,0.0,,2.5000000000000004,1.5,1.4999996000000901,1.4999998000000305
0.1,[-0.09999999 -0.09999998],2,10,,,1.0144088476780313,1.393768627833823e-07,0.99995047,0.15051697,0.0070379,,,-1.0,-1.00478468,-0.00478468,,2.4999006647296635,1.4903084055134908,1.4708749659639946,1.4708751602230934
0.2,[-0.19900331 -0.19810326],2,10,,,1.0505381078695395,1.3416005384149553e-07,0.99925051,0.30377175,0.02737939,,,-1.0,-1.01633864,-0.01633864,,2.498485369061471,1.4655411301068648,1.3948546929969585,1.3948548729861585
0,[0. 0.],2,10,,,1.000000000000013,1.4142133528064206e-07,1.0,0.0,1e-06,,,-1.0,-1.0,0.0,,2.499999999999999,1.5000000000000009,1.4999996000000926,1.4999998000000327
0.1,[-0.09999999 -0.09999998],2,10,,,1.0144088476780304,1.3937686309883143e-07,0.99995047,0.15051697,0.0070379,,,-1.0,-1.00478468,-0.00478468,,2.4999006647296627,1.4903084055134908,1.4708749659639953,1.4708751602230943
0.2,[-0.19900331 -0.19810326],2,10,,,1.0505381078695386,1.3416005384149553e-07,0.99925051,0.30377175,0.02737939,,,-1.0,-1.01633864,-0.01633864,,2.49848536906147,1.4655411301068657,1.3948546929969594,1.3948548729861594
0,[0. 0.],2,10,,,1.0000000000000129,1.4142133524138973e-07,1.0,0.0,1e-06,,,-1.0,-1.0,0.0,,2.499999999999999,1.5000000000000009,1.4999996000000924,1.4999998000000327
0.1,[-0.09999999 -0.09999998],2,10,,,1.0144088476780304,1.393768628622446e-07,0.99995047,0.15051697,0.0070379,,,-1.0,-1.00478468,-0.00478468,,2.4999006647296627,1.4903084055134908,1.4708749659639955,1.4708751602230943
0.2,[-0.19900331 -0.19810326],2,10,,,1.0505381078695388,1.3416005368450036e-07,0.99925051,0.30377175,0.02737939,,,-1.0,-1.01633864,-0.01633864,,2.49848536906147,1.4655411301068657,1.3948546929969596,1.3948548729861594
0,[0. 0.],2,10,,,1.0000000000000135,1.4142133528064206e-07,1.0,0.0,1e-06,,,-1.0,-1.0,0.0,,2.499999999999999,1.5,1.4999996000000917,1.4999998000000319
0.1,[-0.09999999 -0.09999998],2,10,,,1.0144088476780304,1.3937686309883143e-07,0.99995047,0.15051697,0.0070379,,,-1.0,-1.00478468,-0.00478468,,2.4999006647296627,1.4903084055134908,1.470874965963995,1.4708751602230943
0.2,[-0.19900331 -0.19810326],2,10,,,1.0505381078695377,1.341600537619473e-07,0.99925051,0.30377175,0.02737939,,,-1.0,-1.01633864,-0.01633864,,2.498485369061469,1.4655411301068657,1.394854692996961,1.3948548729861607
0,[0. 0.],2,10,,,1.000000000000013,1.4142133528064206e-07,1.0,0.0,1e-06,,,-1.0,-1.0,0.0,,2.499999999999999,1.5,1.4999996000000917,1.4999998000000323
0.1,[-0.09999999 -0.09999998],2,10,,,1.0144088476780306,1.3937686309883143e-07,0.99995047,0.15051697,0.0070379,,,-1.0,-1.00478468,-0.00478468,,2.4999006647296627,1.4903084055134908,1.4708749659639948,1.4708751602230938
0.2,[-0.19900331 -0.19810326],2,10,,,1.0505381078695377,1.3416005384149553e-07,0.99925051,0.30377175,0.02737939,,,-1.0,-1.01633864,-0.01633864,,2.4984853690614686,1.4655411301068653,1.394854692996961,1.3948548729861607
