t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.69551298 0.59433922 1.16511845]",12,100,,,0.31309072948610334,2.7136744690647065e-07,1.0,0.0,1e-06,,,1.0,1.0,0.0,,1.1874999999999998,1.3125,0.18749999999999978,0.08947398755630026,-0.08947409133307996
0.01,"[ 0.00000000e+00  0.00000000e+00  9.86600000e-04 -0.00000000e+00
  0.00000000e+00  2.44000000e-06  3.83862000e-03  4.14259000e-03
  9.86610000e-04  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,100,,,0.3121055966384096,0.000603565393877788,0.99999008,0.00314986,0.00314985,,,0.99619953,0.99819729,0.00199776,,1.1865658123899352,1.3099096364499572,0.190167991574127,0.09204634546127363,-0.09240221679119151
0.02,"[-2.42000000e-06  2.99000000e-06  1.97244000e-03  2.46150000e-04
  6.57420000e-04 -2.83012000e-03  7.70771000e-03  8.36698000e-03
  2.00143000e-03  6.91975480e-01  5.90973110e-01  1.16201843e+00]",12,100,,,0.3093370696473362,0.0012462197397694016,0.99996009,0.00871192,0.00631784,,,0.9922962,0.99632937,0.00403316,,1.1856089740167484,1.3072276459768981,0.19293676514795632,0.09536681173643619,-0.09630707711319579
0.03,"[-5.00000000e-08  1.23100000e-05  3.90247000e-03  1.72630000e-04
 -1.22584000e-03 -5.68385000e-03  1.16120000e-02  1.26939400e-02
  2.11510000e-03  6.86835740e-01  5.86167360e-01  1.15817972e+00]",12,100,,,0.30432320184583056,0.0022090799417867693,0.99990992,0.01803728,0.00949141,,,0.98828711,0.99437996,0.00609285,,1.184622060536531,1.3044309223837822,0.19583056560815248,0.09888022999286854,-0.10104909220966157
0.04,"[-5.18200000e-05  3.95200000e-05  6.92835000e-03  4.88200000e-05
 -3.34918000e-03 -1.01316300e-02  1.55859600e-02  1.70946400e-02
  1.17979000e-03  6.79452670e-01  5.79335350e-01  1.15232953e+00]",12,100,,,0.2971244626959833,0.002186372667587563,0.99984015,0.03143185,0.01264359,,,0.98416925,0.99232981,0.00816056,,1.1835827959330192,1.3014907713872135,0.1988643382578621,0.1037790013999223,-0.10718019666270404
0.05,"[-5.77500000e-05  5.07400000e-05  1.13393000e-02  1.12455000e-03
 -5.65889000e-03 -1.69002200e-02  1.96275800e-02  2.16289600e-02
 -1.09622000e-03  6.70830920e-01  5.71088940e-01  1.14507778e+00]",12,100,,,0.28381580489095626,0.004414256587482906,0.99975193,0.04759334,0.01575077,,,0.97993957,0.9901503,0.01021073,,1.182484816490678,1.2983687249897513,0.2020872051636169,0.10866402887174038,-0.11509991146472806
0.060000000000000005,"[-3.38500000e-05  2.72000000e-05  1.84865500e-02  1.95043000e-03
 -7.36332000e-03 -2.78310700e-02  2.37536400e-02  2.62932300e-02
 -6.12563000e-03  6.59797790e-01  5.60307580e-01  1.13558527e+00]",12,100,,,0.26401407289835266,0.004695680581170126,0.99964898,0.06913895,0.01873636,,,0.97559494,0.9877972,0.01220226,,1.1812927529689163,1.2950015921289257,0.20554944594278823,0.11342531828479042,-0.12463566676960099
0.07,"[ 3.95500000e-05 -1.65600000e-05  2.89794700e-02  3.21348000e-03
 -9.42692000e-03 -4.26684000e-02  2.78700400e-02  3.10307300e-02
 -1.42992500e-02  6.47052180e-01  5.48228970e-01  1.12497559e+00]",12,100,,,0.2318925512453567,0.005805620057649972,0.99953671,0.09464938,0.02152552,,,0.97113215,0.98523406,0.0141019,,1.179960885184944,1.2913376538687147,0.20927473711065125,0.12677967033914375,-0.14114012606335719
0.08,"[ 1.5410000e-05 -3.7440000e-05  4.2942730e-02  4.1236400e-03
  2.7588500e-03 -6.4554160e-02  3.2100420e-02  3.5980570e-02
 -2.5744090e-02  6.3289240e-01  5.3423185e-01  1.1148476e+00]",12,100,,,0.18294475538446164,0.005365635028499552,0.99942604,0.11823244,0.02395926,,,0.96654794,0.98230604,0.0157581,,1.1783732762310615,1.2871518307738856,0.2134481225005198,0.14112705825370309,-0.1605531986157713
0.09,"[-2.50200000e-05 -1.33180000e-04  6.27668200e-02  3.03467000e-03
  1.40727800e-02 -8.97161200e-02  3.64527100e-02  4.09133100e-02
 -4.29682100e-02  6.14928080e-01  5.17740160e-01  1.10367817e+00]",12,100,,,0.15159824099405217,0.004309462191748603,0.99933345,0.14833828,0.02581976,,,0.96183895,0.9789477,0.01710876,,1.1764244509799593,1.2823528618579842,0.21808584235371498,0.16284099477019168,-0.17897240522570818
0.09999999999999999,"[-4.04100000e-05 -1.82280000e-04  8.20483600e-02  1.84212000e-03
  2.56570700e-02 -1.17233750e-01  4.08404800e-02  4.60178300e-02
 -5.95160500e-02  5.96976470e-01  5.02157850e-01  1.09525824e+00]",12,100,,,0.13443645889865,0.003527163043798053,0.99925592,0.17766827,0.02728042,,,0.95700176,0.97521764,0.01821587,,1.1742126441634686,1.2770271401514857,0.2231632048563802,0.1830327696433271,-0.19406140650924966
0.10999999999999999,"[-4.79300000e-05 -1.41930000e-04  1.00042110e-01 -1.66832000e-03
  3.63507500e-02 -1.40034910e-01  4.53683700e-02  5.13338900e-02
 -7.45581500e-02  5.79598900e-01  4.84987070e-01  1.08849094e+00]",12,100,,,0.12203589718201378,0.0032477581660411954,0.99918363,0.20590858,0.02857502,,,0.95203291,0.97120981,0.0191769,,1.1718602732945207,1.2713105128013624,0.22861177416337852,0.2012179560995109,-0.2074684850309353
0.11999999999999998,"[-9.52900000e-05 -1.92970000e-04  1.16840760e-01  1.74600000e-05
  4.73033300e-02 -1.61467010e-01  5.00307100e-02  5.68027300e-02
 -8.82758300e-02  5.61813560e-01  4.68590220e-01  1.08282389e+00]",12,100,,,0.10566592731619773,0.003035186146200768,0.99911802,0.23000749,0.02970143,,,0.94692883,0.96694505,0.02001622,,1.169357704249459,1.265231980886816,0.23437498105245635,0.2084721788009423,-0.21584093582890332
0.12999999999999998,"[-1.36680000e-04 -1.72100000e-04  1.31548000e-01  8.28460000e-04
  6.05090600e-02 -1.80187000e-01  5.47567800e-02  6.23759100e-02
 -9.97564300e-02  5.42792100e-01  4.50591860e-01  1.07930062e+00]",12,100,,,0.09386944154000024,0.003026437653135267,0.99905327,0.25239865,0.03077262,,,0.9416859,0.96252903,0.02084313,,1.1668196269169224,1.2589447646692675,0.24035750112711451,0.2171280918455215,-0.22433706045880247
0.13999999999999999,"[-1.67640000e-04 -1.80820000e-04  1.44382050e-01  1.29625000e-03
  7.13547000e-02 -1.97935110e-01  5.95886900e-02  6.80640400e-02
 -1.09239640e-01  5.23962880e-01  4.32552660e-01  1.07614757e+00]",12,100,,,0.07972231199836723,0.002726228552990591,0.99898996,0.27534913,0.03178521,,,0.93630043,0.95795329,0.02165285,,1.1642319306073818,1.2524373483981825,0.24655743001693553,0.22680684013404925,-0.23350431156031
0.15,"[-2.28880000e-04 -1.87220000e-04  1.56568490e-01  2.61694000e-03
  8.28502200e-02 -2.13884090e-01  6.44912600e-02  7.39393800e-02
 -1.17978630e-01  5.03904090e-01  4.15125900e-01  1.07408512e+00]",12,100,,,0.07190130393441715,0.0026503040577874823,0.99892947,0.2963974,0.03272339,,,0.93076869,0.95320021,0.02243152,,1.1615956191030439,1.2456837406522336,0.2530049755493109,0.23487771339147315,-0.24135644571665751
0.16,"[-2.64050000e-04 -2.24160000e-04  1.67920730e-01  3.48761000e-03
  9.42824600e-02 -2.28347810e-01  6.95145100e-02  7.99607900e-02
 -1.25779870e-01  4.84888760e-01  3.98745330e-01  1.07042982e+00]",12,100,,,0.05544505522425939,0.0031588804742409206,0.99886922,0.31669068,0.03363176,,,0.92508685,0.94829657,0.02320972,,1.1589273395115227,1.2387247097290217,0.25966094814479135,0.24840899482120787,-0.252497894408589
0.17,"[-2.82390000e-04 -2.29370000e-04  1.79400020e-01  3.83431000e-03
  1.05366000e-01 -2.40957980e-01  7.46545600e-02  8.61755200e-02
 -1.33546090e-01  4.64728020e-01  3.81891780e-01  1.06682916e+00]",12,100,,,0.04005027627231315,0.001991394869377361,0.99881586,0.33721291,0.03441636,,,0.91925105,0.94317223,0.02392118,,1.1561941801348392,1.2314610329132096,0.2666203287476048,0.25708965084959406,-0.26105297748385514
0.18000000000000002,"[-3.48040000e-04 -2.82370000e-04  1.89704740e-01  4.56259000e-03
  1.16389100e-01 -2.53785340e-01  7.98507200e-02  9.25295800e-02
 -1.40034330e-01  4.44014320e-01  3.64780670e-01  1.06348585e+00]",12,100,,,0.03904882806150195,0.0023887521649363134,0.99876885,0.35790806,0.03509315,,,0.91325735,0.93787979,0.02462243,,1.1534212749546728,1.2239648425979959,0.2738027813472875,0.2648979822427804,-0.2685879763085457
0.19000000000000003,"[-4.24550000e-04 -3.52830000e-04  1.99637970e-01  2.18817000e-03
  1.28498680e-01 -2.66078080e-01  8.51482800e-02  9.90587200e-02
 -1.46133290e-01  4.25568800e-01  3.49599110e-01  1.06037838e+00]",12,100,,,0.029294324818403737,0.0016150735019441996,0.99872051,0.37712102,0.0357757,,,0.90710179,0.93243944,0.02533766,,1.1506291943135827,1.216267050201348,0.2811858770554878,0.2742622894221487,-0.2772950045055355
0.20000000000000004,"[-5.44510000e-04 -4.17540000e-04  2.09370680e-01  3.34012000e-03
  1.39661250e-01 -2.77656370e-01  9.05206000e-02  1.05720830e-01
 -1.51897240e-01  4.07257640e-01  3.35144720e-01  1.05723871e+00]",12,100,,,0.02442787660561304,0.002323437675198795,0.99867608,0.39427473,0.03639173,,,0.90078032,0.92682672,0.0260464,,1.147792982654625,1.208331525800095,0.2887852156570637,0.2828311386115687,-0.285509816556587
0.21000000000000005,"[-6.39440000e-04 -4.78750000e-04  2.18976990e-01  3.88167000e-03
  1.51497640e-01 -2.88658480e-01  9.59914000e-02  1.12538700e-01
 -1.57521870e-01  3.90262880e-01  3.21256500e-01  1.05484512e+00]",12,100,,,0.022111659125380777,0.0017123623676737001,0.99863325,0.4097944,0.03697596,,,0.89428888,0.9210511,0.02676222,,1.1449410895231038,1.2001759453821834,0.2966059572089238,0.2925645751135099,-0.2943408034265782
0.22000000000000006,"[-7.83650000e-04 -5.13590000e-04  2.28367080e-01  3.21935000e-03
  1.63017660e-01 -2.99184370e-01  1.01534870e-01  1.19524760e-01
 -1.62779720e-01  3.74530510e-01  3.08742880e-01  1.05226748e+00]",12,100,,,0.014570862256912323,0.0009024988366190553,0.99859037,0.42460248,0.03755168,,,0.88762335,0.91509989,0.02747654,,1.1420567238908212,1.1917788623697856,0.30464891290851925,0.30154538092294736,-0.30299099190227835
0.23000000000000007,"[-9.19100000e-04 -5.80970000e-04  2.37207860e-01  5.07192000e-03
  1.73595760e-01 -3.09823010e-01  1.07156660e-01  1.26634260e-01
 -1.67357220e-01  3.58979090e-01  2.96899040e-01  1.04969305e+00]",12,100,,,0.013330662675523533,0.0007143006203616311,0.99855083,0.43825767,0.03807489,,,0.88077958,0.90897677,0.0281972,,1.1391399897889982,1.1831486059165142,0.312901218214129,0.31065336747574285,-0.31168843956125175
0.24000000000000007,"[-1.05777000e-03 -6.47420000e-04  2.46299280e-01  4.99537000e-03
  1.84752890e-01 -3.19514240e-01  1.12874810e-01  1.33898210e-01
 -1.72119600e-01  3.44724400e-01  2.85896810e-01  1.04707092e+00]",12,100,,,0.010995763342887733,0.0006564232198198119,0.99851124,0.45106268,0.03859157,,,0.87375337,0.90268029,0.02892692,,1.1362036910390505,1.1742833496793712,0.32137197930705996,0.3190316348127032,-0.3201413536541354
0.25000000000000006,"[-1.20631000e-03 -7.13110000e-04  2.54356970e-01  6.10244000e-03
  1.96250300e-01 -3.29901730e-01  1.18655510e-01  1.41307870e-01
 -1.75687910e-01  3.31298840e-01  2.75657510e-01  1.04403176e+00]",12,100,,,0.008936079072137386,0.0005194904622881308,0.99847211,0.46289403,0.03909568,,,0.86654053,0.89621574,0.02967521,,1.1332539608836731,1.1651907023802186,0.3300513008109732,0.3286614552011192,-0.3293164512514547
0.26000000000000006,"[-1.38293000e-03 -7.86540000e-04  2.62601140e-01  1.58657900e-02
  1.94698820e-01 -3.39659640e-01  1.24514900e-01  1.48877140e-01
 -1.79388650e-01  3.18630320e-01  2.65988060e-01  1.04130005e+00]",12,100,,,0.008753148097191826,0.0005543362031813376,0.9984341,0.47572688,0.0395792,,,0.85913683,0.88956769,0.03043086,,1.1302840199582393,1.155848109575994,0.33895334550792067,0.3375656173126871,-0.3382211726094982
0.2700000000000001,"[-1.57634000e-03 -8.74910000e-04  2.70780390e-01  2.51958900e-02
  1.93369150e-01 -3.48975520e-01  1.30445000e-01  1.56604410e-01
 -1.82921570e-01  3.06856150e-01  2.57102390e-01  1.03834172e+00]",12,100,,,0.008524804151994088,0.00038101793493394134,0.99839545,0.48772759,0.04006493,,,0.85153801,0.88274179,0.03120377,,1.1273019808990385,1.1462647379556894,0.3480689217088019,0.34751046558819376,-0.347753357505583
0.2800000000000001,"[-1.79180000e-03 -9.63960000e-04  2.78801330e-01  2.54145500e-02
  1.92349030e-01 -3.58131010e-01  1.36442810e-01  1.64488880e-01
 -1.86175280e-01  2.95748680e-01  2.48936110e-01  1.03537022e+00]",12,100,,,0.009021441001304847,0.0002253731074370559,0.99835685,0.50321785,0.04054408,,,0.84373985,0.87572514,0.03198528,,1.124301088605913,1.13642214896524,0.3574065723245269,0.35710331023204844,-0.35721424807941793
0.2900000000000001,"[-0.00202682 -0.00106268  0.28677791  0.02554228  0.19066653 -0.36721142
  0.14251234  0.17253872 -0.18936454  0.28537818  0.24138991  1.03328726]",12,100,,,0.009473860298060946,8.530034851964518e-06,0.99831762,0.51791865,0.04102548,,,0.8357381,0.86851896,0.03278086,,1.1212914695321334,1.126323164657306,0.3669662803676266,0.36687491674523814,-0.36687572154195897
