eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0.0,0.31309073,0.0,0.4330127,1.75
0.00031309,0.0001,0.00045392,0.31309073,0.00027141,0.43331854,1.75
0.00203473,0.0001,0.00220093,0.31309073,0.00176772,0.43362514,1.75
0.00401161,0.0001,0.00418111,0.31309073,0.0034936,0.43393251,1.75
0.00602326,0.0001,0.00619418,0.31309073,0.0052583,0.43424064,1.75
0.00805078,0.0001,0.00822256,0.31309073,0.00704554,0.43454953,1.75
0.01008867,0.0001,0.01026139,0.31309073,0.00885064,0.4348592,1.75
0.01213785,0.0001,0.01231082,0.31309073,0.01067453,0.43516963,1.75
0.0141914,0.0001,0.01436482,0.31309073,0.01251119,0.43548083,1.75
0.01625117,0.0001,0.01642514,0.31309073,0.01436233,0.4357928,1.75
