eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0.0,0.31309073,0.0,0.4330127,1.75
9e-08,0.0001,3.91e-06,0.31309073,8e-08,0.43301278,1.75
3.5e-07,0.0001,7.74e-06,0.31309073,3e-07,0.43301299,1.75
1.91e-06,0.0001,2.36e-05,0.31309073,1.65e-06,0.433014,1.75
5.19e-06,0.0001,4.179e-05,0.31309073,4.49e-06,0.43301565,1.75
1.097e-05,0.0001,6.239e-05,0.31309073,9.5e-06,0.43301799,1.75
2.376e-05,0.0001,9.283e-05,0.31309073,2.058e-05,0.43302222,1.75
4.846e-05,0.0001,0.00013795,0.31309073,4.197e-05,0.433029,1.75
0.00010697,0.0001,0.00022022,0.31309073,9.265e-05,0.43304236,1.75
0.00030756,0.0001,0.00044807,0.31309073,0.00026647,0.43308052,1.75
0.00076566,0.0001,0.0009226,0.31309073,0.00066375,0.43315765,1.75
0.0016237,0.0001,0.00178861,0.31309073,0.00140905,0.43329381,1.75
0.00444182,0.0001,0.00461233,0.31309073,0.00386786,0.43372633,1.75
0.00980828,0.0001,0.00998088,0.31309073,0.00859632,0.43453993,1.75
0.02019503,0.0001,0.02036956,0.31309074,0.01792016,0.43610814,1.75
