t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.69551298 0.59433922 1.16511845]",12,100,,,0.31309072948607736,2.8322758482538654e-07,1.0,0.0,1e-06,,,1.0,1.0,0.0,,1.1875,1.3125,0.1875,0.08947417812844545,-0.08947418661916079
0.01,"[-0.00000000e+00 -1.00000000e-08  9.80710000e-04  2.55000000e-06
 -4.73000000e-06 -2.66000000e-06  3.83862000e-03  4.14259000e-03
  9.92510000e-04  6.95511760e-01  5.94338520e-01  1.16512053e+00]",12,100,,,0.31133109193697983,0.000633346433381965,0.99999008,0.00314986,0.00314985,,,0.99619953,0.99819728,0.00199775,,1.1865658103562489,1.30990963167542,0.19016799613398083,0.09211432841798498,-0.09267763787264702
0.02,"[-6.4100000e-06  5.0100000e-06  1.9327000e-03  4.3338000e-04
  2.1899000e-04 -4.0624600e-03  7.7162200e-03  8.3704800e-03
  2.0237600e-03  6.8884438e-01  5.8790150e-01  1.1600850e+00]",12,100,,,0.30487884807843496,0.0013805306470619874,0.99996028,0.01251138,0.00630227,,,0.9922962,0.99631901,0.00402281,,1.1856027995280485,1.30721268941771,0.19295122239504325,0.09548750192744165,-0.09774380615842597
0.03,"[-3.37000000e-06  7.27000000e-06  6.53048000e-03  8.77600000e-04
 -1.82062000e-03 -9.77842000e-03  1.16474600e-02  1.26877900e-02
 -5.53820000e-04  6.77471680e-01  5.76914820e-01  1.15164123e+00]",12,100,,,0.2900258612765178,0.00221131498280295,0.9999115,0.03135044,0.00940768,,,0.98828711,0.99432675,0.00603964,,1.18458398484083,1.304354568346458,0.1958983002879966,0.10200928053839084,-0.10689629030860098
0.04,"[ 6.97000000e-06  9.63000000e-06  1.66117400e-02  1.53026000e-03
 -4.00238000e-03 -2.36121400e-02  1.56845600e-02  1.71304000e-02
 -8.48187000e-03  6.61515390e-01  5.61888750e-01  1.13893988e+00]",12,100,,,0.2498201254826274,0.0031464308956532213,0.99984758,0.0607449,0.01234604,,,0.98416925,0.99211809,0.00794884,,1.1834248460438246,1.3011885434486372,0.19912654991425605,0.10804436251885313,-0.12238040866847719
0.05,"[ 1.15900000e-05  1.18200000e-05  3.68938000e-02  2.04271000e-03
 -5.64666000e-03 -5.25755000e-02  1.97439000e-02  2.16659000e-02
 -2.65552300e-02  6.40888880e-01  5.42331930e-01  1.12378611e+00]",12,100,,,0.18259030936816797,0.0041210972629032025,0.99978269,0.10326948,0.01474193,,,0.97993957,0.98949653,0.00955696,,1.1819358174613979,1.297432703663039,0.20283243674946005,0.13513238816755713,-0.15231280192092694
0.060000000000000005,"[-7.09400000e-05  1.31200000e-05  6.38541900e-02  1.23261400e-02
 -6.97180000e-03 -9.06630700e-02  2.39385200e-02  2.63324000e-02
 -5.10175500e-02  6.17005130e-01  5.20605310e-01  1.11210152e+00]",12,100,,,0.14783116271463173,0.003175333233632387,0.99973579,0.14625699,0.0162552,,,0.97559494,0.98618407,0.01058913,,1.1798536879347254,1.2926869964437069,0.2072946707946487,0.16409894795841953,-0.17476978304175447
0.07,"[-6.67600000e-05 -4.39100000e-05  8.68622500e-02  2.41671500e-02
 -8.94100000e-03 -1.23094470e-01  2.81774100e-02  3.11866700e-02
 -7.13686500e-02  5.91522590e-01  4.96428730e-01  1.10478247e+00]",12,100,,,0.12848804872891043,0.0022027215775674877,0.99969767,0.18575795,0.01738824,,,0.97113215,0.98248597,0.01135381,,1.1775117801869415,1.2873960945661207,0.21223310464790746,0.18073936238586266,-0.18823164418380395
0.08,"[-9.47000000e-05 -3.90400000e-05  1.05120390e-01  3.78547400e-02
  3.13262000e-03 -1.48425590e-01  3.26068300e-02  3.62209700e-02
 -8.67371400e-02  5.63713120e-01  4.71531580e-01  1.09911385e+00]",12,100,,,0.11116649445795805,0.0021555060316173417,0.99965935,0.21450286,0.01845744,,,0.96654794,0.97857737,0.01202944,,1.1750767437776024,1.2818088270820118,0.2174630702541791,0.19144508482114764,-0.1982750827926281
0.09,"[-1.45500000e-04 -5.31400000e-05  1.20670710e-01  5.13622100e-02
  1.50109400e-02 -1.70057140e-01  3.71579000e-02  4.14034400e-02
 -9.92546500e-02  5.35664770e-01  4.46390450e-01  1.09404609e+00]",12,100,,,0.09396012910661838,0.0021177567641468167,0.99962182,0.24148609,0.01944783,,,0.96183895,0.97449506,0.01265611,,1.1725778302008403,1.2759785608262035,0.2229372082723915,0.20078937473778402,-0.20744903857422145
0.09999999999999999,"[-1.64790000e-04 -5.87700000e-05  1.35262970e-01  6.35159500e-02
  2.46815700e-02 -1.87995100e-01  4.18244400e-02  4.67413300e-02
 -1.10696030e-01  5.07351310e-01  4.21546640e-01  1.09102138e+00]",12,100,,,0.0754455540406174,0.0018969584941390103,0.99958574,0.26731586,0.02035447,,,0.95700176,0.970245,0.01324323,,1.1700283880999145,1.2699162155429753,0.2286530293333483,0.21011806203630007,-0.21653952987257644
0.10999999999999999,"[-2.07960000e-04 -8.99600000e-05  1.47524560e-01  7.68581700e-02
  3.67528800e-02 -2.05455600e-01  4.66153900e-02  5.22319200e-02
 -1.19696470e-01  4.78538250e-01  3.96589060e-01  1.08694102e+00]",12,100,,,0.059000165090288534,0.0021960570697997354,0.99955313,0.29190684,0.0211404,,,0.95203291,0.96582407,0.01379116,,1.1674243424030029,1.2636158890214313,0.23460821482803895,0.22113375334380062,-0.22613047434557934
0.11999999999999998,"[-2.19270000e-04 -1.18600000e-04  1.58884550e-01  9.01328000e-02
  4.86554400e-02 -2.21699140e-01  5.15236900e-02  5.78731900e-02
 -1.27609800e-01  4.49897840e-01  3.72457810e-01  1.08297818e+00]",12,100,,,0.047014044755282765,0.0015470206893788297,0.99952462,0.3154045,0.02180457,,,0.94692883,0.96121836,0.01428953,,1.1647559822581945,1.2570604149430105,0.2408152528243661,0.22955053375791318,-0.23407773308901378
0.12999999999999998,"[-2.57620000e-04 -1.46580000e-04  1.70065180e-01  1.03239990e-01
  6.04589800e-02 -2.36129830e-01  5.65234100e-02  6.36695800e-02
 -1.35262590e-01  4.23073030e-01  3.49688230e-01  1.07918528e+00]",12,100,,,0.03534672992216231,0.001056682427650972,0.99949878,0.33643408,0.0223894,,,0.9416859,0.95645976,0.01477386,,1.162049834213957,1.2502935797977948,0.24723456605138072,0.23885822826682185,-0.24242170150100614
0.13999999999999999,"[-2.9895000e-04 -1.6541000e-04  1.8050302e-01  1.1629335e-01
  7.2152550e-02 -2.4988411e-01  6.1633220e-02  6.9627730e-02
 -1.4207012e-01  3.9735505e-01  3.2859560e-01  1.0751254e+00]",12,100,,,0.028485820979374986,0.0011338651364710241,0.99947603,0.35592662,0.02289197,,,0.93630043,0.95153901,0.01523858,,1.1593024608504465,1.2433037114646526,0.2538759685403801,0.2482938554853753,-0.2506791910144435
0.15,"[-3.61520000e-04 -1.85200000e-04  1.90516590e-01  1.26257840e-01
  8.37995800e-02 -2.62971070e-01  6.68597400e-02  7.57422600e-02
 -1.48336420e-01  3.73959810e-01  3.09409620e-01  1.07142032e+00]",12,100,,,0.021318262732741695,0.0008188998137404784,0.99945503,0.37433734,0.02334625,,,0.93076869,0.94645666,0.01568797,,1.1565117527983633,1.236091114691121,0.26073154439967994,0.2562511118819187,-0.25826409397782824
0.16,"[-4.06320000e-04 -2.21520000e-04  2.00134920e-01  1.36646470e-01
  9.55683200e-02 -2.75708030e-01  7.21714300e-02  8.20035700e-02
 -1.54164650e-01  3.52155780e-01  2.92005170e-01  1.06900235e+00]",12,100,,,0.014780828092593989,0.0008411394802608209,0.99943577,0.38998437,0.02375516,,,0.92508685,0.94122539,0.01613854,,1.1536928228372794,1.2286760326235593,0.2677875889146183,0.2650660890338487,-0.2663176025346823
