eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0.0,0.31309281,0.0,0.4330127,1.75
0.00031309,0.0001,0.00045392,0.31308512,0.00027141,0.43331737,1.75
0.00203469,0.0001,0.00220091,0.31305425,0.00176769,0.4336228,1.75
0.00401172,0.0001,0.00418193,0.31300012,0.00349368,0.43392904,1.75
0.00603033,0.0001,0.00620192,0.31292261,0.00526445,0.43423611,1.75
0.00806449,0.0001,0.00823636,0.31282157,0.00705753,0.43454405,1.75
0.0101031,0.0001,0.01027603,0.31269679,0.00886328,0.43485289,1.75
0.01215395,0.0001,0.01232716,0.31254806,0.01068867,0.43516265,1.75
0.01420933,0.0001,0.01438286,0.31237511,0.01252697,0.43547338,1.75
0.01626954,0.0001,0.01644402,0.3121776,0.01437854,0.43578509,1.75
