t,params,num_params,num_time_steps,error_bound,error_bound_grad,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.69551298 0.59433922 1.16511845]",12,10,0.0,0.3130928127078835,0.3130928127078835,0.0005794954024737253,1.0,0.0,1e-06,,,1.0,1.0,0.0,1.75,1.1875,1.3124999999999996,0.1875,0.0888012607876901,-0.08913707570917825
0.001,"[-0.00000000e+00 -0.00000000e+00  9.84600000e-05  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.82330000e-04  4.12610000e-04
  9.84600000e-05  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,10,0.0003130928127078835,1.7216014008381761,0.3130851175075253,0.0005824389235510181,0.9999999,0.00031328,0.00031328,,,0.9996245,0.99982159,0.00019709,1.75,1.1874071618852755,1.3122435523525087,0.18776394107647632,0.08906318007244111,-0.08940241517210835
0.002,"[-0.00000000e+00  0.00000000e+00  1.97030000e-04  0.00000000e+00
  0.00000000e+00 -1.13100000e-05  7.65050000e-04  8.26040000e-04
  1.97030000e-04  6.95482360e-01  5.94310340e-01  1.16509583e+00]",12,10,0.00203469421354606,1.9770289371159746,0.3130542515554047,0.000589498934628719,0.99999961,0.00062869,0.00062693,,,0.999248,0.99964265,0.00039466,1.75,1.1873141699310505,1.311986354938791,0.18802873612637205,0.08933075372160112,-0.08967826271552953
0.003,"[-0.00000000e+00  0.00000000e+00  2.96340000e-04  0.00000000e+00
 -0.00000000e+00 -3.39400000e-05  1.14815000e-03  1.24030000e-03
  2.95040000e-04  6.95421090e-01  5.94252530e-01  1.16505058e+00]",12,10,0.004011723150662035,2.0186034278112976,0.313000124497135,0.000600548778203035,0.99999911,0.0009514,0.0009409,,,0.99887049,0.99946315,0.00059267,1.75,1.1872210113708708,1.311728377637289,0.18829441387508716,0.0896040182698635,-0.08996467710486468
0.004,"[-0.00000000e+00 -0.00000000e+00  3.97070000e-04  0.00000000e+00
 -0.00000000e+00 -6.79700000e-05  1.53166000e-03  1.65541000e-03
  3.91870000e-04  6.95329170e-01  5.94165760e-01  1.16498266e+00]",12,10,0.0060303265784733325,2.034162570692917,0.3129226146255245,0.0006153973040255174,0.99999842,0.00128645,0.0012552,,,0.99849197,0.99928308,0.00079111,1.75,1.1871276733858478,1.311469590157409,0.1885610032088325,0.08988301278115482,-0.09026172662295663
0.005,"[-0.00000000e+00 -0.00000000e+00  4.99870000e-04  0.00000000e+00
  0.00000000e+00 -1.13560000e-04  1.91557000e-03  2.07136000e-03
  4.86870000e-04  6.95206580e-01  5.94050000e-01  1.16489207e+00]",12,10,0.00806448914916625,2.038611266070439,0.3128215674968486,0.0006338064483970012,0.99999754,0.00163859,0.00156979,,,0.99811244,0.9991024,0.00098996,1.75,1.1870341430812674,1.3112099620119544,0.18882853318916604,0.09016777886992111,-0.09056948948395077
0.006,"[-1.00000000e-08 -0.00000000e+00  6.05410000e-04  0.00000000e+00
  0.00000000e+00 -1.70950000e-04  2.29991000e-03  2.48817000e-03
  5.79370000e-04  6.95053350e-01  5.93905230e-01  1.16477879e+00]",12,10,0.010103100415236689,2.0508468969711657,0.31269679340846945,0.0006555103821651329,0.99999645,0.00201222,0.00188464,,,0.9977319,0.99892111,0.00118921,1.75,1.1869404074621763,1.3109494624881373,0.1890970330684406,0.09045836073824892,-0.09088805459937536
0.007,"[-1.0000000e-08 -0.0000000e+00  7.1437000e-04  0.0000000e+00
  0.0000000e+00 -2.4044000e-04  2.6846800e-03  2.9058600e-03
  6.6871000e-04  6.9486948e-01  5.9373146e-01  1.1646428e+00]",12,10,0.012153947312207855,2.0553784536046433,0.3125480636916489,0.0006802334007176446,0.99999516,0.00241132,0.00219974,,,0.99735034,0.99873917,0.00138883,1.75,1.1868464534072438,1.3106880606161089,0.18936653230691136,0.09075480523060903,-0.09121752271006091
0.008,"[-2.00000000e-08 -1.00000000e-08  8.27450000e-04  0.00000000e+00
  0.00000000e+00 -3.22410000e-04  3.06989000e-03  3.32442000e-03
  7.54200000e-04  6.94654990e-01  5.93528670e-01  1.16448409e+00]",12,10,0.014209325765812499,2.060219202552841,0.3123751057470483,0.0007077047381666644,0.99999367,0.00283946,0.00251506,,,0.99696776,0.99855656,0.0015888,1.75,1.1867522676401765,1.3104257251339742,0.18963706059222485,0.09105716190889833,-0.09155800790532191
0.009000000000000001,"[-3.00000000e-08 -1.00000000e-08  9.45380000e-04  0.00000000e+00
  0.00000000e+00 -4.17340000e-04  3.45556000e-03  3.74388000e-03
  8.35140000e-04  6.94409930e-01  5.93296900e-01  1.16430264e+00]",12,10,0.01626954496836534,2.071314272739169,0.31217759672368794,0.0007376695786123089,0.99999199,0.00329978,0.00283058,,,0.99658416,0.99837327,0.00178911,1.75,1.1866578366978964,1.3101624244481276,0.18990864786210027,0.09136548315150309,-0.0919096395587131
