eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0.0,0.31309281,0.0,0.4330127,1.75
9e-08,0.0001,3.94e-06,0.31309281,8e-08,0.43301278,1.75
3.2e-07,0.0001,7.49e-06,0.31309281,2.8e-07,0.43301298,1.75
1.39e-06,0.0001,2.16e-05,0.31309281,1.2e-06,0.4330137,1.75
2.76e-06,0.0001,2.928e-05,0.31309281,2.39e-06,0.43301446,1.75
5.82e-06,0.0001,4.489e-05,0.31309281,5.04e-06,0.43301591,1.75
1.136e-05,0.0001,6.293e-05,0.31309281,9.84e-06,0.4330181,1.75
2.334e-05,0.0001,9.244e-05,0.3130928,2.022e-05,0.43302204,1.75
4.765e-05,0.0001,0.00013659,0.31309278,4.127e-05,0.43302871,1.75
0.00010263,0.0001,0.00021392,0.31309271,8.889e-05,0.43304131,1.75
0.00031735,0.0001,0.00045832,0.31309221,0.00027495,0.43308204,1.75
0.00085709,0.0001,0.00101508,0.31308965,0.00074308,0.43317204,1.75
0.00191766,0.0001,0.0020838,0.31307957,0.00166476,0.43333883,1.75
0.00414172,0.0001,0.00431148,0.31303763,0.00360522,0.43367892,1.75
0.00934789,0.0001,0.00952026,0.31283138,0.00818817,0.43446427,1.75
0.0201736,0.0001,0.0203483,0.31190969,0.01790053,0.43610115,1.75
