eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0.0,0.31315757,0.0,0.4330127,1.75
0.00031316,0.0001,0.00045392,0.31315697,0.00027146,0.43331209,1.75
0.00203426,0.0001,0.00220085,0.31315639,0.00176726,0.43361225,1.75
0.00401505,0.0001,0.00418526,0.3131558,0.00349646,0.43391319,1.75
0.00603373,0.0001,0.0062051,0.31315521,0.00526718,0.43421492,1.75
0.00806582,0.0001,0.00823759,0.31315463,0.00705828,0.43451743,1.75
0.01010374,0.0001,0.01027614,0.31315404,0.00886319,0.43482072,1.75
0.01214975,0.0001,0.01232347,0.31315345,0.01068402,0.4351248,1.75
0.01421074,0.0001,0.01438488,0.31315287,0.01252699,0.43542966,1.75
0.01627779,0.0001,0.01645171,0.31315228,0.0143843,0.43573532,1.75
