t,params,num_params,num_time_steps,error_bound,error_bound_grad,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.69551298 0.59433922 1.16511845]",12,10,0.0,0.3131575661733805,0.3131575661733805,0.003326736338356504,1.0,0.0,1e-06,,,1.0,1.0,0.0,1.75,1.1874999999999998,1.3124999999999996,0.18749999999999978,0.08578298286108513,-0.08760766080472497
0.001,"[-2.29000000e-06 -2.29000000e-06  9.71100000e-05 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  3.75520000e-04  4.05440000e-04
  9.71100000e-05  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,10,0.0003131575661733805,1.7211014373892257,0.3131569710475544,0.00330034361609961,0.9999999,0.00031335,0.00031335,,,0.9996245,0.99982466,0.00020016,1.75,1.1874087112696532,1.3122479425764018,0.18775936482563638,0.08606059127468088,-0.08787633379231923
0.002,"[-4.53000000e-06 -4.53000000e-06  1.94340000e-04 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  7.51470000e-04  8.11740000e-04
  1.94340000e-04  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,10,0.0020342590035626064,1.9807940120607994,0.31315638775153104,0.003275034902544858,0.99999961,0.00062707,0.00062708,,,0.999248,0.99964878,0.00040078,1.75,1.1873172630359397,1.31199513201159,0.18801958385240747,0.08633883968635471,-0.08814575017458756
0.003,"[-6.72000000e-06 -6.71000000e-06  2.91700000e-04 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  1.12785000e-03  1.21889000e-03
  2.91700000e-04  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,10,0.004015053015623406,2.0186787650988776,0.3131557979895262,0.003250373156850179,0.99999911,0.00094117,0.00094118,,,0.99887049,0.99947236,0.00060187,1.75,1.1872256552821654,1.3117415663016587,0.18828065947015205,0.08661823751792785,-0.08841617158681148
0.004,"[-8.85000000e-06 -8.84000000e-06  3.89180000e-04 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  1.50465000e-03  1.62690000e-03
  3.89180000e-04  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,10,0.006033731780722284,2.0320929440113646,0.313155212748554,0.0032266597488062165,0.99999842,0.00125565,0.00125565,,,0.99849197,0.9992954,0.00080343,1.75,1.1871338877313984,1.311487242691906,0.188542594851957,0.0868984817938055,-0.08868744468708531
0.005,"[-1.09200000e-05 -1.09100000e-05  4.86780000e-04 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  1.88188000e-03  2.03577000e-03
  4.86790000e-04  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,10,0.008065824724733649,2.037914582111236,0.3131546251653007,0.0032037428933480465,0.99999753,0.0015705,0.0015705,,,0.99811244,0.99911789,0.00100545,1.75,1.1870419602644258,1.3112321588685967,0.1888053927102964,0.08717976938749596,-0.0889596714176864
0.006,"[-1.29500000e-05 -1.29200000e-05  5.84510000e-04 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  2.25953000e-03  2.44550000e-03
  5.84530000e-04  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,10,0.010103739306844885,2.046012140664195,0.3131540354341406,0.003181649863697929,0.99999644,0.00188573,0.00188573,,,0.9977319,0.99893985,0.00120795,1.75,1.1869498726630252,1.3109763122259068,0.1890690560623709,0.08746210017967386,-0.0892328531666789
0.007,"[-1.49200000e-05 -1.48800000e-05  6.82370000e-04 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  2.63762000e-03  2.85609000e-03
  6.82390000e-04  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,10,0.01214975144750908,2.060993377556719,0.31315345288498897,0.0031606464938707716,0.99999515,0.00220134,0.00220134,,,0.99735034,0.99876125,0.00141091,1.75,1.1868576247112301,1.3107197001546955,0.1893335879286855,0.0877452072841645,-0.08950685507952962
0.008,"[-1.68400000e-05 -1.67900000e-05  7.80350000e-04 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  3.01613000e-03  3.26754000e-03
  7.80380000e-04  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,10,0.0142107448250658,2.067048281282728,0.31315286701342654,0.0031404831027894535,0.99999366,0.00251732,0.00251732,,,0.99696776,0.99858211,0.00161435,1.75,1.1867652163313906,1.3104623204335217,0.18959899092409083,0.08802939798597213,-0.08978183539566742
0.009000000000000001,"[-1.87000000e-05 -1.86400000e-05  8.78460000e-04 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  3.39507000e-03  3.67986000e-03
  8.78490000e-04  6.95512980e-01  5.94339210e-01  1.16511845e+00]",12,10,0.016277793106348526,2.0667440779519386,0.3131522844506325,0.0031213565167191,0.99999197,0.00283369,0.00283368,,,0.99658416,0.99840241,0.00181826,1.75,1.1866726472909215,1.3102041703873468,0.18986526813721372,0.08831448115902879,-0.09005769801979623
