eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0.0,0.31309073,0.0,0.4330127,1.75
6e-08,0.0001,3.21e-06,0.31309071,5e-08,0.43301276,1.75
1.2e-07,0.0001,4.53e-06,0.31309069,1e-07,0.43301281,1.75
1.9e-07,0.0001,5.69e-06,0.31309068,1.6e-07,0.43301287,1.75
2.6e-07,0.0001,6.66e-06,0.31309066,2.2e-07,0.43301292,1.75
3.4e-07,0.0001,7.65e-06,0.31309063,2.9e-07,0.43301299,1.75
4.2e-07,0.0001,8.51e-06,0.31309061,3.6e-07,0.43301305,1.75
5.1e-07,0.0001,1.276e-05,0.3130906,4.4e-07,0.43301311,1.75
5.9e-07,0.0001,1.334e-05,0.31309057,5.1e-07,0.43301317,1.75
6.8e-07,0.0001,1.39e-05,0.31309055,5.9e-07,0.43301323,1.75
7.8e-07,0.0001,1.447e-05,0.31309053,6.7e-07,0.4330133,1.75
8.8e-07,0.0001,1.509e-05,0.31309051,7.6e-07,0.43301337,1.75
1e-06,0.0001,1.574e-05,0.31309047,8.6e-07,0.43301345,1.75
1.13e-06,0.0001,1.648e-05,0.31309044,9.8e-07,0.43301354,1.75
1.27e-06,0.0001,1.72e-05,0.31309042,1.1e-06,0.43301363,1.75
1.44e-06,0.0001,2.181e-05,0.31309038,1.24e-06,0.43301373,1.75
1.62e-06,0.0001,2.251e-05,0.31309035,1.4e-06,0.43301383,1.75
1.78e-06,0.0001,2.315e-05,0.31309033,1.55e-06,0.43301393,1.75
1.95e-06,0.0001,2.375e-05,0.31309028,1.69e-06,0.43301403,1.75
2.11e-06,0.0001,2.435e-05,0.31309024,1.83e-06,0.43301412,1.75
2.35e-06,0.0001,2.803e-05,0.3130902,2.03e-06,0.43301425,1.75
2.6e-06,0.0001,2.88e-05,0.31309021,2.25e-06,0.43301438,1.75
2.89e-06,0.0001,2.966e-05,0.31309011,2.5e-06,0.43301453,1.75
3.19e-06,0.0001,3.297e-05,0.31309005,2.76e-06,0.43301469,1.75
3.54e-06,0.0001,3.386e-05,0.31308999,3.06e-06,0.43301486,1.75
3.83e-06,0.0001,3.459e-05,0.31308995,3.31e-06,0.433015,1.75
4.13e-06,0.0001,3.748e-05,0.31308991,3.57e-06,0.43301515,1.75
4.56e-06,0.0001,3.847e-05,0.31308983,3.95e-06,0.43301535,1.75
5.02e-06,0.0001,4.144e-05,0.31308985,4.35e-06,0.43301556,1.75
5.53e-06,0.0001,4.248e-05,0.31308968,4.79e-06,0.43301579,1.75
6.19e-06,0.0001,4.56e-05,0.31308958,5.36e-06,0.43301608,1.75
6.88e-06,0.0001,4.857e-05,0.31308948,5.96e-06,0.43301637,1.75
7.59e-06,0.0001,5.142e-05,0.31308937,6.57e-06,0.43301667,1.75
8.38e-06,0.0001,5.426e-05,0.31308928,7.26e-06,0.43301699,1.75
9.19e-06,0.0001,5.701e-05,0.31308915,7.96e-06,0.43301731,1.75
9.95e-06,0.0001,5.815e-05,0.31308905,8.62e-06,0.4330176,1.75
1.075e-05,0.0001,6.071e-05,0.31308897,9.31e-06,0.4330179,1.75
1.174e-05,0.0001,6.476e-05,0.31308883,1.016e-05,0.43301827,1.75
1.289e-05,0.0001,6.756e-05,0.31308869,1.116e-05,0.43301868,1.75
1.4e-05,0.0001,7.022e-05,0.31308855,1.213e-05,0.43301908,1.75
