t,params,num_params,num_time_steps,error_bound,error_bound_grad,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.69551298 0.59433922 1.16511845]",12,10,0.0,0.313090729486084,0.313090729486084,2.0197136439292575e-07,1.0,0.0,1e-06,,,1.0,1.0,0.0,1.75,1.1875,1.3124999999999996,0.1875,0.08947441989988916,-0.08947430750488056
1.7780311893111883e-07,"[-0.00000000e+00 -0.00000000e+00  2.00000000e-08  1.00000000e-08
  1.00000000e-08 -3.00000000e-08  7.00000000e-08  7.00000000e-08
  2.00000000e-08  6.95512950e-01  5.94339190e-01  1.16511842e+00]",12,10,5.9253501823798985e-08,0.34462915437134733,0.3130907120041481,2.3360662670245266e-07,1.0,7e-08,1.05e-06,,,0.99999993,0.99999997,3e-08,1.75,1.1874999834388704,1.3124999542621958,0.1875000470740743,0.08947419381747636,-0.08947422347414312
3.4640532115804445e-07,"[-0.0000000e+00 -0.0000000e+00  4.0000000e-08  2.0000000e-08
  1.0000000e-08 -7.0000000e-08  1.3000000e-07  1.4000000e-07
  3.0000000e-08  6.9551292e-01  5.9433916e-01  1.1651184e+00]",12,10,1.1848245372833136e-07,0.35716725349615064,0.31309069496633535,2.079422767158297e-07,1.0,1.5e-07,1.11e-06,,,0.99999987,0.99999994,7e-08,1.75,1.1874999677347429,1.3124999108912074,0.18750009171219129,0.08947421892637125,-0.08947426368202996
5.339538179340397e-07,"[-0.00000000e+00 -0.00000000e+00  5.00000000e-08  4.00000000e-08
  2.00000000e-08 -1.10000000e-07  2.00000000e-07  2.20000000e-07
  5.00000000e-08  6.95512890e-01  5.94339140e-01  1.16511837e+00]",12,10,1.8654238575525756e-07,0.3680932112533785,0.31309067546182917,1.8589314580948504e-07,1.0,2.3e-07,1.16e-06,,,0.9999998,0.9999999,1e-07,1.75,1.1874999502659205,1.312499862646504,0.18750014136643345,0.08947430287715963,-0.08947433659122443
7.21085193917426e-07,"[-0.00000000e+00 -0.00000000e+00  7.00000000e-08  5.00000000e-08
  2.00000000e-08 -1.50000000e-07  2.80000000e-07  3.00000000e-07
  7.00000000e-08  6.95512860e-01  5.94339100e-01  1.16511835e+00]",12,10,2.5629278102774266e-07,0.3771646377629032,0.31309065688870785,2.7611541667717405e-07,1.0,3.1e-07,1.23e-06,,,0.99999973,0.99999987,1.4e-07,1.75,1.1874999328359273,1.3124998145090525,0.18750019091028225,0.08947462445495498,-0.08947452796711754
9.356517689648334e-07,"[-0.00000000e+00 -0.00000000e+00  9.00000000e-08  6.00000000e-08
  2.00000000e-08 -1.90000000e-07  3.60000000e-07  3.90000000e-07
  9.00000000e-08  6.95512820e-01  5.94339070e-01  1.16511832e+00]",12,10,3.382135440822202e-07,0.3862408716339281,0.3130906346562509,2.484406737043513e-07,1.0,4e-07,1.3e-06,,,0.99999965,0.99999983,1.8e-07,1.75,1.1874999128505048,1.3124997593141667,0.1875002477177362,0.08947453504094612,-0.08947451862461434
1.140160313589823e-06,"[-0.00000000e+00 -0.00000000e+00  1.20000000e-07  7.00000000e-08
  3.00000000e-08 -2.30000000e-07  4.40000000e-07  4.70000000e-07
  1.10000000e-07  6.95512790e-01  5.94339040e-01  1.16511829e+00]",12,10,4.1801053996208683e-07,0.3940021102168003,0.31309061258951054,2.3299199526777555e-07,1.0,4.9e-07,1.38e-06,,,0.99999957,0.9999998,2.2e-07,1.75,1.1874998938019246,1.312499706706556,0.18750030186234812,0.08947474842902321,-0.0894746592998484
1.3444114753647786e-06,"[ 0.00000000e+00 -0.00000000e+00  1.30000000e-07  8.00000000e-08
  3.00000000e-08 -2.80000000e-07  5.20000000e-07  5.60000000e-07
  1.30000000e-07  6.95512760e-01  5.94339000e-01  1.16511826e+00]",12,10,5.057755519812785e-07,0.435621856523091,0.31309059720467197,3.5337162743955157e-07,1.0,5.8e-07,1.46e-06,,,0.9999995,0.99999976,2.6e-07,1.75,1.187499874777328,1.3124996541651688,0.18750035593880343,0.08947458940996779,-0.08947461164539675
1.5434978030774003e-06,"[-0.00000000e+00 -0.00000000e+00  1.60000000e-07  1.00000000e-07
  4.00000000e-08 -3.20000000e-07  5.90000000e-07  6.40000000e-07
  1.50000000e-07  6.95512720e-01  5.94338970e-01  1.16511822e+00]",12,10,5.92994426610344e-07,0.4405434334655926,0.31309057343029245,3.0142233851853247e-07,1.0,6.7e-07,1.54e-06,,,0.99999942,0.99999972,3e-07,1.75,1.1874998562337788,1.3124996029523068,0.1875004086479194,0.08947470759818811,-0.08947470453759929
1.743414477406984e-06,"[-0.00000000e+00 -0.00000000e+00  1.80000000e-07  1.10000000e-07
  4.00000000e-08 -3.70000000e-07  6.70000000e-07  7.20000000e-07
  1.70000000e-07  6.95512690e-01  5.94338940e-01  1.16511819e+00]",12,10,6.81542425954648e-07,0.44528526177403366,0.31309055011552955,3.226089616669022e-07,1.0,7.6e-07,1.62e-06,,,0.99999935,0.99999969,3.4e-07,1.75,1.1874998376128971,1.3124995515258084,0.18750046157693878,0.08947480321805237,-0.08947478611167332
1.9530549937060275e-06,"[-0.00000000e+00 -0.00000000e+00  2.00000000e-07  1.30000000e-07
  5.00000000e-08 -4.10000000e-07  7.50000000e-07  8.10000000e-07
  1.90000000e-07  6.95512660e-01  5.94338900e-01  1.16511816e+00]",12,10,7.753982203196932e-07,0.4500773603417591,0.3130905292461547,1.6407386078991986e-07,1.0,8.5e-07,1.7e-06,,,0.99999927,0.99999965,3.8e-07,1.75,1.187499818086264,1.3124994975979205,0.18750051708039916,0.08947480563096133,-0.08947482160386172
