eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0.0,0.31315757,0.0,0.4330127,1.75
9e-08,0.0001,3.96e-06,0.31315757,8e-08,0.43301278,1.75
3.3e-07,0.0001,7.61e-06,0.31315756,2.9e-07,0.43301298,1.75
1.77e-06,0.0001,2.308e-05,0.31315756,1.53e-06,0.43301386,1.75
3.34e-06,0.0001,3.335e-05,0.31315756,2.89e-06,0.43301466,1.75
5.5e-06,0.0001,4.243e-05,0.31315756,4.76e-06,0.43301566,1.75
1.026e-05,0.0001,6.001e-05,0.31315756,8.89e-06,0.43301755,1.75
1.896e-05,0.0001,8.28e-05,0.31315755,1.642e-05,0.43302049,1.75
4.322e-05,0.0001,0.00012942,0.31315754,3.744e-05,0.43302726,1.75
9.743e-05,0.0001,0.00020719,0.31315751,8.439e-05,0.4330397,1.75
0.00024629,0.0001,0.00038145,0.31315746,0.00021337,0.43306823,1.75
0.00078043,0.0001,0.00093758,0.31315728,0.00067656,0.43315685,1.75
0.00210942,0.0001,0.00227608,0.31315688,0.00183163,0.43336187,1.75
0.00472085,0.0001,0.0048913,0.3131561,0.00411208,0.43375364,1.75
0.01186669,0.0001,0.01203973,0.31315402,0.01042514,0.43481204,1.75
0.02020405,0.0001,0.02037876,0.31315164,0.01792571,0.4360445,1.75
