t,params,num_params,num_time_steps,error_bound,error_bound_grad,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.69551298 0.59433922 1.16511845]",12,10,0.0,0.3131575661733805,0.3131575661733805,0.003326736338356504,1.0,0.0,1e-06,,,1.0,1.0,0.0,1.75,1.1874999999999998,1.3124999999999996,0.18749999999999978,0.08578298286108513,-0.08760766080472497
2.665198042634899e-07,"[-0.00000000e+00 -0.00000000e+00  3.00000000e-08 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  1.00000000e-07  1.10000000e-07
  3.00000000e-08  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,10,9.018817526838574e-08,0.35187828315254394,0.3131575653546304,0.003326712801847378,1.0,8e-08,1e-06,,,0.9999999,0.99999995,5e-08,1.75,1.1874999756768938,1.3124999328676514,0.18750006907365369,0.08578307479198936,-0.08760774156340183
9.252806182798787e-07,"[-0.00000000e+00 -0.00000000e+00  9.00000000e-08 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  3.50000000e-07  3.80000000e-07
  9.00000000e-08  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,10,3.3428261412090406e-07,0.3858970926367099,0.31315756309746523,0.0033266488151375614,1.0,2.9e-07,1.04e-06,,,0.99999965,0.99999984,1.8e-07,1.75,1.1874999155570864,1.3124997669354668,0.18750023980421926,0.08578330840195324,-0.08760794444051491
3.873764128674741e-06,"[-1.00000000e-08 -1.00000000e-08  3.80000000e-07 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  1.45000000e-06  1.57000000e-06
  3.80000000e-07  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,10,1.7678094639032357e-06,0.5263227359270833,0.3131575628774226,0.0033266084146652474,1.0,1.21e-06,1.57e-06,,,0.99999855,0.99999932,7.7e-07,1.75,1.18749964647166,1.3124990242512298,0.1875010039656233,0.08578408383121627,-0.08760871430475668
6.554335650331944e-06,"[-2.00000000e-08 -2.00000000e-08  6.40000000e-07 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  2.46000000e-06  2.66000000e-06
  6.40000000e-07  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,10,3.335725173931318e-06,0.6132642810502423,0.31315755683307683,0.003326426214601745,1.0,2.05e-06,2.28e-06,,,0.99999754,0.99999885,1.31e-06,1.75,1.1874994018353668,1.312498349045021,0.18750169869824407,0.08578494858687566,-0.08760949594172912
9.868201846700386e-06,"[-2.00000000e-08 -2.00000000e-08  9.60000000e-07 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  3.71000000e-06  4.00000000e-06
  9.60000000e-07  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,10,5.501104242611136e-06,0.6824780065912373,0.3131575565333,0.003326379516705897,1.0,3.09e-06,3.25e-06,,,0.9999963,0.99999827,1.97e-06,1.75,1.187499099401322,1.3124975143115534,0.18750255757230738,0.08578582156125922,-0.08761036195982992
1.6205145194545804e-05,"[-4.00000000e-08 -4.00000000e-08  1.57000000e-06 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  6.09000000e-06  6.57000000e-06
  1.57000000e-06  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,10,1.0260859997687174e-05,0.8106827732106386,0.3131575564301216,0.0033263019487333885,1.0,5.07e-06,5.17e-06,,,0.99999392,0.99999716,3.24e-06,1.75,1.1874985210665694,1.3124959180684446,0.18750419998139123,0.08578747807795434,-0.08761201145503049
2.6025870659440176e-05,"[-6.00000000e-08 -6.00000000e-08  2.53000000e-06 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  9.77000000e-06  1.05500000e-05
  2.53000000e-06  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,10,1.895882205382955e-05,0.9515771214328157,0.3131575505820727,0.0033260402048242896,1.0,8.15e-06,8.21e-06,,,0.99999024,0.99999544,5.2e-06,1.75,1.1874976247753106,1.312493444219092,0.18750674538481804,0.08579020086800598,-0.08761464738313042
4.863241319782008e-05,"[-1.10000000e-07 -1.10000000e-07  4.72000000e-06 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  1.82600000e-05  1.97200000e-05
  4.72000000e-06  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,10,4.3223404102570514e-05,1.1751929900603066,0.3131575376428491,0.0033254509782863055,1.0,1.523e-05,1.526e-05,,,0.99998176,0.99999148,9.72e-06,1.75,1.1874955615251968,1.3124877493377811,0.18751260501492628,0.08579645458289642,-0.08762070810764525
9.019397820797283e-05,"[-2.10000000e-07 -2.10000000e-07  8.76000000e-06 -0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  3.38700000e-05  3.65700000e-05
  8.76000000e-06  6.95512980e-01  5.94339220e-01  1.16511845e+00]",12,10,9.74252139399248e-05,1.4109330176002255,0.31315750886829197,0.0033242445525354367,1.0,2.825e-05,2.826e-05,,,0.99996617,0.99998419,1.802e-05,1.75,1.1874917680766743,1.3124772784320355,0.18752337894211124,0.08580808956751085,-0.08763192157451365
