t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],18,10,,,4.5952629879442675e-07,2.2967652790168553e-07,1.0,0.0,1e-06,,,0.2,0.2,0.0,,0.22750000000000004,0.18750000000000003,0.18749992131159893,0.1874999606556939
0.1,"[ 3.000000e-08  2.000000e-08  2.000000e-08  3.000000e-08 -1.000000e-08
  0.000000e+00  3.000000e-08  2.000000e-08 -3.070000e-06 -4.999997e-02
 -5.000004e-02 -4.999996e-02 -4.000000e-08  1.000000e-08  1.000000e-08
  2.000000e-08  2.000000e-08  2.000000e-08]",18,10,,,5.000222246516501e-07,2.499401581786126e-07,0.99999963,0.01999238,0.00061196,,,0.2,0.19950042,-0.00049958,,0.22745004203971664,0.1876496238841488,0.18764992217009915,0.18764977302699898
0.2,"[ 1.0000000e-08 -4.9980000e-05 -4.9940000e-05  2.0000000e-08
 -1.0000000e-08 -1.0000000e-08  1.1000000e-07 -4.0000000e-08
 -3.0800000e-06 -9.9999990e-02 -1.0000006e-01 -1.0000003e-01
 -9.9716000e-04 -1.9941700e-03 -9.9709000e-04  4.9960000e-05
  9.9810000e-05  4.9830000e-05]",18,10,,,5.087170009348263e-07,2.494954766467869e-07,0.99999851,0.04008244,0.00122188,,,0.2,0.19900327,-0.00099673,,0.22740048191608783,0.18779818149636213,0.18779827434751248,0.1877982279218079
0.30000000000000004,"[-1.5000000e-07 -2.4932000e-04 -2.4924000e-04 -0.0000000e+00
 -6.9900000e-06 -6.9500000e-06  0.0000000e+00 -9.0000000e-08
 -3.0500000e-06 -1.4998017e-01 -1.4992103e-01 -1.4998022e-01
 -2.9813300e-03 -5.9625100e-03 -2.9813000e-03  1.9917000e-04
  3.9839000e-04  1.9909000e-04]",18,10,,,1.2198491381745111e-06,2.497185015859547e-07,0.99999665,0.06046578,0.0018298,,,0.2,0.19850975,-0.00149025,,0.22735194548783672,0.18794582326553944,0.18794583926306058,0.187945831263556
0.4,"[-1.6100000e-06 -6.9511000e-04 -6.9508000e-04 -7.0000000e-08
 -3.8800000e-05 -3.8700000e-05 -3.0000000e-08 -1.6000000e-07
 -3.1300000e-06 -1.9992117e-01 -1.9968640e-01 -1.9992116e-01
 -5.9372100e-03 -1.1871900e-02 -5.9372200e-03  4.9696000e-04
  9.9387000e-04  4.9689000e-04]",18,10,,,5.501853987508082e-06,2.4197195595265524e-07,0.99999407,0.0813334,0.00243548,,,0.2,0.19802123,-0.00197877,,0.22730505031853795,0.18809264189124023,0.18809265254899268,0.18809264720498126
0.5,"[-7.0400000e-06 -1.4806200e-03 -1.4806800e-03 -5.4000000e-07
 -1.2412000e-04 -1.2399000e-04  2.4390000e-05 -1.0000000e-07
 -3.0800000e-06 -2.4980415e-01 -2.4922324e-01 -2.4980411e-01
 -9.8438300e-03 -1.9684660e-02 -9.8438100e-03  9.9242000e-04
  1.9372100e-03  9.9232000e-04]",18,10,,,1.8094038323249586e-05,2.338684619721022e-07,0.99999076,0.10286971,0.00303955,,,0.2,0.19753845,-0.00246155,,0.2272603531861532,0.18823891365441453,0.18823892662412456,0.1882389199755724
0.6,"[-2.1210000e-05 -2.6931100e-03 -2.6931300e-03 -2.3400000e-06
 -3.0388000e-04 -3.0367000e-04  2.4290000e-05 -5.0000000e-08
 -2.9800000e-06 -2.9961115e-01 -2.9844226e-01 -2.9961112e-01
 -1.4674240e-02 -2.9623310e-02 -1.4674220e-02  1.7345500e-03
  2.2380800e-03  1.7345000e-03]",18,10,,,4.686981476448015e-05,1.492461886504063e-07,0.99998658,0.12526699,0.00366396,,,0.2,0.19704881,-0.00295119,,0.22721847041582596,0.18839023589004683,0.188390170582673,0.18839020213797014
0.7,"[-5.1330000e-05 -4.4076800e-03 -4.4077200e-03 -7.8100000e-06
 -6.6523000e-04 -6.6507000e-04  2.1300000e-05  5.5000000e-07
 -2.5400000e-06 -3.4932526e-01 -3.4690191e-01 -3.4932522e-01
 -2.0395180e-02 -4.5410210e-02 -2.0395170e-02  2.7726700e-03
 -9.7771000e-03  2.7726200e-03]",18,10,,,0.0001024439789921694,1.7450405497787891e-07,0.99997918,0.1489775,0.00456295,,,0.2,0.1963976,-0.0036024,,0.22718211752672637,0.1886100985416731,0.18861011520680696,0.1886101016268556
0.7999999999999999,"[-1.0644000e-04 -6.6173700e-03 -6.6174400e-03 -2.6600000e-05
 -1.7492300e-03 -1.7491000e-03  2.4400000e-05  3.8300000e-06
  7.1000000e-07 -3.9893113e-01 -3.9006798e-01 -3.9893111e-01
 -2.6965930e-02 -1.0019911e-01 -2.6965930e-02  4.1575600e-03
 -1.2029729e-01  4.1575000e-03]",18,10,,,0.00019394493595340626,1.6547407979486507e-07,0.9999346,0.17707602,0.00808721,,,0.2,0.19429984,-0.00570016,,0.22717773833848642,0.18942531113243338,0.1894252379790232,0.18942525574840918
0.8999999999999999,"[-1.9375000e-04 -9.1328400e-03 -9.1329800e-03 -7.9610000e-05
 -4.1217100e-03 -4.1215700e-03  2.4270000e-05  1.5110000e-05
  1.2210000e-05 -4.4841534e-01 -4.1896337e-01 -4.4841533e-01
 -3.4331200e-02 -1.9163717e-01 -3.4331230e-02  5.9392000e-03
 -2.8736620e-01  5.9391700e-03]",18,10,,,0.0003141167097365374,2.2956245123531679e-07,0.99980211,0.21011973,0.01406763,,,0.2,0.19112304,-0.00887696,,0.2272128866955529,0.19068486861067063,0.19068496214349054,0.19068486604242693
