t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],18,10,,,1.2904784139758924e-08,1.3877787807814457e-17,1.0,0.0,1e-06,,,0.2,0.2,0.0,,0.22750000000000004,0.18750000000000003,0.18749999999999992,0.1874999999999999
9.999999999999999e-05,"[ 0.e+00 -0.e+00 -0.e+00 -0.e+00 -0.e+00 -0.e+00  0.e+00  0.e+00  0.e+00
 -5.e-05 -5.e-05 -5.e-05 -0.e+00 -0.e+00 -0.e+00 -0.e+00 -0.e+00 -0.e+00]",18,10,,,7.450580596923828e-09,1.3877787807814457e-17,1.0,2e-05,1.07e-06,,,0.2,0.2,0.0,,0.22749999999999998,0.18749999999999997,0.1874999999999999,0.18749999999999992
0.0011,"[-0.0e+00 -0.0e+00 -0.0e+00 -0.0e+00 -0.0e+00 -0.0e+00  0.0e+00  0.0e+00
  0.0e+00 -5.5e-04 -5.5e-04 -5.5e-04 -6.0e-08 -1.2e-07 -6.0e-08 -0.0e+00
 -0.0e+00 -0.0e+00]",18,10,,,7.450580596923828e-09,1.3877794838850348e-17,1.0,0.00022,1.65e-06,,,0.2,0.2,0.0,,0.2275000000000001,0.18750000000000008,0.18750000000000006,0.18750000000000003
0.008535366597257631,"[-0.00000e+00 -1.00000e-08 -1.00000e-08 -0.00000e+00 -0.00000e+00
 -0.00000e+00 -0.00000e+00 -0.00000e+00 -0.00000e+00 -4.26768e-03
 -4.26768e-03 -4.26768e-03 -3.64000e-06 -7.29000e-06 -3.64000e-06
  0.00000e+00  1.00000e-08  0.00000e+00]",18,10,,,nan,1.3877999565748412e-17,1.0,0.00170709,1.02e-06,,,0.2,0.2,-0.0,,0.22749999999999998,0.1875,0.18750000000000006,0.18750000000000006
0.04854557427531167,"[-0.000000e+00 -1.910000e-06 -1.910000e-06 -0.000000e+00 -3.000000e-08
 -3.000000e-08 -1.000000e-08 -2.000000e-08 -1.000000e-08 -2.427241e-02
 -2.427126e-02 -2.427241e-02 -1.178200e-04 -2.356400e-04 -1.178200e-04
  9.100000e-07  1.870000e-06  9.300000e-07]",18,10,,,0.0,2.405757458915107e-17,1.0,0.00971289,1.29e-06,,,0.2,0.2,-0.0,,0.22749999999954623,0.18749999999955155,0.1874999999995516,0.18749999999955158
0.18937387125644103,"[-1.600000e-07 -1.128100e-04 -1.128100e-04 -1.000000e-08 -5.890000e-06
 -5.890000e-06  5.000000e-08 -2.000000e-08  7.000000e-08 -9.466433e-02
 -9.459669e-02 -9.466433e-02 -1.790230e-03 -3.579150e-03 -1.790220e-03
  5.658000e-05  1.132400e-04  5.668000e-05]",18,10,,,2.0185436582779982e-07,1.414679364724428e-17,1.0,0.03809838,4.9e-07,,,0.2,0.2,-0.0,,0.22749999840815074,0.18749999841177437,0.1874999984117336,0.1874999984117336
0.3989789819075244,"[-6.520000e-06 -1.042800e-03 -1.042800e-03 -8.400000e-07 -1.160800e-04
 -1.160800e-04  1.000000e-08 -0.000000e+00  1.700000e-07 -1.992792e-01
 -1.986535e-01 -1.992792e-01 -7.901400e-03 -1.580485e-02 -7.901380e-03
  5.310300e-04  9.206500e-04  5.311300e-04]",18,10,,,8.179987653082811e-06,4.167065150268365e-17,1.0,0.08187193,1.24e-06,,,0.2,0.2,-0.0,,0.22749986307052092,0.1874998631440222,0.18749986307711008,0.18749986307711006
0.5847738637280977,"[-4.2170000e-05 -3.2149400e-03 -3.2149400e-03 -9.0500000e-06
 -5.9902000e-04 -5.9902000e-04 -1.0000000e-07  3.9000000e-07
  6.0000000e-07 -2.9173054e-01 -2.8910280e-01 -2.9173054e-01
 -1.6827110e-02 -3.9342030e-02 -1.6827080e-02  1.6778800e-03
 -1.6181090e-02  1.6779800e-03]",18,10,,,5.3077714976376464e-05,3.4528905744422285e-17,1.0,0.12382673,5.95e-06,,,0.2,0.19999985,-1.5e-07,,0.22749868072707083,0.18749874259902244,0.18749873978177867,0.18749873978177864
0.7705687455486709,"[-1.2050000e-04 -5.6125500e-03 -5.6125500e-03 -1.1151000e-04
 -4.7587300e-03 -4.7587300e-03  2.0000000e-07  1.6960000e-05
  1.6760000e-05 -3.8380350e-01 -3.1418638e-01 -3.8380350e-01
 -2.8879720e-02 -2.2516790e-01 -2.8879720e-02  3.8776800e-03
 -4.4851738e-01  3.8776800e-03]",18,10,,,0.00012379961687120176,7.527112855258543e-17,0.99999952,0.18112781,0.00069432,,,0.2,0.20028434,0.00028434,,0.22750109913201821,0.18738728154123735,0.18738726621489213,0.18738726621489218
0.9411378330565889,"[-1.1098000e-04 -4.1094300e-03 -4.1094200e-03 -4.1056000e-04
 -1.2569020e-02 -1.2569020e-02 -4.9000000e-07  7.0890000e-05
  7.0390000e-05 -4.6791990e-01 -1.9431280e-01 -4.6791989e-01
 -4.2399730e-02 -4.2851356e-01 -4.2399760e-02  7.1089100e-03
 -9.4361897e-01  7.1088700e-03]",18,10,,,5.991943872488333e-05,8.494960695456806e-17,0.9999993,0.22567716,0.00083878,,,0.2,0.20038428,0.00038428,,0.22750223293716407,0.18734837156959433,0.18734836797925503,0.1873483679792551
1.0,"[-8.59300000e-05 -3.26732000e-03 -3.26731000e-03 -5.58620000e-04
 -1.54221900e-02 -1.54221900e-02 -4.70000000e-07  9.31600000e-05
  9.24700000e-05 -4.96846160e-01 -1.58591500e-01 -4.96846150e-01
 -4.75674600e-02 -4.72798260e-01 -4.75675000e-02  8.53783000e-03
 -1.03795443e+00  8.53775000e-03]",18,10,,,3.899086511615816e-05,5.359435111525236e-17,0.9999993,0.23846809,0.00083881,,,0.2,0.20038428,0.00038428,,0.2275026754566499,0.18734881469321243,0.1873488131729248,0.18734881317292484
